text,num_aspects,aspects,aspect_term,sentiment,confidence
"“Herd immunity” Except it doesn’t work the way non scientists like RFKjr think. It’s one thing when a new disease, like Covid 19, spreads. Protection against Measle and Mumps exists already",3,"protection, immunity, covid",protection,neutral,0.865
"“Herd immunity” Except it doesn’t work the way non scientists like RFKjr think. It’s one thing when a new disease, like Covid 19, spreads. Protection against Measle and Mumps exists already",3,"protection, immunity, covid",immunity,neutral,0.875
"“Herd immunity” Except it doesn’t work the way non scientists like RFKjr think. It’s one thing when a new disease, like Covid 19, spreads. Protection against Measle and Mumps exists already",3,"protection, immunity, covid",covid,neutral,0.821
un aumento del escepticismo de las vacunas tras la pandemia del COVID-19 ha dejado a un número creciente de niños vulnerables a la enfermedad potencialmente mortal en todo el país. www.newsweek.com/texas-measle...,1,covid,covid,neutral,0.897
"Tuberculosis and measle outbreaks close by never mind, Mumps and measles and chicken
Pox and Bird flu and Covid and flu bugs     you have no more disease trackers or detectives down there",2,"measles, covid",measles,neutral,0.576
"Tuberculosis and measle outbreaks close by never mind, Mumps and measles and chicken
Pox and Bird flu and Covid and flu bugs     you have no more disease trackers or detectives down there",2,"measles, covid",covid,neutral,0.767
"What I want or don't want is not in my control, or your control.  Today an EO was signed to penalize schools' funding if COVID vaccines are required.  

An inmate is running the asylum.  Schools in TX are closing for flu outbreaks, measle outbreaks.   You have problems with reading comprehension.",1,covid,covid,neutral,0.868
"Polio outbreaks, measle outbreaks, mumps outbreaks, covid outbreaks and Bubonic plague outbreaks.",1,covid,covid,neutral,0.846
"""Owning the Libs"" according to MAGA: 

- Die of COVID
- Die of Measles
- Die of Rubella
- Die of Bird Flu
- Lose job
- Lose healthcare
- Lose benefits
- Pay more for everything",2,"measles, covid",measles,neutral,0.769
"""Owning the Libs"" according to MAGA: 

- Die of COVID
- Die of Measles
- Die of Rubella
- Die of Bird Flu
- Lose job
- Lose healthcare
- Lose benefits
- Pay more for everything",2,"measles, covid",covid,neutral,0.838
"So y’all idiots that believe vaccines cause autism (they don’t) you’re telling me you’d rather your kid die of Polio, Measles Mumps, Rubella, Chickenpox, Influenza, Rotavirus, HPV, Hepatitis B, Yellow fever,Malaria,Tuberculosis, COVID-19 or even rabies than risk them possibly having autism? Really?",3,"measles, covid, risk",measles,neutral,0.777
"So y’all idiots that believe vaccines cause autism (they don’t) you’re telling me you’d rather your kid die of Polio, Measles Mumps, Rubella, Chickenpox, Influenza, Rotavirus, HPV, Hepatitis B, Yellow fever,Malaria,Tuberculosis, COVID-19 or even rabies than risk them possibly having autism? Really?",3,"measles, covid, risk",covid,neutral,0.872
"So y’all idiots that believe vaccines cause autism (they don’t) you’re telling me you’d rather your kid die of Polio, Measles Mumps, Rubella, Chickenpox, Influenza, Rotavirus, HPV, Hepatitis B, Yellow fever,Malaria,Tuberculosis, COVID-19 or even rabies than risk them possibly having autism? Really?",3,"measles, covid, risk",risk,neutral,0.724
"I read recently that people born between 1963-1968 may have low levels of the original Measles vaccine. Since we are headed to Texas to see family, I had my Measles, Mumps & Rubella (MMR) antibodies checked. Since I was born in 1963, found my antibodies were very low. Today had MMR & COVID shots.",4,"vaccine, measles, covid, mmr",vaccine,neutral,0.867
"I read recently that people born between 1963-1968 may have low levels of the original Measles vaccine. Since we are headed to Texas to see family, I had my Measles, Mumps & Rubella (MMR) antibodies checked. Since I was born in 1963, found my antibodies were very low. Today had MMR & COVID shots.",4,"vaccine, measles, covid, mmr",measles,neutral,0.935
"I read recently that people born between 1963-1968 may have low levels of the original Measles vaccine. Since we are headed to Texas to see family, I had my Measles, Mumps & Rubella (MMR) antibodies checked. Since I was born in 1963, found my antibodies were very low. Today had MMR & COVID shots.",4,"vaccine, measles, covid, mmr",covid,neutral,0.94
"I read recently that people born between 1963-1968 may have low levels of the original Measles vaccine. Since we are headed to Texas to see family, I had my Measles, Mumps & Rubella (MMR) antibodies checked. Since I was born in 1963, found my antibodies were very low. Today had MMR & COVID shots.",4,"vaccine, measles, covid, mmr",mmr,neutral,0.956
"Vaccines are the best shield against viral diseases such as measles, smallpox, COVID-19. When I was a kid, we all got measles, chicken pox, rubella: I never knew anyone dying. I remember my physician mother giving me drinks, aspirin, baths. Current measles viruses appear to be more dangerous.",2,"measles, covid",measles,neutral,0.728
"Vaccines are the best shield against viral diseases such as measles, smallpox, COVID-19. When I was a kid, we all got measles, chicken pox, rubella: I never knew anyone dying. I remember my physician mother giving me drinks, aspirin, baths. Current measles viruses appear to be more dangerous.",2,"measles, covid",covid,neutral,0.849
"I’m not even sure what the boosters I had in January were for, although I don’t think for measles (I had never even heard of one existing). 

But the German M can come in here and explain what I had … I know one was for tetanus and I think another was for rubella. 

And, of course, my 8th Covid shot",2,"measles, covid",measles,neutral,0.596
"I’m not even sure what the boosters I had in January were for, although I don’t think for measles (I had never even heard of one existing). 

But the German M can come in here and explain what I had … I know one was for tetanus and I think another was for rubella. 

And, of course, my 8th Covid shot",2,"measles, covid",covid,neutral,0.78
"Boot camp vaccines.

Adenovirus, Types 4 and 7
COVID-19 * 
Influenza (Flu Shot)
Measles
Meningococcal
Mumps
Polio
Rubella
Tetanus-diphtheria
Varicella

COVID no longer required. The others are.

Eight others are as-needed / mandatory.

There’s no evidence of Covid vax being bad or having 5G.",2,"measles, covid",measles,neutral,0.824
"Boot camp vaccines.

Adenovirus, Types 4 and 7
COVID-19 * 
Influenza (Flu Shot)
Measles
Meningococcal
Mumps
Polio
Rubella
Tetanus-diphtheria
Varicella

COVID no longer required. The others are.

Eight others are as-needed / mandatory.

There’s no evidence of Covid vax being bad or having 5G.",2,"measles, covid",covid,neutral,0.674
"I forgot how achy and sore the COVID Boosters make me the day after.

My Aunt was grumpy all day bc she got hers as well and probably doesn’t feel good either.

I also got an MMR (Measles, Mumps, and Rubella) vax.",3,"measles, covid, mmr",measles,neutral,0.858
"I forgot how achy and sore the COVID Boosters make me the day after.

My Aunt was grumpy all day bc she got hers as well and probably doesn’t feel good either.

I also got an MMR (Measles, Mumps, and Rubella) vax.",3,"measles, covid, mmr",covid,neutral,0.765
"I forgot how achy and sore the COVID Boosters make me the day after.

My Aunt was grumpy all day bc she got hers as well and probably doesn’t feel good either.

I also got an MMR (Measles, Mumps, and Rubella) vax.",3,"measles, covid, mmr",mmr,neutral,0.97
"Being an immunocompromised person, I got my Covid booster yesterday. I forgot how achey it makes me. With everything going on, I asked if there was a measels booster I needed to take. I was told you're good to go after getting the initial Measles/Mumps/Rubella (MMR) series.",3,"measles, covid, mmr",measles,neutral,0.958
"Being an immunocompromised person, I got my Covid booster yesterday. I forgot how achey it makes me. With everything going on, I asked if there was a measels booster I needed to take. I was told you're good to go after getting the initial Measles/Mumps/Rubella (MMR) series.",3,"measles, covid, mmr",covid,neutral,0.952
"Being an immunocompromised person, I got my Covid booster yesterday. I forgot how achey it makes me. With everything going on, I asked if there was a measels booster I needed to take. I was told you're good to go after getting the initial Measles/Mumps/Rubella (MMR) series.",3,"measles, covid, mmr",mmr,neutral,0.936
"We have measles, TB, dysentery, rubella, H5N1 and COVID running around. Please, mask up and check your vax status.",2,"measles, covid",measles,neutral,0.85
"We have measles, TB, dysentery, rubella, H5N1 and COVID running around. Please, mask up and check your vax status.",2,"measles, covid",covid,neutral,0.85
"Already COVID-19 bulletproof with both Pfizer and J&J on board.

Added MMR (Measles, Mumps, Rubella), and Tdap (Whooping Cough and other joys).

Already good on RSV and New-Moan-Ya.

All ready for China to let another one slip.",3,"measles, covid, mmr",measles,neutral,0.909
"Already COVID-19 bulletproof with both Pfizer and J&J on board.

Added MMR (Measles, Mumps, Rubella), and Tdap (Whooping Cough and other joys).

Already good on RSV and New-Moan-Ya.

All ready for China to let another one slip.",3,"measles, covid, mmr",covid,neutral,0.556
"Already COVID-19 bulletproof with both Pfizer and J&J on board.

Added MMR (Measles, Mumps, Rubella), and Tdap (Whooping Cough and other joys).

Already good on RSV and New-Moan-Ya.

All ready for China to let another one slip.",3,"measles, covid, mmr",mmr,neutral,0.88
"That news is a matter of weak immunity, but I think measles-mumps-rubella vaccine is a proven tens of years old vaccine, & is very differnt than covid vaccines being tried upon people with STUPID&INHUMAN mandates since only 2021! With no mandate, I believe measles vaccines are safe to be applied.",4,"immunity, vaccine, measles, covid",immunity,negative,0.897
"That news is a matter of weak immunity, but I think measles-mumps-rubella vaccine is a proven tens of years old vaccine, & is very differnt than covid vaccines being tried upon people with STUPID&INHUMAN mandates since only 2021! With no mandate, I believe measles vaccines are safe to be applied.",4,"immunity, vaccine, measles, covid",vaccine,positive,0.808
"That news is a matter of weak immunity, but I think measles-mumps-rubella vaccine is a proven tens of years old vaccine, & is very differnt than covid vaccines being tried upon people with STUPID&INHUMAN mandates since only 2021! With no mandate, I believe measles vaccines are safe to be applied.",4,"immunity, vaccine, measles, covid",measles,positive,0.676
"That news is a matter of weak immunity, but I think measles-mumps-rubella vaccine is a proven tens of years old vaccine, & is very differnt than covid vaccines being tried upon people with STUPID&INHUMAN mandates since only 2021! With no mandate, I believe measles vaccines are safe to be applied.",4,"immunity, vaccine, measles, covid",covid,neutral,0.565
"bird flu, COVID (still), measles, rubella, whooping cough, DYSENTERY, polio....

all spinning the block this year and it's only March",2,"measles, covid",measles,neutral,0.698
"bird flu, COVID (still), measles, rubella, whooping cough, DYSENTERY, polio....

all spinning the block this year and it's only March",2,"measles, covid",covid,neutral,0.72
"bad news is this one isn’t orange man’s fault, good news is this one doesn’t require masking for prevention (flu, H5N1, measles, rubella, covid, mpox all do!)",2,"measles, covid",measles,neutral,0.686
"bad news is this one isn’t orange man’s fault, good news is this one doesn’t require masking for prevention (flu, H5N1, measles, rubella, covid, mpox all do!)",2,"measles, covid",covid,neutral,0.75
"Now is the time to get back in the habit, BEFORE you are exposed to measles, flu, or anything else we can no longer expect to be protected from. #measles #covid #flu #rubella",2,"measles, covid",measles,neutral,0.704
"Now is the time to get back in the habit, BEFORE you are exposed to measles, flu, or anything else we can no longer expect to be protected from. #measles #covid #flu #rubella",2,"measles, covid",covid,neutral,0.756
"I received a test req to get measles, mumps & rubella titres done... which wasn't granted 2yrs ago (through public health care). 
It's now realized how much damage was done to immune systems by Covid.",2,"measles, covid",measles,neutral,0.906
"I received a test req to get measles, mumps & rubella titres done... which wasn't granted 2yrs ago (through public health care). 
It's now realized how much damage was done to immune systems by Covid.",2,"measles, covid",covid,neutral,0.827
"measles, mumps, malaria, bird flu, Covid-19, polio, rubella, leprosy, dysentery, tuberculosis.

folks claimed to be worried about egg prices when the focus should’ve been on all damn diseases spinning the block.",2,"measles, covid",measles,neutral,0.763
"measles, mumps, malaria, bird flu, Covid-19, polio, rubella, leprosy, dysentery, tuberculosis.

folks claimed to be worried about egg prices when the focus should’ve been on all damn diseases spinning the block.",2,"measles, covid",covid,neutral,0.84
"Can you ask him to join the American Medical Association team? They have a YouTube channel keeping Americans informed about the flu, measles, rubella and coronavirus. Is the American regime trying to extinguish its own people??",2,"coronavirus, measles",coronavirus,neutral,0.906
"Can you ask him to join the American Medical Association team? They have a YouTube channel keeping Americans informed about the flu, measles, rubella and coronavirus. Is the American regime trying to extinguish its own people??",2,"coronavirus, measles",measles,neutral,0.905
"We want the measles shots
We want the covid shots
The influenza shots
And the rubella shots
We want the shots that protect us from the smallpox
We want the shots that protect us from the chickenpox",2,"measles, covid",measles,neutral,0.836
"We want the measles shots
We want the covid shots
The influenza shots
And the rubella shots
We want the shots that protect us from the smallpox
We want the shots that protect us from the chickenpox",2,"measles, covid",covid,neutral,0.869
"Also did not get meningitis, measles, mumps, rubella, diphtheria, pertussis, covid-19, seasonal flu, smallpox, or tetanus. Thank you science! 💉",2,"measles, covid",measles,neutral,0.833
"Also did not get meningitis, measles, mumps, rubella, diphtheria, pertussis, covid-19, seasonal flu, smallpox, or tetanus. Thank you science! 💉",2,"measles, covid",covid,neutral,0.901
"MMR booster when I got updated COVID-19 vaccine MMR-Measles, Mumps and Rubella just in case!! 🚨🚨🚨🚨🚨🚨🚨🚨🚨",4,"vaccine, measles, covid, mmr",vaccine,neutral,0.881
"MMR booster when I got updated COVID-19 vaccine MMR-Measles, Mumps and Rubella just in case!! 🚨🚨🚨🚨🚨🚨🚨🚨🚨",4,"vaccine, measles, covid, mmr",measles,neutral,0.95
"MMR booster when I got updated COVID-19 vaccine MMR-Measles, Mumps and Rubella just in case!! 🚨🚨🚨🚨🚨🚨🚨🚨🚨",4,"vaccine, measles, covid, mmr",covid,neutral,0.89
"MMR booster when I got updated COVID-19 vaccine MMR-Measles, Mumps and Rubella just in case!! 🚨🚨🚨🚨🚨🚨🚨🚨🚨",4,"vaccine, measles, covid, mmr",mmr,positive,0.867
"absolutely wild with all the rsv, flu, covid, and one other thing I didn’t even recognize. She wasn’t warning us, she was explaining why she was late. Y’all.
Now measles and possibly rubella is spreading?? 
Yeah no.
Just getting a cold can fuck me up for weeks.",2,"measles, covid",measles,neutral,0.604
"absolutely wild with all the rsv, flu, covid, and one other thing I didn’t even recognize. She wasn’t warning us, she was explaining why she was late. Y’all.
Now measles and possibly rubella is spreading?? 
Yeah no.
Just getting a cold can fuck me up for weeks.",2,"measles, covid",covid,neutral,0.771
"Get your MMR – measles, mumps, rubella – vaccine re-upped! & if you are pregnant and don't know your titers are good… Mask with a well-fitting N95, because rubella causes birth defects if you catch it while pregnant. If you aren't sure of your titers, mask.

(Covid can also screw with the placenta.)",5,"pregnant, vaccine, measles, covid, mmr",pregnant,neutral,0.907
"Get your MMR – measles, mumps, rubella – vaccine re-upped! & if you are pregnant and don't know your titers are good… Mask with a well-fitting N95, because rubella causes birth defects if you catch it while pregnant. If you aren't sure of your titers, mask.

(Covid can also screw with the placenta.)",5,"pregnant, vaccine, measles, covid, mmr",vaccine,positive,0.645
"Get your MMR – measles, mumps, rubella – vaccine re-upped! & if you are pregnant and don't know your titers are good… Mask with a well-fitting N95, because rubella causes birth defects if you catch it while pregnant. If you aren't sure of your titers, mask.

(Covid can also screw with the placenta.)",5,"pregnant, vaccine, measles, covid, mmr",measles,neutral,0.699
"Get your MMR – measles, mumps, rubella – vaccine re-upped! & if you are pregnant and don't know your titers are good… Mask with a well-fitting N95, because rubella causes birth defects if you catch it while pregnant. If you aren't sure of your titers, mask.

(Covid can also screw with the placenta.)",5,"pregnant, vaccine, measles, covid, mmr",covid,positive,0.922
"Get your MMR – measles, mumps, rubella – vaccine re-upped! & if you are pregnant and don't know your titers are good… Mask with a well-fitting N95, because rubella causes birth defects if you catch it while pregnant. If you aren't sure of your titers, mask.

(Covid can also screw with the placenta.)",5,"pregnant, vaccine, measles, covid, mmr",mmr,positive,0.868
"Even before RFKjr and Covid I'd been considering getting MMR
(had measles as a kind, and maybe-its-mumps*, but not rubella. Wife never had measles.)

*Diagnosis back then was ""throat glands are swollen, probably mumps but could be something else, here's some penicillin in case it's bacterial.""",3,"measles, covid, mmr",measles,neutral,0.803
"Even before RFKjr and Covid I'd been considering getting MMR
(had measles as a kind, and maybe-its-mumps*, but not rubella. Wife never had measles.)

*Diagnosis back then was ""throat glands are swollen, probably mumps but could be something else, here's some penicillin in case it's bacterial.""",3,"measles, covid, mmr",covid,neutral,0.864
"Even before RFKjr and Covid I'd been considering getting MMR
(had measles as a kind, and maybe-its-mumps*, but not rubella. Wife never had measles.)

*Diagnosis back then was ""throat glands are swollen, probably mumps but could be something else, here's some penicillin in case it's bacterial.""",3,"measles, covid, mmr",mmr,neutral,0.953
It's not just an agoraphobia thing for me anymore now that measles and rubella and bird flu are out there all over the place. Along with COVID still being a thing.,2,"measles, covid",measles,neutral,0.542
It's not just an agoraphobia thing for me anymore now that measles and rubella and bird flu are out there all over the place. Along with COVID still being a thing.,2,"measles, covid",covid,neutral,0.819
"The five horsemen
1: Measles 
2: Mumps
3: Rubella 
4: Bird Flu
5: COVID",2,"measles, covid",measles,neutral,0.838
"The five horsemen
1: Measles 
2: Mumps
3: Rubella 
4: Bird Flu
5: COVID",2,"measles, covid",covid,neutral,0.874
"Oh, the wheels on the bus are coming off, off, off, 
off, off off, 
off, off off

TB, Measles, Rubella, Influenza, Covid, H5N1. It's like living my 1950s childhood all over again. I don't think I like being Great Again.",2,"measles, covid",measles,neutral,0.547
"Oh, the wheels on the bus are coming off, off, off, 
off, off off, 
off, off off

TB, Measles, Rubella, Influenza, Covid, H5N1. It's like living my 1950s childhood all over again. I don't think I like being Great Again.",2,"measles, covid",covid,neutral,0.67
"Weirdly, my measles & rubella titers are fine. But mumps antibodies were nonexistent, as was varicella, sigh. I wish I could boost MMR again & get the varicella series, but doctors said immune med & live vax do not mix. I did get Tdap & the latest pneumonia, due to boost Covid next.",3,"measles, covid, mmr",measles,positive,0.919
"Weirdly, my measles & rubella titers are fine. But mumps antibodies were nonexistent, as was varicella, sigh. I wish I could boost MMR again & get the varicella series, but doctors said immune med & live vax do not mix. I did get Tdap & the latest pneumonia, due to boost Covid next.",3,"measles, covid, mmr",covid,neutral,0.786
"Weirdly, my measles & rubella titers are fine. But mumps antibodies were nonexistent, as was varicella, sigh. I wish I could boost MMR again & get the varicella series, but doctors said immune med & live vax do not mix. I did get Tdap & the latest pneumonia, due to boost Covid next.",3,"measles, covid, mmr",mmr,neutral,0.529
"The recent measles outbreaks remind us of the crucial role vaccines play in preventing the spread of infectious - and preventable - diseases. 

Vaccines, like the combined one for measles, mumps and rubella, as well as those for the flu & COVID-19 are effective & safe.
www.usnews.com/opinion/arti...",2,"measles, covid",measles,neutral,0.85
"The recent measles outbreaks remind us of the crucial role vaccines play in preventing the spread of infectious - and preventable - diseases. 

Vaccines, like the combined one for measles, mumps and rubella, as well as those for the flu & COVID-19 are effective & safe.
www.usnews.com/opinion/arti...",2,"measles, covid",covid,neutral,0.845
It’s not that they don’t care if people die. It’s part of the plan that they do. Any idea how many super-spreaders are currently out there? Mask up folks. It’s about to get real nasty out there. #viralwarfare #getvaccinated #measles #polio #covid #birdflu #mumps #rubella #vaccinate,2,"measles, covid",measles,neutral,0.843
It’s not that they don’t care if people die. It’s part of the plan that they do. Any idea how many super-spreaders are currently out there? Mask up folks. It’s about to get real nasty out there. #viralwarfare #getvaccinated #measles #polio #covid #birdflu #mumps #rubella #vaccinate,2,"measles, covid",covid,neutral,0.825
"Oh, Boy! Measles OutBreak will be Spreading outside Texas! Perhaps Mr. Kennedy, as Brain Worm Infected HHS Secretary, can learn to push Measles Mumps & Rubella vaccines after we blow this up in the whole country, like Trump did with Covid?",2,"measles, covid",measles,neutral,0.828
"Oh, Boy! Measles OutBreak will be Spreading outside Texas! Perhaps Mr. Kennedy, as Brain Worm Infected HHS Secretary, can learn to push Measles Mumps & Rubella vaccines after we blow this up in the whole country, like Trump did with Covid?",2,"measles, covid",covid,neutral,0.934
"I doubt that the people who ought to be educated about vaccines will bother to read it. How many millions have been saved by having vaccinations against smallpox, typhoid, cholera, diptheria, measles, mumps, rubella, TB, 
Covid & Flu & so many other diseases.",2,"measles, covid",measles,neutral,0.791
"I doubt that the people who ought to be educated about vaccines will bother to read it. How many millions have been saved by having vaccinations against smallpox, typhoid, cholera, diptheria, measles, mumps, rubella, TB, 
Covid & Flu & so many other diseases.",2,"measles, covid",covid,neutral,0.914
"RFK jr. has really made me double down on feeling relief over my choice to be childfree 😮‍💨 

parents must be so fucking freaked out right now. measles, polio, mumps, hepatitis, diphtheria, rubella, meningitis, influenza, rotavirus, dengue, covid-19…. 🦠

he’s going to kill kids. vaccines work. 💉",2,"measles, covid",measles,neutral,0.698
"RFK jr. has really made me double down on feeling relief over my choice to be childfree 😮‍💨 

parents must be so fucking freaked out right now. measles, polio, mumps, hepatitis, diphtheria, rubella, meningitis, influenza, rotavirus, dengue, covid-19…. 🦠

he’s going to kill kids. vaccines work. 💉",2,"measles, covid",covid,neutral,0.759
COVID has been shown to reduce immunity just as measles does. Best way to make sure you're protected against these diseases is to ask for an antibody titer test. Antibodies don't always last; I've had to get re-vaccinated for measles and rubella at different points in my life.,3,"immunity, measles, covid",immunity,negative,0.618
COVID has been shown to reduce immunity just as measles does. Best way to make sure you're protected against these diseases is to ask for an antibody titer test. Antibodies don't always last; I've had to get re-vaccinated for measles and rubella at different points in my life.,3,"immunity, measles, covid",measles,neutral,0.861
COVID has been shown to reduce immunity just as measles does. Best way to make sure you're protected against these diseases is to ask for an antibody titer test. Antibodies don't always last; I've had to get re-vaccinated for measles and rubella at different points in my life.,3,"immunity, measles, covid",covid,neutral,0.779
I had my MMR titers tested and it was mumps that had waned.  Still good on measles and rubella.  I worry about the potential for flu and Covid vaccines to be pulled from availability since those need to be repeated annually.,3,"measles, covid, mmr",measles,positive,0.936
I had my MMR titers tested and it was mumps that had waned.  Still good on measles and rubella.  I worry about the potential for flu and Covid vaccines to be pulled from availability since those need to be repeated annually.,3,"measles, covid, mmr",covid,neutral,0.733
I had my MMR titers tested and it was mumps that had waned.  Still good on measles and rubella.  I worry about the potential for flu and Covid vaccines to be pulled from availability since those need to be repeated annually.,3,"measles, covid, mmr",mmr,neutral,0.966
"#MEASLES can kill you ! .. and is COMPLETELY PREVENTABLE via appropriate #MMR #VACCINE  
(and yes #Mumps and #Rubella can kill too..and MUMPS in boys can #sterilize them!)
ALSO of course #Tetanus, #Polio, #COVID and #Influenza can kill
ALL PREVENTED BY #vaccination ..
. just ask Senator MCCONNELL",5,"vaccination, vaccine, measles, covid, mmr",vaccination,neutral,0.795
"#MEASLES can kill you ! .. and is COMPLETELY PREVENTABLE via appropriate #MMR #VACCINE  
(and yes #Mumps and #Rubella can kill too..and MUMPS in boys can #sterilize them!)
ALSO of course #Tetanus, #Polio, #COVID and #Influenza can kill
ALL PREVENTED BY #vaccination ..
. just ask Senator MCCONNELL",5,"vaccination, vaccine, measles, covid, mmr",vaccine,neutral,0.69
"#MEASLES can kill you ! .. and is COMPLETELY PREVENTABLE via appropriate #MMR #VACCINE  
(and yes #Mumps and #Rubella can kill too..and MUMPS in boys can #sterilize them!)
ALSO of course #Tetanus, #Polio, #COVID and #Influenza can kill
ALL PREVENTED BY #vaccination ..
. just ask Senator MCCONNELL",5,"vaccination, vaccine, measles, covid, mmr",measles,neutral,0.842
"#MEASLES can kill you ! .. and is COMPLETELY PREVENTABLE via appropriate #MMR #VACCINE  
(and yes #Mumps and #Rubella can kill too..and MUMPS in boys can #sterilize them!)
ALSO of course #Tetanus, #Polio, #COVID and #Influenza can kill
ALL PREVENTED BY #vaccination ..
. just ask Senator MCCONNELL",5,"vaccination, vaccine, measles, covid, mmr",covid,neutral,0.824
"#MEASLES can kill you ! .. and is COMPLETELY PREVENTABLE via appropriate #MMR #VACCINE  
(and yes #Mumps and #Rubella can kill too..and MUMPS in boys can #sterilize them!)
ALSO of course #Tetanus, #Polio, #COVID and #Influenza can kill
ALL PREVENTED BY #vaccination ..
. just ask Senator MCCONNELL",5,"vaccination, vaccine, measles, covid, mmr",mmr,neutral,0.661
"Somebody give Trump measles, mumps and rubella. Top it off with Covid and the flu.

He already has STDs.",2,"measles, covid",measles,neutral,0.86
"Somebody give Trump measles, mumps and rubella. Top it off with Covid and the flu.

He already has STDs.",2,"measles, covid",covid,neutral,0.918
