text,kind,author,date,url,uri,matched_keyword,parent_url,parent_uri,week_start,vaccine_sentiment,vaccine_confidence,covid_vaccine_sentiment,covid_vaccine_confidence,coronavirus_vaccine_sentiment,coronavirus_vaccine_confidence,measles_vaccine_sentiment,measles_vaccine_confidence,mmr_vaccine_sentiment,mmr_vaccine_confidence,mmr_sentiment,mmr_confidence,covid_sentiment,covid_confidence,coronavirus_sentiment,coronavirus_confidence,measles_sentiment,measles_confidence,mumps_sentiment,mumps_confidence,rubella_sentiment,rubella_confidence,side_effects_sentiment,side_effects_confidence,efficacy_sentiment,efficacy_confidence,effectiveness_sentiment,effectiveness_confidence,safety_sentiment,safety_confidence,protection_sentiment,protection_confidence,immunity_sentiment,immunity_confidence,autism_sentiment,autism_confidence,pregnant_sentiment,pregnant_confidence,trump_sentiment,trump_confidence,liberals_sentiment,liberals_confidence,woke_sentiment,woke_confidence,conservative_sentiment,conservative_confidence,republican_sentiment,republican_confidence,government_sentiment,government_confidence,big_pharma_sentiment,big_pharma_confidence,fda_sentiment,fda_confidence,cdc_sentiment,cdc_confidence,who_sentiment,who_confidence
un aumento del escepticismo de las vacunas tras la pandemia del COVID-19 ha dejado a un número creciente de niños vulnerables a la enfermedad potencialmente mortal en todo el país. www.newsweek.com/texas-measle...,post,cappicard.bsky.social,2025-02-22 22:03:36.775000+00:00,https://bsky.app/profile/cappicard.bsky.social/post/3lisd5qjhe22g,at://did:plc:tyzhphebapf7uno3zsgbt7a5/app.bsky.feed.post/3lisd5qjhe22g,measle,,,2/16/25,neutral,0.751,neutral,0.645,neutral,0.628,neutral,0.594,neutral,0.699,neutral,0.793,neutral,0.702,neutral,0.682,neutral,0.697,neutral,0.586,neutral,0.684,neutral,0.635,neutral,0.661,neutral,0.774,neutral,0.777,neutral,0.787,neutral,0.715,neutral,0.729,neutral,0.886,neutral,0.808,neutral,0.824,neutral,0.814,neutral,0.83,neutral,0.848,neutral,0.813,neutral,0.659,neutral,0.8,neutral,0.756,neutral,0.83
"Tuberculosis and measle outbreaks close by never mind, Mumps and measles and chicken
Pox and Bird flu and Covid and flu bugs     you have no more disease trackers or detectives down there",post,j1j2.bsky.social,2025-02-15 19:18:55.336000+00:00,https://bsky.app/profile/j1j2.bsky.social/post/3liagosmlm222,at://did:plc:iqg2yiw23eoox7krkdbpucqo/app.bsky.feed.post/3liagosmlm222,measle,,,2/9/25,negative,0.424,negative,0.442,neutral,0.432,negative,0.501,negative,0.473,neutral,0.554,negative,0.525,negative,0.505,negative,0.544,negative,0.605,negative,0.519,negative,0.542,negative,0.433,neutral,0.486,neutral,0.497,neutral,0.51,negative,0.405,negative,0.525,neutral,0.662,negative,0.473,negative,0.529,neutral,0.541,neutral,0.543,neutral,0.574,negative,0.494,negative,0.496,neutral,0.45,neutral,0.469,neutral,0.446
"What I want or don't want is not in my control, or your control.  Today an EO was signed to penalize schools' funding if COVID vaccines are required.  

An inmate is running the asylum.  Schools in TX are closing for flu outbreaks, measle outbreaks.   You have problems with reading comprehension.",post,angryoldman55.bsky.social,2025-02-15 04:56:37.616000+00:00,https://bsky.app/profile/angryoldman55.bsky.social/post/3li6wivongs22,at://did:plc:5ndyirsfrhlh7vtvnfgnknbl/app.bsky.feed.post/3li6wivongs22,measle,,,2/9/25,neutral,0.685,neutral,0.552,neutral,0.615,neutral,0.54,neutral,0.654,neutral,0.729,neutral,0.537,neutral,0.53,neutral,0.572,negative,0.473,neutral,0.547,neutral,0.515,neutral,0.666,neutral,0.632,neutral,0.749,neutral,0.8,neutral,0.74,neutral,0.552,neutral,0.801,neutral,0.514,negative,0.515,neutral,0.726,neutral,0.689,neutral,0.582,neutral,0.506,neutral,0.509,neutral,0.711,neutral,0.648,neutral,0.656
"Polio outbreaks, measle outbreaks, mumps outbreaks, covid outbreaks and Bubonic plague outbreaks.",post,denverrose.bsky.social,2025-02-14 16:58:04.942000+00:00,https://bsky.app/profile/denverrose.bsky.social/post/3li5oe2aaqc2r,at://did:plc:dng5tzrrternvguvss675xpz/app.bsky.feed.post/3li5oe2aaqc2r,measle,,,2/9/25,neutral,0.538,neutral,0.461,neutral,0.473,neutral,0.419,neutral,0.487,neutral,0.609,neutral,0.433,neutral,0.459,negative,0.416,negative,0.518,negative,0.462,negative,0.5,neutral,0.454,neutral,0.561,neutral,0.509,neutral,0.672,neutral,0.51,negative,0.425,neutral,0.677,neutral,0.512,negative,0.483,neutral,0.564,neutral,0.557,neutral,0.637,neutral,0.46,negative,0.479,neutral,0.494,neutral,0.52,neutral,0.575
"""Owning the Libs"" according to MAGA: 

- Die of COVID
- Die of Measles
- Die of Rubella
- Die of Bird Flu
- Lose job
- Lose healthcare
- Lose benefits
- Pay more for everything",post,ltaldobraine.bsky.social,2025-03-07 15:45:28.994000+00:00,https://bsky.app/profile/ltaldobraine.bsky.social/post/3ljse3kqzbc2f,at://did:plc:j3obz23rnixk7albsi7gfb24/app.bsky.feed.post/3ljse3kqzbc2f,measle,,,3/2/25,neutral,0.657,neutral,0.458,neutral,0.484,negative,0.462,neutral,0.536,neutral,0.603,neutral,0.501,neutral,0.456,neutral,0.46,negative,0.51,negative,0.505,negative,0.51,neutral,0.545,neutral,0.577,neutral,0.621,neutral,0.691,neutral,0.666,neutral,0.577,neutral,0.723,negative,0.487,negative,0.523,neutral,0.644,neutral,0.583,neutral,0.58,negative,0.554,negative,0.49,neutral,0.651,neutral,0.619,neutral,0.563
"So y’all idiots that believe vaccines cause autism (they don’t) you’re telling me you’d rather your kid die of Polio, Measles Mumps, Rubella, Chickenpox, Influenza, Rotavirus, HPV, Hepatitis B, Yellow fever,Malaria,Tuberculosis, COVID-19 or even rabies than risk them possibly having autism? Really?",post,the-space-case.swifties.social,2025-03-06 23:18:50.329000+00:00,https://bsky.app/profile/the-space-case.swifties.social/post/3ljqmxcjbuc2d,at://did:plc:dj5gpmc5avluuv7wvcpzqnsd/app.bsky.feed.post/3ljqmxcjbuc2d,measle,,,3/2/25,neutral,0.623,neutral,0.454,neutral,0.463,neutral,0.442,neutral,0.485,neutral,0.615,neutral,0.459,negative,0.448,negative,0.472,negative,0.536,negative,0.486,negative,0.518,neutral,0.458,neutral,0.53,neutral,0.647,neutral,0.678,neutral,0.66,negative,0.479,neutral,0.73,neutral,0.467,negative,0.503,neutral,0.609,neutral,0.606,neutral,0.602,negative,0.464,negative,0.479,neutral,0.564,neutral,0.544,neutral,0.489
"I read recently that people born between 1963-1968 may have low levels of the original Measles vaccine. Since we are headed to Texas to see family, I had my Measles, Mumps & Rubella (MMR) antibodies checked. Since I was born in 1963, found my antibodies were very low. Today had MMR & COVID shots.",post,markbritt.bsky.social,2025-03-06 22:45:47.568000+00:00,https://bsky.app/profile/markbritt.bsky.social/post/3ljql47m2ws24,at://did:plc:xcejlfd6w2esskdcrolvc4gd/app.bsky.feed.post/3ljql47m2ws24,mmr,,,3/2/25,negative,0.435,negative,0.501,negative,0.482,negative,0.508,negative,0.498,negative,0.453,negative,0.459,negative,0.47,negative,0.508,negative,0.513,negative,0.504,negative,0.592,negative,0.509,neutral,0.522,neutral,0.581,neutral,0.62,neutral,0.58,negative,0.501,neutral,0.684,neutral,0.524,neutral,0.549,neutral,0.586,neutral,0.62,neutral,0.593,neutral,0.507,negative,0.543,neutral,0.444,neutral,0.487,neutral,0.514
"Vaccines are the best shield against viral diseases such as measles, smallpox, COVID-19. When I was a kid, we all got measles, chicken pox, rubella: I never knew anyone dying. I remember my physician mother giving me drinks, aspirin, baths. Current measles viruses appear to be more dangerous.",post,peacescientists.bsky.social,2025-03-06 13:59:49.338000+00:00,https://bsky.app/profile/peacescientists.bsky.social/post/3ljpnppdhtk2o,at://did:plc:5veqaezbyj6fez5yzex7nkmq/app.bsky.feed.post/3ljpnppdhtk2o,measle,,,3/2/25,neutral,0.607,neutral,0.425,neutral,0.411,neutral,0.41,neutral,0.451,neutral,0.629,neutral,0.406,neutral,0.397,neutral,0.386,negative,0.443,negative,0.442,negative,0.488,neutral,0.485,neutral,0.642,neutral,0.681,neutral,0.545,neutral,0.643,neutral,0.471,neutral,0.736,neutral,0.599,neutral,0.595,neutral,0.649,neutral,0.727,neutral,0.652,neutral,0.664,neutral,0.407,neutral,0.565,neutral,0.6,neutral,0.611
"I’m not even sure what the boosters I had in January were for, although I don’t think for measles (I had never even heard of one existing). 

But the German M can come in here and explain what I had … I know one was for tetanus and I think another was for rubella. 

And, of course, my 8th Covid shot",post,mmadventures.bsky.social,2025-03-06 07:35:46.296000+00:00,https://bsky.app/profile/mmadventures.bsky.social/post/3ljoyaxrias2y,at://did:plc:ihggr3wpjvq4xkvifmbl7n24/app.bsky.feed.post/3ljoyaxrias2y,measle,,,3/2/25,neutral,0.602,neutral,0.582,neutral,0.596,neutral,0.537,neutral,0.602,neutral,0.73,neutral,0.552,neutral,0.566,neutral,0.499,neutral,0.52,neutral,0.523,neutral,0.515,neutral,0.566,neutral,0.591,neutral,0.689,neutral,0.721,neutral,0.636,neutral,0.488,neutral,0.722,neutral,0.638,neutral,0.707,neutral,0.695,neutral,0.77,neutral,0.72,neutral,0.671,neutral,0.549,neutral,0.598,neutral,0.715,neutral,0.69
"Boot camp vaccines.

Adenovirus, Types 4 and 7
COVID-19 * 
Influenza (Flu Shot)
Measles
Meningococcal
Mumps
Polio
Rubella
Tetanus-diphtheria
Varicella

COVID no longer required. The others are.

Eight others are as-needed / mandatory.

There’s no evidence of Covid vax being bad or having 5G.",post,makesalotofsense.com,2025-03-06 06:44:32.824000+00:00,https://bsky.app/profile/makesalotofsense.com/post/3ljovfeokqs2v,at://did:plc:3ukhhpu3ieorbyr446h6r3h3/app.bsky.feed.post/3ljovfeokqs2v,measle,,,3/2/25,negative,0.414,negative,0.491,negative,0.483,negative,0.482,negative,0.468,negative,0.455,negative,0.513,negative,0.514,negative,0.512,negative,0.547,negative,0.521,negative,0.572,negative,0.514,negative,0.48,negative,0.454,negative,0.403,negative,0.406,negative,0.535,neutral,0.527,negative,0.497,negative,0.533,negative,0.427,negative,0.436,negative,0.483,negative,0.517,negative,0.533,negative,0.482,negative,0.493,negative,0.493
"I forgot how achy and sore the COVID Boosters make me the day after.

My Aunt was grumpy all day bc she got hers as well and probably doesn’t feel good either.

I also got an MMR (Measles, Mumps, and Rubella) vax.",post,lisalauder.bsky.social,2025-03-05 22:10:23.832000+00:00,https://bsky.app/profile/lisalauder.bsky.social/post/3ljnynysatk27,at://did:plc:h5likhwv3psijz5rppwbdrj2/app.bsky.feed.post/3ljnynysatk27,mmr,,,3/2/25,neutral,0.697,neutral,0.572,neutral,0.575,neutral,0.546,neutral,0.6,neutral,0.743,neutral,0.5,neutral,0.529,neutral,0.561,negative,0.518,neutral,0.472,negative,0.511,neutral,0.661,neutral,0.513,neutral,0.835,neutral,0.789,neutral,0.776,neutral,0.652,neutral,0.792,neutral,0.721,neutral,0.751,neutral,0.731,neutral,0.794,neutral,0.733,neutral,0.783,neutral,0.524,neutral,0.753,neutral,0.784,neutral,0.734
"Being an immunocompromised person, I got my Covid booster yesterday. I forgot how achey it makes me. With everything going on, I asked if there was a measels booster I needed to take. I was told you're good to go after getting the initial Measles/Mumps/Rubella (MMR) series.",post,nemosyne970.bsky.social,2025-03-05 10:48:26.824000+00:00,https://bsky.app/profile/nemosyne970.bsky.social/post/3ljmskkwklk2j,at://did:plc:jdfkrpnhqdrzl7nvwb2ltkuj/app.bsky.feed.post/3ljmskkwklk2j,mmr,,,3/2/25,neutral,0.68,neutral,0.615,neutral,0.621,neutral,0.595,neutral,0.647,neutral,0.759,neutral,0.617,neutral,0.627,neutral,0.606,neutral,0.578,neutral,0.605,neutral,0.537,neutral,0.522,neutral,0.735,neutral,0.797,neutral,0.807,neutral,0.711,neutral,0.683,neutral,0.852,neutral,0.849,neutral,0.834,neutral,0.812,neutral,0.858,neutral,0.847,neutral,0.843,neutral,0.646,neutral,0.734,neutral,0.78,neutral,0.809
"We have measles, TB, dysentery, rubella, H5N1 and COVID running around. Please, mask up and check your vax status.",post,kodoandsangha.bsky.social,2025-03-05 09:40:28.476000+00:00,https://bsky.app/profile/kodoandsangha.bsky.social/post/3ljmoqzuqns2i,at://did:plc:jzhdjrd25wycuuxou4lahmfb/app.bsky.feed.post/3ljmoqzuqns2i,measle,,,3/2/25,neutral,0.643,neutral,0.588,neutral,0.602,neutral,0.529,neutral,0.56,neutral,0.758,neutral,0.455,neutral,0.477,negative,0.448,negative,0.497,negative,0.472,negative,0.496,neutral,0.487,neutral,0.668,neutral,0.585,neutral,0.601,neutral,0.585,neutral,0.436,neutral,0.746,neutral,0.505,negative,0.506,neutral,0.64,neutral,0.717,neutral,0.706,negative,0.472,neutral,0.471,neutral,0.577,neutral,0.589,neutral,0.639
"Already COVID-19 bulletproof with both Pfizer and J&J on board.

Added MMR (Measles, Mumps, Rubella), and Tdap (Whooping Cough and other joys).

Already good on RSV and New-Moan-Ya.

All ready for China to let another one slip.",post,jjhitt.bsky.social,2025-03-05 04:56:48.601000+00:00,https://bsky.app/profile/jjhitt.bsky.social/post/3ljm6vshfxc2u,at://did:plc:j2nstul6itlooyndm4hixfkx/app.bsky.feed.post/3ljm6vshfxc2u,mmr,,,3/2/25,neutral,0.536,positive,0.557,positive,0.572,positive,0.564,positive,0.516,neutral,0.551,positive,0.467,positive,0.52,neutral,0.518,positive,0.48,positive,0.427,positive,0.529,positive,0.64,neutral,0.56,neutral,0.532,neutral,0.646,neutral,0.565,neutral,0.55,neutral,0.775,neutral,0.616,neutral,0.607,neutral,0.644,neutral,0.653,neutral,0.656,neutral,0.645,positive,0.501,neutral,0.531,neutral,0.544,neutral,0.587
"That news is a matter of weak immunity, but I think measles-mumps-rubella vaccine is a proven tens of years old vaccine, & is very differnt than covid vaccines being tried upon people with STUPID&INHUMAN mandates since only 2021! With no mandate, I believe measles vaccines are safe to be applied.",post,the-wise-teen.bsky.social,2025-03-04 21:57:16.939000+00:00,https://bsky.app/profile/the-wise-teen.bsky.social/post/3ljlhhmvcqc2b,at://did:plc:upjzfmilyi2jywcesx6j3tmk/app.bsky.feed.post/3ljlhhmvcqc2b,measle,,,3/2/25,positive,0.397,negative,0.505,negative,0.491,negative,0.402,negative,0.447,negative,0.416,negative,0.519,negative,0.539,negative,0.494,negative,0.627,negative,0.567,negative,0.599,negative,0.412,negative,0.478,neutral,0.438,neutral,0.499,negative,0.695,negative,0.508,neutral,0.606,negative,0.523,negative,0.571,negative,0.396,negative,0.425,negative,0.43,negative,0.484,negative,0.574,negative,0.424,negative,0.436,neutral,0.446
"bird flu, COVID (still), measles, rubella, whooping cough, DYSENTERY, polio....

all spinning the block this year and it's only March",post,kidderkat.blacksky.app,2025-03-04 19:43:58.092000+00:00,https://bsky.app/profile/kidderkat.blacksky.app/post/3ljl7zalsr22t,at://did:plc:bzv3zu43nwkyqe56jgp7luoh/app.bsky.feed.post/3ljl7zalsr22t,measle,,,3/2/25,neutral,0.584,neutral,0.513,neutral,0.509,negative,0.457,neutral,0.518,neutral,0.603,negative,0.521,negative,0.503,negative,0.519,negative,0.583,negative,0.586,negative,0.564,negative,0.471,negative,0.483,neutral,0.578,neutral,0.678,neutral,0.57,neutral,0.451,neutral,0.645,negative,0.513,negative,0.55,neutral,0.56,neutral,0.547,neutral,0.504,negative,0.473,negative,0.501,neutral,0.549,neutral,0.539,neutral,0.479
"bad news is this one isn’t orange man’s fault, good news is this one doesn’t require masking for prevention (flu, H5N1, measles, rubella, covid, mpox all do!)",post,foundseed.bsky.social,2025-03-04 16:24:13.451000+00:00,https://bsky.app/profile/foundseed.bsky.social/post/3ljkuu35opk2c,at://did:plc:yyvgqqv3hph3khi2q5jlo5v5/app.bsky.feed.post/3ljkuu35opk2c,measle,,,3/2/25,negative,0.529,negative,0.611,negative,0.595,negative,0.622,negative,0.591,negative,0.543,negative,0.648,negative,0.675,negative,0.681,negative,0.729,negative,0.688,negative,0.732,negative,0.539,negative,0.542,negative,0.631,negative,0.513,negative,0.514,negative,0.647,negative,0.452,negative,0.756,negative,0.703,negative,0.559,negative,0.54,negative,0.579,negative,0.678,negative,0.694,negative,0.586,negative,0.589,negative,0.578
"Now is the time to get back in the habit, BEFORE you are exposed to measles, flu, or anything else we can no longer expect to be protected from. #measles #covid #flu #rubella",post,zil.bsky.social,2025-03-04 15:44:05.634000+00:00,https://bsky.app/profile/zil.bsky.social/post/3ljksmcutyk2v,at://did:plc:6rwzlhdtjjytoicky5hwlekx/app.bsky.feed.post/3ljksmcutyk2v,measle,,,3/2/25,neutral,0.542,neutral,0.525,neutral,0.558,neutral,0.444,neutral,0.551,neutral,0.636,negative,0.432,negative,0.43,negative,0.45,negative,0.481,negative,0.454,negative,0.465,neutral,0.496,neutral,0.631,neutral,0.565,neutral,0.559,neutral,0.526,negative,0.432,neutral,0.701,neutral,0.548,neutral,0.657,neutral,0.576,neutral,0.701,neutral,0.617,neutral,0.643,neutral,0.47,neutral,0.563,neutral,0.621,neutral,0.51
