PHR,group,level,n,answer,pct,low,high
10,Employment Status,Not employed,200,NO,82.7,72.7,89.6
10,Health Insurance,Health insurance,366,NO,85.3,79.2,89.9
10,Health Insurance,No health insurance,64,NO,55.6,41.2,69.2
10,Disability Status,Has disability,163,NO,72.8,61.9,81.6
10,Disability Status,No disability,255,NO,84.2,78.0,88.9
10,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
10,Sexual Orientation,Straight,353,NO,80.4,74.9,84.9
11,Total,Total,638,YES,16.9,13.0,21.7
11,Sex,Male,317,YES,13.0,8.4,19.7
11,Sex,Female,321,YES,20.7,14.8,28.1
11,Race/Ethnicity,"White, Non-Hispanic",137,YES,,,
11,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
11,Race/Ethnicity,Hispanic,448,YES,17.8,13.2,23.5
11,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
11,Age,18 to 29,100,YES,20.0,11.8,31.9
11,Age,30 to 44,154,YES,24.5,15.9,35.7
11,Age,45 to 64,194,YES,13.6,8.1,22.1
11,Age,65,186,YES,,,
11,Education,Less than high school,116,YES,21.0,11.7,34.8
11,Education,High school graduate,184,YES,14.9,9.7,22.3
11,Education,Some college,149,YES,21.2,13.3,32.1
11,Education,College graduate,181,YES,,,
11,Income,"<$25,000",156,YES,24.2,15.1,36.3
11,Income,"$25,000 to <$50,000",155,YES,17.3,10.4,27.3
11,Income,"$50,000.00",215,YES,,,
11,Marital Status,Married,286,YES,11.4,7.0,17.9
11,Marital Status,Not married,347,YES,21.3,15.4,28.6
11,Employment Status,Employed,311,YES,17.6,12.2,24.6
11,Employment Status,Not employed,311,YES,16.5,11.0,24.0
11,Health Insurance,Health insurance,486,YES,13.2,9.2,18.6
11,Health Insurance,No health insurance,99,YES,31.8,20.6,45.7
11,Disability Status,Has disability,227,YES,20.5,14.1,28.7
11,Disability Status,No disability,369,YES,15.8,10.7,22.7
11,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
11,Sexual Orientation,Straight,486,YES,17.9,13.2,23.9
11,Total,Total,638,NO,83.1,78.3,87.0
11,Sex,Male,317,NO,87.0,80.3,91.6
11,Sex,Female,321,NO,79.3,71.9,85.2
11,Race/Ethnicity,"White, Non-Hispanic",137,NO,83.8,69.8,92.1
11,Race/Ethnicity,"Black, Non-Hispanic",N,NO,,,
11,Race/Ethnicity,Hispanic,448,NO,82.2,76.5,86.8
11,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
11,Age,18 to 29,100,NO,80.0,68.1,88.2
11,Age,30 to 44,154,NO,75.5,64.3,84.1
11,Age,45 to 64,194,NO,86.4,77.9,91.9
11,Age,65,186,NO,92.9,84.5,96.9
11,Education,Less than high school,116,NO,79.0,65.2,88.3
11,Education,High school graduate,184,NO,85.1,77.7,90.3
11,Education,Some college,149,NO,78.8,67.9,86.7
11,Education,College graduate,181,NO,89.5,81.3,94.3
11,Income,"<$25,000",156,NO,75.8,63.7,84.9
11,Income,"$25,000 to <$50,000",155,NO,82.7,72.7,89.6
11,Income,"$50,000.00",215,NO,90.2,82.7,94.7
11,Marital Status,Married,286,NO,88.6,82.1,93.0
11,Marital Status,Not married,347,NO,78.7,71.4,84.6
11,Employment Status,Employed,311,NO,82.4,75.4,87.8
11,Employment Status,Not employed,311,NO,83.5,76.0,89.0
11,Health Insurance,Health insurance,486,NO,86.8,81.4,90.8
11,Health Insurance,No health insurance,99,NO,68.2,54.3,79.4
11,Disability Status,Has disability,227,NO,79.5,71.3,85.9
11,Disability Status,No disability,369,NO,84.2,77.3,89.3
11,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
11,Sexual Orientation,Straight,486,NO,82.1,76.1,86.8
1,Total,Total,976,YES,20.0,14.4,27.2
1,Sex,Male,476,YES,19.5,13.3,27.7
1,Sex,Female,500,YES,20.5,12.1,32.5
1,Race/Ethnicity,"White, Non-Hispanic",631,YES,11.3,7.1,17.6
1,Race/Ethnicity,"Black, Non-Hispanic",51,YES,,,
1,Race/Ethnicity,Hispanic,218,YES,30.3,18.8,45.0
1,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",52,YES,,,
1,Age,18 to 29,136,YES,,,
1,Age,30 to 44,221,YES,25.2,14.2,40.8
1,Age,45 to 64,283,YES,30.5,19.0,44.9
1,Age,65,329,YES,,,
1,Education,Less than high school,76,YES,49.0,28.4,69.9
1,Education,High school graduate,249,YES,16.7,9.6,27.4
1,Education,Some college,279,YES,,,
1,Education,College graduate,370,YES,,,
1,Income,"<$25,000",129,YES,,,
1,Income,"$25,000 to <$50,000",215,YES,28.6,15.5,46.7
1,Income,"$50,000.00",454,YES,,,
1,Marital Status,Married,504,YES,21.2,13.0,32.6
1,Marital Status,Not married,468,YES,18.5,12.2,27.0
1,Employment Status,Employed,527,YES,20.4,13.2,30.3
1,Employment Status,Not employed,431,YES,21.0,12.6,32.8
1,Health Insurance,Health insurance,843,YES,15.3,10.0,22.6
1,Health Insurance,No health insurance,89,YES,50.7,28.2,72.9
1,Disability Status,Has disability,295,YES,29.4,18.2,43.8
1,Disability Status,No disability,618,YES,15.4,9.2,24.6
1,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
1,Sexual Orientation,Straight,850,YES,17.0,11.5,24.2
1,Total,Total,976,NO,80.0,72.8,85.6
1,Sex,Male,476,NO,80.5,72.3,86.7
1,Sex,Female,500,NO,79.5,67.5,87.9
1,Race/Ethnicity,"White, Non-Hispanic",631,NO,88.7,82.4,92.9
1,Race/Ethnicity,"Black, Non-Hispanic",51,NO,91.0,76.6,96.9
1,Race/Ethnicity,Hispanic,218,NO,69.7,55.0,81.2
1,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",52,NO,70.0,37.0,90.3
1,Age,18 to 29,136,NO,89.1,78.2,94.9
1,Age,30 to 44,221,NO,74.8,59.2,85.8
1,Age,45 to 64,283,NO,69.5,55.1,81.0
1,Age,65,329,NO,91.7,78.0,97.2
1,Education,Less than high school,76,NO,51.0,30.1,71.6
1,Education,High school graduate,249,NO,83.3,72.6,90.4
1,Education,Some college,279,NO,78.7,62.6,89.1
1,Education,College graduate,370,NO,89.8,80.9,94.8
1,Income,"<$25,000",129,NO,69.2,48.3,84.4
1,Income,"$25,000 to <$50,000",215,NO,71.4,53.3,84.5
1,Income,"$50,000.00",454,NO,92.6,86.3,96.2
1,Marital Status,Married,504,NO,78.8,67.4,87.0
1,Marital Status,Not married,468,NO,81.5,73.0,87.8
1,Employment Status,Employed,527,NO,79.6,69.7,86.8
1,Employment Status,Not employed,431,NO,79.0,67.2,87.4
1,Health Insurance,Health insurance,843,NO,84.7,77.4,90.0
1,Health Insurance,No health insurance,89,NO,49.3,27.1,71.8
1,Disability Status,Has disability,295,NO,70.6,56.2,81.8
1,Disability Status,No disability,618,NO,84.6,75.4,90.8
1,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
1,Sexual Orientation,Straight,850,NO,83.0,75.8,88.5
2,Total,Total,944,YES,20.9,14.2,29.7
2,Sex,Male,458,YES,,,
2,Sex,Female,486,YES,21.9,13.6,33.3
2,Race/Ethnicity,"White, Non-Hispanic",707,YES,14.3,8.6,22.8
2,Race/Ethnicity,"Black, Non-Hispanic",55,YES,,,
2,Race/Ethnicity,Hispanic,115,YES,38.8,19.9,61.8
2,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
2,Age,18 to 29,118,YES,,,
2,Age,30 to 44,183,YES,26.5,14.6,43.1
2,Age,45 to 64,287,YES,,,
2,Age,65,346,YES,,,
2,Education,Less than high school,67,YES,45.4,23.4,69.3
2,Education,High school graduate,251,YES,25.1,13.6,41.8
2,Education,Some college,289,YES,13.9,9.2,20.4
2,Education,College graduate,334,YES,4.0,2.3,7.0
2,Income,"<$25,000",144,YES,44.6,25.1,65.9
2,Income,"$25,000 to <$50,000",192,YES,,,
2,Income,"$50,000.00",449,YES,6.2,3.9,9.6
2,Marital Status,Married,508,YES,,,
2,Marital Status,Not married,433,YES,27.1,17.4,39.6
2,Employment Status,Employed,459,YES,20.3,12.5,31.3
2,Employment Status,Not employed,472,YES,21.6,11.7,36.6
2,Health Insurance,Health insurance,833,YES,15.9,9.3,25.8
2,Health Insurance,No health insurance,69,YES,60.0,39.0,77.9
2,Disability Status,Has disability,330,YES,32.1,18.6,49.4
2,Disability Status,No disability,554,YES,14.5,9.2,22.2
2,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
2,Sexual Orientation,Straight,826,YES,19.2,12.2,29.0
2,Total,Total,944,NO,79.1,70.3,85.8
2,Sex,Male,458,NO,80.0,65.4,89.5
2,Sex,Female,486,NO,78.1,66.7,86.4
2,Race/Ethnicity,"White, Non-Hispanic",707,NO,85.7,77.2,91.4
2,Race/Ethnicity,"Black, Non-Hispanic",55,NO,87.9,69.4,95.9
2,Race/Ethnicity,Hispanic,115,NO,61.2,38.2,80.1
2,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
2,Age,18 to 29,118,NO,67.9,43.6,85.3
2,Age,30 to 44,183,NO,73.5,56.9,85.4
2,Age,45 to 64,287,NO,72.3,53.3,85.6
2,Age,65,346,NO,95.9,86.0,98.9
2,Education,Less than high school,67,NO,54.6,30.7,76.6
2,Education,High school graduate,251,NO,74.9,58.2,86.4
2,Education,Some college,289,NO,86.1,79.6,90.8
2,Education,College graduate,334,NO,96.0,93.0,97.7
2,Income,"<$25,000",144,NO,55.4,34.1,74.9
2,Income,"$25,000 to <$50,000",192,NO,78.0,58.0,90.1
2,Income,"$50,000.00",449,NO,93.8,90.4,96.1
2,Marital Status,Married,508,NO,83.5,70.1,91.6
2,Marital Status,Not married,433,NO,72.9,60.4,82.6
2,Employment Status,Employed,459,NO,79.7,68.7,87.5
2,Employment Status,Not employed,472,NO,78.4,63.4,88.3
2,Health Insurance,Health insurance,833,NO,84.1,74.2,90.7
2,Health Insurance,No health insurance,69,NO,40.0,22.1,61.0
2,Disability Status,Has disability,330,NO,67.9,50.6,81.4
2,Disability Status,No disability,554,NO,85.5,77.8,90.8
2,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
2,Sexual Orientation,Straight,826,NO,80.8,71.0,87.8
3,Total,Total,"2,660",YES,16.6,14.6,18.8
3,Sex,Male,"1,362",YES,13.5,10.9,16.5
3,Sex,Female,"1,298",YES,19.6,16.7,22.9
3,Race/Ethnicity,"White, Non-Hispanic","1,597",YES,12.8,10.7,15.3
3,Race/Ethnicity,"Black, Non-Hispanic",295,YES,18.2,13.3,24.5
3,Race/Ethnicity,Hispanic,424,YES,23.3,18.3,29.2
3,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",289,YES,12.1,8.5,17.1
3,Age,18 to 29,472,YES,17.3,13.4,22.1
3,Age,30 to 44,670,YES,21.0,17.0,25.7
3,Age,45 to 64,784,YES,18.4,14.5,22.9
3,Age,65,694,YES,5.4,3.5,8.4
3,Education,Less than high school,134,YES,28.2,19.1,39.5
3,Education,High school graduate,580,YES,18.8,14.8,23.5
3,Education,Some college,712,YES,19.2,15.5,23.4
3,Education,College graduate,"1,221",YES,8.7,6.9,10.8
3,Income,"<$25,000",247,YES,32.9,24.6,42.5
3,Income,"$25,000 to <$50,000",473,YES,22.8,17.7,28.8
3,Income,"$50,000.00","1,415",YES,11.3,9.1,14.0
3,Marital Status,Married,"1,362",YES,11.7,9.3,14.6
3,Marital Status,Not married,"1,272",YES,21.7,18.5,25.1
3,Employment Status,Employed,"1,504",YES,14.9,12.6,17.6
3,Employment Status,Not employed,"1,096",YES,17.8,14.4,21.8
3,Health Insurance,Health insurance,"2,263",YES,12.7,10.8,14.8
3,Health Insurance,No health insurance,275,YES,42.5,34.5,51.0
3,Disability Status,Has disability,730,YES,28.8,24.0,34.1
3,Disability Status,No disability,"1,749",YES,11.6,9.7,13.9
3,Sexual Orientation,"Gay, Lesbian, or Bisexual",159,YES,26.6,18.6,36.5
3,Sexual Orientation,Straight,"2,044",YES,13.7,11.7,16.0
3,Total,Total,"2,660",NO,83.4,81.2,85.4
3,Sex,Male,"1,362",NO,86.5,83.5,89.1
3,Sex,Female,"1,298",NO,80.4,77.1,83.3
3,Race/Ethnicity,"White, Non-Hispanic","1,597",NO,87.2,84.7,89.3
3,Race/Ethnicity,"Black, Non-Hispanic",295,NO,81.8,75.5,86.7
3,Race/Ethnicity,Hispanic,424,NO,76.7,70.8,81.7
3,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",289,NO,87.9,82.9,91.5
3,Age,18 to 29,472,NO,82.7,77.9,86.6
3,Age,30 to 44,670,NO,79.0,74.3,83.0
3,Age,45 to 64,784,NO,81.6,77.1,85.5
3,Age,65,694,NO,94.6,91.6,96.5
3,Education,Less than high school,134,NO,71.8,60.5,80.9
3,Education,High school graduate,580,NO,81.2,76.5,85.2
3,Education,Some college,712,NO,80.8,76.6,84.5
3,Education,College graduate,"1,221",NO,91.3,89.2,93.1
3,Income,"<$25,000",247,NO,67.1,57.5,75.4
3,Income,"$25,000 to <$50,000",473,NO,77.2,71.2,82.3
3,Income,"$50,000.00","1,415",NO,88.7,86.0,90.9
3,Marital Status,Married,"1,362",NO,88.3,85.4,90.7
3,Marital Status,Not married,"1,272",NO,78.3,74.9,81.5
3,Employment Status,Employed,"1,504",NO,85.1,82.4,87.4
3,Employment Status,Not employed,"1,096",NO,82.2,78.2,85.6
3,Health Insurance,Health insurance,"2,263",NO,87.3,85.2,89.2
3,Health Insurance,No health insurance,275,NO,57.5,49.0,65.5
3,Disability Status,Has disability,730,NO,71.2,65.9,76.0
3,Disability Status,No disability,"1,749",NO,88.4,86.1,90.3
3,Sexual Orientation,"Gay, Lesbian, or Bisexual",159,NO,73.4,63.5,81.4
3,Sexual Orientation,Straight,"2,044",NO,86.3,84.0,88.3
4,Total,Total,253,YES,21.6,14.9,30.2
4,Sex,Male,124,YES,21.0,12.7,32.8
4,Sex,Female,129,YES,22.0,12.7,35.4
4,Race/Ethnicity,"White, Non-Hispanic",178,YES,15.9,9.8,24.8
4,Race/Ethnicity,"Black, Non-Hispanic",N,YES,,,
4,Race/Ethnicity,Hispanic,N,YES,,,
4,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
4,Age,18 to 29,N,YES,,,
4,Age,30 to 44,52,YES,21.6,12.1,35.6
4,Age,45 to 64,79,YES,18.6,10.7,30.4
4,Age,65,99,YES,,,
4,Education,Less than high school,N,YES,,,
4,Education,High school graduate,87,YES,20.3,10.9,34.8
4,Education,Some college,78,YES,16.8,9.5,28.0
4,Education,College graduate,69,YES,,,
4,Income,"<$25,000",N,YES,,,
4,Income,"$25,000 to <$50,000",65,YES,34.1,18.5,54.1
4,Income,"$50,000.00",90,YES,,,
4,Marital Status,Married,121,YES,17.1,9.9,27.9
4,Marital Status,Not married,132,YES,26.6,16.1,40.6
4,Employment Status,Employed,103,YES,22.5,14.1,33.9
4,Employment Status,Not employed,143,YES,21.1,11.4,35.8
4,Health Insurance,Health insurance,216,YES,22.2,14.4,32.5
4,Health Insurance,No health insurance,N,YES,,,
4,Disability Status,Has disability,83,YES,35.8,20.8,54.2
4,Disability Status,No disability,151,YES,15.9,9.3,26.0
4,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
4,Sexual Orientation,Straight,184,YES,19.5,12.9,28.5
4,Total,Total,253,NO,78.4,69.8,85.1
4,Sex,Male,124,NO,79.0,67.2,87.3
4,Sex,Female,129,NO,78.0,64.6,87.3
4,Race/Ethnicity,"White, Non-Hispanic",178,NO,84.1,75.2,90.2
4,Race/Ethnicity,"Black, Non-Hispanic",N,NO,,,
4,Race/Ethnicity,Hispanic,N,NO,,,
4,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
4,Age,18 to 29,N,NO,,,
4,Age,30 to 44,52,NO,78.4,64.4,87.9
4,Age,45 to 64,79,NO,81.4,69.6,89.3
4,Age,65,99,NO,91.2,80.4,96.3
4,Education,Less than high school,N,NO,,,
4,Education,High school graduate,87,NO,79.7,65.2,89.1
4,Education,Some college,78,NO,83.2,72.0,90.5
4,Education,College graduate,69,NO,84.0,70.8,91.9
4,Income,"<$25,000",N,NO,,,
4,Income,"$25,000 to <$50,000",65,NO,65.9,45.9,81.5
4,Income,"$50,000.00",90,NO,91.7,83.5,96.0
4,Marital Status,Married,121,NO,82.9,72.1,90.1
4,Marital Status,Not married,132,NO,73.4,59.4,83.9
4,Employment Status,Employed,103,NO,77.5,66.1,85.9
4,Employment Status,Not employed,143,NO,78.9,64.2,88.6
4,Health Insurance,Health insurance,216,NO,77.8,67.5,85.6
4,Health Insurance,No health insurance,N,NO,,,
4,Disability Status,Has disability,83,NO,64.2,45.8,79.2
4,Disability Status,No disability,151,NO,84.1,74.0,90.7
4,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
4,Sexual Orientation,Straight,184,NO,80.5,71.5,87.1
5,Total,Total,590,YES,18.1,12.3,25.9
5,Sex,Male,280,YES,13.2,7.3,22.9
5,Sex,Female,310,YES,24.0,14.6,36.8
5,Race/Ethnicity,"White, Non-Hispanic",379,YES,19.2,10.8,31.8
5,Race/Ethnicity,"Black, Non-Hispanic",91,YES,,,
5,Race/Ethnicity,Hispanic,73,YES,,,
5,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
5,Age,18 to 29,67,YES,,,
5,Age,30 to 44,99,YES,,,
5,Age,45 to 64,179,YES,18.6,10.9,30.1
5,Age,65,237,YES,,,
5,Education,Less than high school,N,YES,,,
5,Education,High school graduate,184,YES,,,
5,Education,Some college,186,YES,,,
5,Education,College graduate,173,YES,,,
5,Income,"<$25,000",97,YES,37.4,20.0,58.7
5,Income,"$25,000 to <$50,000",132,YES,,,
5,Income,"$50,000.00",238,YES,,,
5,Marital Status,Married,265,YES,19.2,10.7,32.0
5,Marital Status,Not married,321,YES,17.1,10.0,27.7
5,Employment Status,Employed,252,YES,22.4,13.7,34.3
5,Employment Status,Not employed,326,YES,,,
5,Health Insurance,Health insurance,512,YES,13.0,8.1,20.3
5,Health Insurance,No health insurance,53,YES,44.6,22.9,68.7
5,Disability Status,Has disability,206,YES,28.4,16.7,44.0
5,Disability Status,No disability,352,YES,13.3,7.2,23.0
5,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
5,Sexual Orientation,Straight,495,YES,18.2,11.6,27.4
5,Total,Total,590,NO,81.9,74.1,87.7
5,Sex,Male,280,NO,86.8,77.1,92.7
5,Sex,Female,310,NO,76.0,63.2,85.4
5,Race/Ethnicity,"White, Non-Hispanic",379,NO,80.8,68.2,89.2
5,Race/Ethnicity,"Black, Non-Hispanic",91,NO,81.8,64.4,91.7
5,Race/Ethnicity,Hispanic,73,NO,86.2,69.1,94.6
5,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,NO,,,
5,Age,18 to 29,67,NO,83.5,65.7,93.0
5,Age,30 to 44,99,NO,64.6,42.1,82.1
5,Age,45 to 64,179,NO,81.4,69.9,89.1
5,Age,65,237,NO,94.1,82.5,98.2
5,Education,Less than high school,N,NO,,,
5,Education,High school graduate,184,NO,83.8,68.8,92.4
5,Education,Some college,186,NO,83.8,69.1,92.3
5,Education,College graduate,173,NO,92.5,83.4,96.8
5,Income,"<$25,000",97,NO,62.6,41.3,80.0
5,Income,"$25,000 to <$50,000",132,NO,91.5,84.2,95.6
5,Income,"$50,000.00",238,NO,84.0,69.5,92.4
5,Marital Status,Married,265,NO,80.8,68.0,89.3
5,Marital Status,Not married,321,NO,82.9,72.3,90.0
5,Employment Status,Employed,252,NO,77.6,65.7,86.3
5,Employment Status,Not employed,326,NO,86.6,74.7,93.3
5,Health Insurance,Health insurance,512,NO,87.0,79.7,91.9
5,Health Insurance,No health insurance,53,NO,55.4,31.3,77.1
5,Disability Status,Has disability,206,NO,71.6,56.0,83.3
5,Disability Status,No disability,352,NO,86.7,77.0,92.8
5,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
5,Sexual Orientation,Straight,495,NO,81.8,72.6,88.4
6,Total,Total,"1,675",YES,17.3,14.0,21.2
6,Sex,Male,881,YES,14.2,10.3,19.2
6,Sex,Female,794,YES,20.3,15.2,26.5
6,Race/Ethnicity,"White, Non-Hispanic",915,YES,9.8,6.4,14.6
6,Race/Ethnicity,"Black, Non-Hispanic",195,YES,21.1,12.6,33.2
6,Race/Ethnicity,Hispanic,383,YES,25.0,18.6,32.7
6,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",148,YES,,,
6,Age,18 to 29,311,YES,15.2,10.1,22.3
6,Age,30 to 44,391,YES,29.1,21.5,38.0
6,Age,45 to 64,507,YES,16.2,10.4,24.4
6,Age,65,448,YES,,,
6,Education,Less than high school,126,YES,26.7,15.6,41.9
6,Education,High school graduate,371,YES,20.3,13.8,28.8
6,Education,Some college,399,YES,20.4,13.8,29.1
6,Education,College graduate,768,YES,8.2,5.2,12.8
6,Income,"<$25,000",187,YES,38.8,26.6,52.5
6,Income,"$25,000 to <$50,000",329,YES,24.5,16.4,34.9
6,Income,"$50,000.00",830,YES,10.5,6.9,15.6
6,Marital Status,Married,792,YES,14.5,9.9,20.6
6,Marital Status,Not married,860,YES,20.3,15.7,25.8
6,Employment Status,Employed,923,YES,17.1,12.8,22.5
6,Employment Status,Not employed,729,YES,16.8,11.9,23.0
6,Health Insurance,Health insurance,"1,387",YES,9.5,6.9,12.9
6,Health Insurance,No health insurance,206,YES,54.0,42.6,65.0
6,Disability Status,Has disability,474,YES,28.2,20.7,37.1
6,Disability Status,No disability,"1,103",YES,12.6,9.1,17.3
6,Sexual Orientation,"Gay, Lesbian, or Bisexual",92,YES,,,
6,Sexual Orientation,Straight,"1,254",YES,12.9,9.1,17.9
6,Total,Total,"1,675",NO,82.7,78.8,86.0
6,Sex,Male,881,NO,85.8,80.8,89.7
6,Sex,Female,794,NO,79.7,73.5,84.8
6,Race/Ethnicity,"White, Non-Hispanic",915,NO,90.2,85.4,93.6
6,Race/Ethnicity,"Black, Non-Hispanic",195,NO,78.9,66.8,87.4
6,Race/Ethnicity,Hispanic,383,NO,75.0,67.3,81.4
6,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",148,NO,90.5,79.7,95.9
6,Age,18 to 29,311,NO,84.8,77.7,89.9
6,Age,30 to 44,391,NO,70.9,62.0,78.5
6,Age,45 to 64,507,NO,83.8,75.6,89.6
6,Age,65,448,NO,95.8,91.7,97.9
6,Education,Less than high school,126,NO,73.3,58.1,84.4
6,Education,High school graduate,371,NO,79.7,71.2,86.2
6,Education,Some college,399,NO,79.6,70.9,86.2
6,Education,College graduate,768,NO,91.8,87.2,94.8
6,Income,"<$25,000",187,NO,61.2,47.5,73.4
6,Income,"$25,000 to <$50,000",329,NO,75.5,65.1,83.6
6,Income,"$50,000.00",830,NO,89.5,84.4,93.1
6,Marital Status,Married,792,NO,85.5,79.4,90.1
6,Marital Status,Not married,860,NO,79.7,74.2,84.3
6,Employment Status,Employed,923,NO,82.9,77.5,87.2
6,Employment Status,Not employed,729,NO,83.2,77.0,88.1
6,Health Insurance,Health insurance,"1,387",NO,90.5,87.1,93.1
6,Health Insurance,No health insurance,206,NO,46.0,35.0,57.4
6,Disability Status,Has disability,474,NO,71.8,62.9,79.3
6,Disability Status,No disability,"1,103",NO,87.4,82.7,90.9
6,Sexual Orientation,"Gay, Lesbian, or Bisexual",92,NO,76.2,59.4,87.6
6,Sexual Orientation,Straight,"1,254",NO,87.1,82.1,90.9
7,Total,Total,"1,365",YES,13.0,10.6,16.0
7,Sex,Male,685,YES,10.2,7.5,13.8
7,Sex,Female,680,YES,15.5,11.7,20.3
7,Race/Ethnicity,"White, Non-Hispanic",866,YES,9.1,6.9,12.0
7,Race/Ethnicity,"Black, Non-Hispanic",86,YES,,,
7,Race/Ethnicity,Hispanic,274,YES,18.5,13.4,24.8
7,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",107,YES,,,
7,Age,18 to 29,276,YES,16.0,11.8,21.4
7,Age,30 to 44,352,YES,18.2,12.2,26.4
7,Age,45 to 64,380,YES,10.3,7.0,15.0
7,Age,65,336,YES,,,
7,Education,Less than high school,71,YES,25.7,15.3,39.9
7,Education,High school graduate,270,YES,15.4,9.6,23.9
7,Education,Some college,336,YES,11.6,8.1,16.4
7,Education,College graduate,682,YES,8.3,6.2,11.0
7,Income,"<$25,000",125,YES,35.4,22.6,50.8
7,Income,"$25,000 to <$50,000",226,YES,20.7,14.1,29.3
7,Income,"$50,000.00",764,YES,7.1,5.3,9.5
7,Marital Status,Married,675,YES,9.7,7.0,13.3
7,Marital Status,Not married,680,YES,16.5,12.4,21.5
7,Employment Status,Employed,824,YES,11.8,9.5,14.5
