County,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Brazoria,0.80%,0.79%,0.93%,0.97%,1.11%,1.12%,1.51%,1.72%,1.83%,0.47%
Brazos,0.76%,0.76%,0.76%,0.89%,0.98%,0.80%,1.02%,0.96%,1.57%,1.53%
Brewster,1.36%,1.56%,1.72%,1.34%,2.09%,1.74%,2.24%,4.26%,4.86%,6.64%
Briscoe,3.55%,3.26%,2.02%,1.68%,3.30%,3.87%,4.52%,6.93%,8.53%,9.79%
Brooks,0.00%,0.06%,0.19%,0.33%,0.07%,0.33%,0.24%,0.46%,0.31%,0.50%
Brown,0.62%,0.99%,1.15%,1.59%,1.52%,1.44%,1.89%,2.30%,3.03%,3.05%
Burleson,0.19%,0.19%,0.40%,0.76%,0.55%,0.60%,1.03%,0.84%,0.90%,1.50%
Burnet,2.21%,2.44%,2.64%,3.28%,3.42%,3.26%,4.00%,5.42%,6.03%,7.13%
Caldwell,1.07%,1.26%,1.35%,1.19%,1.46%,0.36%,1.50%,1.74%,1.88%,1.80%
Calhoun,0.39%,0.47%,0.59%,0.63%,0.63%,0.39%,0.03%,0.72%,0.72%,1.13%
Callahan,1.39%,1.81%,1.46%,1.19%,2.02%,1.77%,2.27%,3.51%,3.96%,4.71%
Cameron,0.12%,0.13%,0.13%,0.21%,0.21%,0.27%,0.29%,0.35%,0.43%,0.47%
Camp,0.00%,0.04%,0.04%,0.00%,0.26%,0.44%,0.70%,0.58%,0.96%,1.69%
Carson,1.26%,1.44%,1.94%,2.11%,2.38%,2.80%,3.92%,3.45%,4.13%,5.23%
Cass,0.57%,0.56%,0.74%,0.65%,1.62%,23.19%,2.14%,2.41%,2.78%,3.58%
Castro,0.00%,0.38%,0.44%,0.64%,0.63%,0.72%,1.06%,0.68%,1.02%,1.12%
Chambers,0.80%,1.07%,1.16%,1.45%,1.79%,1.95%,2.09%,2.56%,2.98%,2.92%
Cherokee,0.36%,0.39%,0.49%,0.52%,0.48%,0.42%,0.60%,0.86%,1.10%,1.28%
Childress,0.09%,0.18%,0.19%,0.48%,0.76%,0.63%,0.59%,0.10%,0.31%,0.41%
Clay,0.52%,0.33%,0.73%,0.83%,0.82%,1.01%,1.93%,2.09%,2.55%,4.90%
Cochran,0.29%,0.29%,0.30%,0.31%,1.74%,2.46%,2.34%,3.05%,3.24%,4.55%
Coke,0.79%,1.93%,2.72%,2.96%,2.80%,2.14%,1.91%,4.07%,3.51%,3.06%
Coleman,0.28%,1.16%,0.66%,0.75%,0.87%,0.76%,1.06%,2.33%,3.13%,3.65%
Collin,1.92%,2.08%,2.21%,2.48%,2.69%,2.74%,3.13%,3.36%,3.85%,4.25%
Collingsworth,1.16%,1.32%,1.99%,2.64%,3.46%,2.60%,3.24%,4.84%,2.77%,10.68%
Colorado,0.39%,0.06%,0.35%,0.46%,0.76%,0.89%,0.94%,0.94%,1.40%,1.29%
Comal,1.60%,1.77%,2.07%,2.40%,1.20%,2.61%,3.17%,3.81%,4.26%,4.92%
Comanche,0.73%,1.01%,0.93%,0.60%,1.12%,1.46%,1.45%,1.36%,1.74%,2.30%
Concho,0.00%,1.40%,0.66%,0.68%,0.00%,0.45%,0.46%,1.46%,0.26%,2.54%
Cooke,0.87%,1.04%,1.02%,1.60%,1.84%,1.79%,2.03%,2.40%,2.87%,3.57%
Coryell,0.74%,0.47%,1.01%,1.25%,1.60%,1.36%,1.75%,2.03%,2.36%,2.60%
Cottle,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.32%,2.58%,2.65%
Crane,0.44%,0.29%,0.37%,0.83%,0.55%,0.58%,0.09%,0.00%,NR**,0.43%
Crockett,0.52%,0.54%,0.42%,0.41%,0.52%,0.82%,0.86%,0.90%,0.81%,0.67%
Crosby,0.99%,0.72%,1.02%,0.95%,0.51%,0.52%,0.81%,1.08%,23.68%,1.79%
Culberson,0.00%,0.00%,0.51%,0.00%,0.29%,0.00%,0.00%,0.27%,0.51%,0.52%
Dallam,1.41%,1.13%,1.66%,0.96%,1.34%,1.35%,1.21%,1.74%,1.86%,2.06%
Dallas,0.60%,0.64%,0.74%,0.91%,1.26%,5.28%,1.28%,1.35%,1.44%,1.81%
Dawson,0.47%,0.64%,0.54%,1.56%,2.32%,2.01%,2.30%,2.26%,2.52%,4.08%
Deaf Smith,0.00%,0.13%,0.19%,0.22%,0.23%,0.10%,0.17%,0.15%,0.17%,0.23%
Delta,1.61%,1.68%,1.17%,1.46%,1.08%,0.13%,1.51%,1.21%,1.70%,0.67%
Denton,2.05%,2.92%,2.22%,2.89%,3.00%,2.94%,3.29%,3.69%,4.22%,4.81%
DeWitt,0.48%,0.52%,0.53%,0.51%,0.53%,0.59%,0.96%,,1.56%,2.14%
Dickens,0.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,1.66%,2.14%,1.49%
Dimmit,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.05%,0.11%
Donley,0.52%,0.53%,1.48%,0.93%,1.74%,1.88%,2.39%,2.73%,3.92%,4.21%
Duval,0.04%,0.12%,0.08%,0.19%,0.19%,0.23%,0.30%,0.53%,0.49%,0.57%
Eastland,1.51%,2.12%,2.09%,2.42%,2.72%,2.24%,2.29%,2.61%,1.21%,3.99%
Ector,0.52%,0.64%,0.59%,0.76%,0.82%,0.87%,0.62%,0.83%,0.90%,1.60%
Edwards,0.00%,0.38%,0.35%,0.55%,2.50%,2.76%,1.46%,2.04%,2.31%,2.35%
El Paso,0.24%,0.23%,0.30%,0.36%,0.39%,0.25%,0.78%,0.43%,0.55%,0.73%
Ellis,0.99%,1.21%,1.48%,1.69%,1.85%,2.73%,2.14%,3.19%,3.24%,3.71%
Erath,1.32%,0.91%,1.08%,1.28%,1.75%,1.65%,1.90%,2.40%,3.25%,3.74%
Falls,0.23%,0.43%,0.14%,0.14%,0.18%,0.51%,0.59%,1.16%,1.28%,1.19%
Fannin,0.91%,1.07%,1.14%,1.19%,1.35%,1.32%,1.57%,2.46%,3.29%,4.12%
Fayette,0.92%,0.89%,0.49%,1.06%,1.17%,1.02%,1.21%,1.69%,2.11%,2.05%
Fisher,0.57%,0.59%,0.99%,0.54%,0.19%,0.00%,0.56%,0.89%,1.23%,2.23%
Floyd,0.16%,0.17%,0.23%,0.18%,0.36%,0.70%,0.27%,0.40%,1.37%,1.64%
Foard,0.00%,0.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.56%,1.04%,1.55%
Fort Bend,0.45%,0.54%,0.58%,0.69%,0.76%,0.71%,0.79%,0.70%,0.81%,1.28%
Franklin,0.75%,0.83%,0.64%,0.57%,0.53%,0.70%,0.82%,0.79%,2.15%,3.28%
Freestone,0.76%,0.86%,0.99%,1.33%,1.54%,1.47%,1.51%,2.18%,2.93%,1.82%
Frio,0.06%,0.03%,0.16%,0.17%,0.27%,0.42%,0.52%,0.55%,0.63%,0.40%
Gaines,4.83%,6.26%,8.78%,10.37%,11.68%,10.94%,11.77%,8.95%,13.60%,14.54%
Galveston,0.99%,1.19%,1.26%,1.41%,1.55%,1.51%,1.90%,2.34%,2.36%,2.97%
Garza,0.60%,0.60%,0.42%,0.77%,1.04%,1.07%,1.93%,2.43%,2.43%,2.71%
Gillespie,1.77%,2.04%,2.92%,3.87%,4.03%,19.32%,3.53%,4.87%,4.82%,7.04%
Glasscock,0.00%,0.00%,1.68%,0.34%,0.70%,1.43%,2.19%,1.75%,2.18%,2.55%
Goliad,0.46%,0.71%,0.45%,0.63%,0.88%,1.07%,1.71%,1.44%,1.64%,1.51%
Gonzales,0.22%,0.15%,0.20%,0.35%,0.51%,0.51%,0.67%,0.61%,1.25%,1.27%
Gray,0.12%,0.30%,0.18%,0.59%,0.61%,0.80%,0.94%,0.66%,1.28%,1.64%
Grayson,0.97%,1.17%,1.46%,1.68%,2.01%,2.11%,2.39%,3.08%,3.35%,3.04%
Gregg,0.95%,0.87%,1.11%,1.32%,1.28%,1.40%,1.42%,2.25%,2.55%,2.72%
Grimes,0.61%,0.85%,0.95%,1.06%,1.37%,1.35%,1.88%,2.30%,2.20%,3.03%
Guadalupe,0.68%,0.63%,0.87%,1.04%,1.04%,0.81%,0.90%,1.41%,1.88%,2.26%
Hale,0.17%,0.40%,0.45%,0.67%,0.69%,0.73%,0.81%,0.82%,1.05%,1.30%
Hall,0.16%,0.61%,0.31%,0.31%,0.67%,0.85%,0.87%,1.62%,1.87%,4.79%
Hamilton,0.87%,0.69%,0.96%,1.93%,1.63%,1.77%,2.75%,3.40%,4.43%,5.21%
Hansford,1.33%,1.11%,1.03%,1.32%,1.14%,0.70%,1.03%,1.59%,1.69%,1.56%
Hardeman,1.68%,2.84%,0.00%,1.40%,2.22%,1.17%,1.02%,1.93%,1.07%,0.79%
Hardin,0.84%,0.96%,1.02%,1.50%,1.65%,1.54%,2.17%,2.52%,3.04%,3.96%
Harris,0.62%,0.72%,0.83%,0.90%,0.93%,0.90%,1.15%,1.42%,1.65%,1.76%
Harrison,0.49%,0.62%,0.78%,0.99%,0.86%,0.85%,0.85%,1.10%,1.27%,2.34%
Hartley,2.24%,4.06%,2.69%,2.31%,2.78%,1.81%,1.07%,2.93%,3.11%,1.75%
Haskell,0.40%,0.37%,0.65%,0.50%,0.75%,0.55%,0.69%,1.84%,2.31%,2.45%
Hays,1.96%,2.20%,2.09%,2.04%,2.51%,2.42%,2.54%,2.80%,3.16%,3.08%
Hemphill,1.03%,0.63%,1.35%,1.31%,1.91%,1.94%,1.65%,2.17%,2.64%,3.03%
Henderson,0.84%,1.10%,1.30%,1.48%,1.65%,1.80%,2.11%,2.53%,2.92%,3.94%
Hidalgo,0.10%,0.14%,0.19%,0.24%,0.30%,0.32%,0.63%,0.63%,0.64%,0.79%
Hill,0.54%,0.66%,0.75%,0.94%,1.05%,1.14%,1.21%,2.13%,1.86%,3.01%
Hockley,0.59%,0.88%,0.58%,1.00%,1.08%,1.04%,1.50%,2.30%,2.75%,2.90%
Hood,1.73%,2.19%,2.07%,2.57%,2.61%,2.61%,3.10%,3.41%,4.84%,5.54%
Hopkins,0.77%,0.94%,1.02%,0.88%,1.17%,1.57%,1.65%,2.01%,2.44%,3.01%
Houston,0.57%,0.77%,1.07%,1.34%,1.32%,21.10%,2.82%,1.76%,2.11%,2.96%
Howard,0.71%,0.90%,0.86%,0.80%,0.96%,1.01%,1.12%,1.30%,1.61%,1.83%
Hudspeth,0.00%,0.78%,0.18%,0.20%,0.18%,0.00%,0.00%,1.25%,0.71%,0.91%
Hunt,0.77%,0.82%,0.98%,0.96%,1.11%,1.21%,1.54%,2.15%,2.43%,3.29%
Hutchinson,0.89%,0.77%,1.29%,1.58%,1.69%,2.33%,2.74%,2.48%,1.62%,2.95%
Irion,0.62%,0.77%,1.08%,1.12%,0.68%,0.00%,0.68%,1.99%,1.30%,5.78%
Jack,0.78%,1.05%,0.95%,1.27%,2.58%,1.66%,0.55%,1.75%,1.96%,3.06%
Jackson,0.55%,0.76%,0.60%,0.57%,0.49%,0.74%,0.69%,0.73%,0.92%,1.54%
Jasper,0.64%,1.02%,1.38%,1.74%,2.05%,1.53%,2.71%,2.75%,3.82%,4.93%
Jeff Davis,0.30%,0.31%,3.19%,1.97%,2.77%,1.34%,0.00%,3.08%,0.45%,2.70%
Jefferson,0.53%,0.49%,0.66%,0.79%,0.84%,0.87%,0.99%,1.49%,1.78%,2.38%
Jim Hogg,0.09%,0.00%,0.09%,0.09%,0.27%,0.28%,0.19%,0.10%,0.20%,0.11%
Jim Wells,0.16%,0.21%,0.20%,0.33%,0.54%,0.64%,0.87%,1.10%,0.94%,1.75%
Johnson,1.26%,1.55%,1.76%,2.11%,2.28%,2.46%,2.70%,3.25%,3.74%,4.53%
Jones,0.59%,0.66%,0.50%,0.63%,0.74%,0.65%,1.56%,1.87%,2.15%,2.48%
Karnes,0.38%,0.46%,0.49%,0.35%,0.12%,0.39%,0.34%,2.81%,1.08%,0.81%
Kaufman,0.67%,0.85%,0.98%,1.15%,1.59%,1.39%,1.91%,2.08%,2.49%,2.73%
Kendall,2.50%,2.95%,3.04%,3.34%,3.60%,3.62%,4.31%,5.04%,5.61%,6.49%
Kenedy,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.85%,1.27%,4.71%
Kent,2.65%,0.00%,NR**,NR**,1.16%,1.86%,1.82%,1.86%,4.14%,4.07%
Kerr,1.58%,1.70%,1.95%,2.56%,2.96%,2.49%,2.84%,3.48%,3.52%,4.52%
Kimble,0.00%,0.00%,0.87%,1.77%,2.18%,3.22%,3.13%,2.59%,4.14%,4.37%
King,0.87%,2.80%,NR**,7.77%,9.90%,7.02%,8.21%,7.69%,8.60%,8.79%
Kinney,0.00%,0.00%,0.00%,0.18%,0.35%,0.39%,0.75%,1.36%,1.79%,2.78%
Kleberg,0.44%,0.47%,0.64%,0.67%,0.70%,0.80%,0.66%,0.76%,1.03%,1.63%
Knox,0.24%,0.28%,0.27%,0.13%,0.14%,0.53%,0.45%,0.59%,0.58%,0.94%
La Salle,0.31%,0.31%,0.15%,0.08%,0.08%,0.50%,0.87%,1.01%,0.37%,0.83%
Lamar,0.75%,0.90%,1.11%,1.43%,1.62%,1.34%,1.42%,2.34%,2.29%,3.24%
Lamb,0.07%,0.19%,0.35%,0.40%,0.37%,0.67%,0.73%,1.20%,1.32%,2.95%
Lampasas,1.46%,1.74%,2.02%,2.45%,2.36%,2.54%,2.81%,3.22%,3.63%,4.29%
Lavaca,0.47%,0.52%,0.55%,0.80%,0.93%,1.18%,1.63%,1.93%,2.24%,2.92%
Lee,0.76%,0.65%,0.81%,1.06%,0.63%,0.97%,1.30%,1.58%,2.20%,2.29%
Leon,0.26%,0.78%,0.90%,0.51%,1.14%,1.10%,0.93%,1.72%,1.68%,2.57%
Liberty,0.52%,0.57%,0.73%,0.81%,0.81%,0.75%,0.67%,1.07%,1.12%,1.24%
Limestone,0.32%,0.36%,0.47%,0.26%,0.41%,0.40%,0.84%,1.21%,1.15%,1.46%
Lipscomb,0.15%,0.13%,0.49%,0.58%,0.57%,0.94%,1.09%,3.45%,3.11%,4.15%
Live Oak,0.34%,0.41%,0.63%,0.89%,0.98%,0.99%,1.22%,0.99%,0.77%,1.62%
Llano,1.38%,1.35%,1.28%,1.49%,2.17%,2.10%,2.27%,2.16%,2.98%,4.45%
Loving,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,NR**,0.00%
Lubbock,1.11%,1.31%,1.31%,1.34%,1.50%,1.60%,1.81%,2.05%,2.37%,2.12%
Lynn,0.88%,0.88%,1.49%,1.89%,1.09%,1.24%,2.07%,3.19%,3.65%,5.12%
Madison,0.40%,0.40%,0.71%,0.55%,0.40%,0.66%,1.06%,1.20%,1.44%,1.58%
Marion,0.42%,1.00%,1.14%,1.65%,1.97%,2.14%,2.52%,3.24%,2.88%,3.11%
Martin,0.75%,0.74%,1.14%,1.15%,1.31%,1.78%,2.69%,3.43%,3.30%,3.11%
Mason,1.89%,1.35%,2.17%,2.94%,2.68%,2.21%,3.06%,3.44%,3.43%,3.75%
Matagorda,0.67%,0.69%,0.91%,1.05%,0.86%,0.89%,1.50%,1.41%,1.68%,1.91%
Maverick,0.03%,0.07%,0.05%,0.10%,0.14%,0.16%,0.14%,0.11%,0.19%,0.39%
McCulloch,0.47%,0.36%,0.65%,0.52%,0.30%,1.26%,2.22%,2.33%,1.92%,1.68%
McLennan,0.35%,0.48%,0.56%,0.78%,1.15%,0.99%,1.12%,1.56%,1.71%,1.82%
McMullen,0.81%,1.21%,0.41%,0.37%,NR**,2.01%,1.85%,4.20%,4.63%,8.30%
Medina,0.34%,0.30%,0.44%,0.51%,0.60%,0.65%,0.76%,1.01%,1.11%,1.05%
Menard,0.71%,0.36%,0.00%,0.35%,0.00%,0.00%,0.50%,1.12%,1.19%,1.22%
Midland,0.79%,0.94%,0.84%,1.26%,0.96%,0.45%,1.31%,1.51%,1.98%,2.42%
Milam,0.73%,0.66%,0.64%,0.96%,1.04%,0.94%,4.53%,1.14%,1.53%,1.73%
Mills,1.65%,1.61%,1.97%,1.48%,1.14%,1.89%,1.10%,2.48%,3.74%,0.00%
Mitchell,0.21%,0.22%,0.08%,0.07%,0.07%,0.49%,0.64%,0.75%,1.38%,0.87%
Montague,0.78%,1.46%,2.30%,2.99%,3.51%,3.09%,4.56%,6.03%,7.05%,7.25%
Montgomery,1.73%,1.76%,1.94%,1.74%,2.26%,1.96%,2.60%,2.91%,3.26%,3.88%
Moore,0.19%,0.12%,0.15%,0.24%,0.32%,0.53%,0.60%,0.74%,0.92%,1.08%
Morris,0.11%,0.16%,0.28%,0.51%,0.34%,0.28%,0.46%,0.58%,0.35%,1.02%
Motley,0.00%,0.65%,0.62%,1.34%,1.44%,1.99%,2.80%,4.03%,4.05%,7.36%
Nacogdoches,1.25%,1.32%,0.80%,1.34%,1.06%,1.24%,1.37%,1.66%,1.61%,2.22%
Navarro,0.35%,0.28%,0.30%,0.40%,0.47%,0.57%,0.85%,1.38%,1.76%,2.13%
Newton,1.35%,1.10%,1.48%,1.94%,1.39%,1.89%,2.69%,4.15%,3.82%,4.39%
Nolan,0.54%,0.45%,0.61%,0.86%,0.83%,0.78%,1.17%,1.57%,1.56%,2.28%
Nueces,0.52%,0.59%,0.69%,0.76%,0.88%,0.81%,1.12%,1.24%,1.39%,1.70%
Ochiltree,0.13%,0.26%,0.42%,0.65%,0.29%,0.73%,1.06%,1.09%,1.72%,1.33%
Oldham,1.28%,1.13%,1.21%,2.33%,2.46%,2.76%,3.47%,3.37%,4.69%,4.62%
Orange,0.66%,1.01%,0.94%,1.27%,1.95%,2.14%,2.68%,3.51%,4.25%,5.05%
Palo Pinto,0.96%,1.10%,1.48%,1.47%,1.88%,1.81%,2.18%,2.44%,2.87%,3.68%
Panola,0.49%,0.65%,0.78%,1.12%,1.15%,1.32%,2.03%,2.95%,3.17%,4.34%
Parker,1.30%,1.61%,1.78%,1.98%,2.51%,2.62%,3.57%,4.40%,4.85%,5.90%
Parmer,0.95%,0.93%,0.85%,0.81%,1.13%,1.26%,0.87%,1.03%,1.05%,1.07%
Pecos,0.23%,0.35%,0.37%,0.55%,0.53%,0.60%,0.98%,1.12%,2.18%,3.39%
Polk,0.54%,0.48%,0.76%,0.91%,0.57%,0.53%,0.51%,0.38%,0.95%,1.96%
Potter,0.90%,1.17%,1.21%,1.28%,1.43%,1.69%,1.63%,1.73%,1.81%,2.30%
Presidio,0.17%,0.12%,0.33%,0.48%,0.50%,0.24%,0.16%,0.17%,0.42%,0.55%
Rains,2.85%,1.96%,NR**,2.25%,2.66%,3.06%,3.77%,3.88%,4.74%,3.94%
Randall,1.66%,1.75%,1.85%,2.05%,2.28%,1.98%,2.36%,2.80%,3.24%,3.67%
Reagan,0.00%,0.00%,0.00%,0.00%,0.00%,0.77%,0.40%,0.40%,0.40%,0.70%
Real,1.55%,1.26%,0.76%,1.23%,0.59%,0.00%,0.59%,0.52%,NR**,3.77%
Red River,1.21%,1.15%,0.85%,1.06%,0.67%,0.91%,0.50%,1.24%,1.15%,1.75%
Reeves,0.31%,0.39%,0.37%,0.38%,0.42%,0.85%,1.08%,1.01%,1.48%,1.88%
Refugio,0.81%,0.97%,1.38%,1.65%,1.57%,1.89%,2.22%,2.80%,3.36%,3.31%
Roberts,0.00%,0.00%,0.00%,0.48%,0.00%,0.00%,0.56%,1.94%,0.00%,1.14%
Robertson,0.26%,0.35%,0.29%,0.54%,0.90%,0.66%,0.70%,1.02%,1.28%,1.38%
Rockwall,1.49%,1.77%,2.00%,2.27%,2.53%,2.65%,3.21%,3.80%,4.66%,5.35%
Runnels,1.06%,1.03%,0.79%,0.79%,0.81%,0.52%,0.84%,1.36%,2.31%,1.88%
Rusk,0.27%,0.41%,0.50%,0.74%,0.95%,1.01%,1.37%,1.70%,2.16%,2.83%
Sabine,0.67%,0.83%,1.33%,1.68%,1.98%,2.15%,2.32%,2.15%,3.43%,5.11%
San Augustine,0.49%,0.58%,0.37%,0.66%,1.42%,1.13%,1.14%,1.74%,1.94%,3.48%
San Jacinto,0.58%,0.62%,0.57%,0.85%,1.19%,1.27%,1.20%,1.78%,2.05%,2.64%
San Patricio,0.45%,0.49%,0.50%,0.66%,0.68%,0.77%,0.84%,0.93%,1.38%,1.55%
San Saba,0.67%,1.11%,1.85%,1.90%,1.40%,1.87%,1.08%,3.42%,3.51%,4.64%
Schleicher,0.18%,0.56%,NR**,0.82%,0.84%,1.22%,0.62%,0.22%,0.23%,0.76%
Scurry,0.25%,0.26%,0.35%,0.56%,0.53%,0.57%,0.68%,0.85%,1.18%,1.24%
Shackelford,1.61%,2.35%,2.37%,1.88%,2.02%,2.74%,2.94%,1.53%,4.31%,3.79%
Shelby,0.17%,0.19%,0.41%,0.44%,0.59%,0.93%,0.99%,1.35%,1.97%,2.74%
Sherman,0.43%,0.28%,0.41%,1.14%,1.19%,0.73%,2.16%,2.90%,1.58%,2.81%
Smith,0.92%,1.14%,1.42%,1.60%,2.00%,2.11%,2.68%,3.55%,4.04%,4.48%
Somervell,1.66%,1.99%,2.61%,2.80%,3.05%,3.29%,4.88%,4.81%,5.48%,6.48%
Starr,0.01%,0.02%,0.02%,0.02%,0.01%,0.08%,0.05%,0.11%,0.09%,0.06%
Stephens,0.35%,0.43%,1.19%,0.92%,1.10%,1.13%,2.38%,3.14%,4.26%,5.50%
Sterling,0.00%,0.00%,1.69%,0.00%,0.32%,1.29%,1.94%,3.67%,3.54%,5.03%
Stonewall,0.00%,0.00%,0.44%,0.00%,0.00%,0.00%,0.00%,0.00%,NR**,0.57%
Sutton,0.00%,0.13%,0.52%,0.66%,0.81%,0.45%,1.21%,1.08%,1.90%,2.27%
Swisher,0.07%,0.32%,0.79%,0.59%,0.48%,0.50%,0.71%,1.09%,1.52%,1.69%
Tarrant,1.10%,1.27%,1.45%,1.79%,1.83%,1.98%,2.18%,2.85%,2.65%,3.30%
Taylor,0.65%,0.80%,0.93%,1.08%,1.27%,1.34%,1.60%,1.78%,2.22%,2.61%
Terrell,1.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Terry,0.00%,0.40%,0.53%,0.61%,1.25%,1.49%,3.66%,2.47%,2.68%,3.18%
Throckmorton,0.66%,0.33%,1.69%,0.00%,0.00%,1.75%,0.33%,2.94%,6.44%,6.95%
Titus,0.50%,0.33%,0.36%,0.42%,0.31%,0.25%,0.76%,0.84%,1.13%,1.51%
Tom Green,0.68%,0.72%,0.84%,0.78%,1.03%,0.68%,0.87%,1.64%,1.16%,2.21%
Travis,2.30%,2.45%,2.72%,2.42%,2.31%,2.09%,2.28%,2.66%,2.77%,3.01%
Trinity,0.45%,0.41%,0.90%,0.65%,1.37%,1.85%,2.01%,3.06%,3.31%,2.08%
Tyler,0.65%,1.01%,1.07%,1.34%,1.45%,1.34%,1.92%,2.53%,2.84%,3.08%
Upshur,0.91%,1.08%,1.57%,1.87%,2.04%,2.30%,2.70%,3.11%,4.00%,5.00%
Upton,0.37%,0.53%,0.49%,0.75%,0.48%,0.00%,0.38%,0.89%,1.34%,1.07%
Uvalde,0.48%,0.69%,0.68%,0.73%,1.03%,0.75%,1.27%,1.21%,1.67%,2.01%
Val Verde,0.18%,0.23%,0.19%,0.26%,0.07%,0.06%,0.29%,0.43%,0.44%,0.53%
Van Zandt,1.22%,1.59%,1.65%,1.73%,2.19%,2.23%,3.06%,3.48%,2.94%,4.71%
Victoria,0.27%,0.18%,0.15%,0.27%,0.75%,0.92%,0.40%,1.09%,1.19%,1.43%
Walker,1.00%,0.50%,0.79%,1.08%,0.74%,1.24%,1.50%,2.32%,2.50%,2.73%
Waller,0.71%,0.75%,0.82%,1.09%,0.93%,0.71%,0.92%,1.22%,1.50%,2.06%
Ward,0.17%,0.33%,0.44%,0.31%,0.69%,0.89%,1.20%,1.45%,1.98%,2.68%
Washington,0.79%,0.43%,0.83%,0.95%,1.11%,1.18%,1.22%,1.77%,2.26%,2.75%
Webb,0.08%,0.10%,0.12%,0.15%,0.19%,0.19%,0.22%,0.28%,0.34%,0.33%
Wharton,0.20%,0.22%,0.21%,0.34%,0.32%,0.43%,0.51%,0.69%,0.89%,1.04%
Wheeler,1.87%,1.95%,1.83%,1.97%,3.03%,2.70%,2.69%,2.48%,2.72%,3.75%
Wichita,0.53%,0.76%,0.75%,0.92%,0.83%,0.98%,1.42%,1.63%,1.77%,2.09%
Wilbarger,0.22%,0.17%,0.00%,0.45%,0.72%,0.74%,0.71%,1.10%,1.01%,1.49%
Willacy,0.02%,0.02%,0.05%,0.05%,0.03%,0.03%,0.49%,0.21%,0.19%,0.27%
Williamson,1.83%,2.66%,2.68%,2.33%,3.18%,2.87%,3.04%,3.43%,3.56%,3.95%
Wilson,0.82%,1.05%,1.30%,1.54%,1.79%,1.88%,2.18%,1.91%,2.33%,2.88%
Winkler,0.06%,0.53%,0.40%,0.22%,0.70%,0.50%,0.30%,0.53%,0.71%,0.89%
Wise,0.86%,1.12%,1.72%,1.95%,2.22%,2.19%,3.23%,3.70%,4.60%,5.92%
Wood,1.08%,0.98%,0.96%,1.26%,1.64%,1.29%,1.94%,3.01%,3.35%,4.34%
Yoakum,1.03%,0.60%,0.74%,0.84%,1.13%,1.31%,1.14%,1.47%,1.90%,2.35%
Young,0.77%,0.96%,0.83%,1.35%,1.56%,1.72%,2.06%,2.21%,1.99%,3.47%
Zapata,0.00%,0.00%,0.00%,0.00%,0.06%,0.03%,0.00%,0.19%,0.19%,0.06%
