Public_health_unit,Antigen,Age,Year,Coverage
Algoma Public Health,Pneumo,7,2017-2018,75.7
Algoma Public Health,Pneumo,7,2018-2019,88.4
Algoma Public Health,Pneumo,7,2019-2020,91.5
Algoma Public Health,Pneumo,7,2020-2021,92.3
Algoma Public Health,Pneumo,7,2021-2022,92.9
Algoma Public Health,Pneumo,7,2022-2023,90.3
Algoma Public Health,Polio,7,2013-2014,89.2
Algoma Public Health,Polio,7,2014-2015,74.5
Algoma Public Health,Polio,7,2015-2016,91.8
Algoma Public Health,Polio,7,2016-2017,94.3
Algoma Public Health,Polio,7,2017-2018,87.3
Algoma Public Health,Polio,7,2018-2019,75
Algoma Public Health,Polio,17,2013-2014,98
Algoma Public Health,Polio,17,2014-2015,96.9
Algoma Public Health,Polio,17,2015-2016,97.4
Algoma Public Health,Polio,17,2016-2017,97.7
Algoma Public Health,Polio,17,2017-2018,97.5
Algoma Public Health,Polio,17,2018-2019,97.6
Algoma Public Health,Polio,7,2019-2020,80.2
Algoma Public Health,Polio,17,2019-2020,95.6
Algoma Public Health,Polio,7,2020-2021,74
Algoma Public Health,Polio,17,2020-2021,95.5
Algoma Public Health,Polio,7,2021-2022,68.8
Algoma Public Health,Polio,17,2021-2022,93.9
Algoma Public Health,Polio,7,2022-2023,68.4
Algoma Public Health,Polio,17,2022-2023,94.1
Algoma Public Health,Rota,7,2019-2020,70.6
Algoma Public Health,Rota,7,2020-2021,73.1
Algoma Public Health,Rota,7,2021-2022,76.8
Algoma Public Health,Rota,7,2022-2023,82
Algoma Public Health,Rubella,7,2013-2014,99.1
Algoma Public Health,Rubella,7,2014-2015,98.6
Algoma Public Health,Rubella,7,2015-2016,99.1
Algoma Public Health,Rubella,7,2016-2017,98.3
Algoma Public Health,Rubella,7,2017-2018,98.2
Algoma Public Health,Rubella,7,2018-2019,97.6
Algoma Public Health,Rubella,17,2013-2014,99.4
Algoma Public Health,Rubella,17,2014-2015,98.1
Algoma Public Health,Rubella,17,2015-2016,98.6
Algoma Public Health,Rubella,17,2016-2017,99.2
Algoma Public Health,Rubella,17,2017-2018,98.9
Algoma Public Health,Rubella,17,2018-2019,99.1
Algoma Public Health,Rubella,7,2019-2020,98
Algoma Public Health,Rubella,17,2019-2020,97.3
Algoma Public Health,Rubella,7,2020-2021,97.5
Algoma Public Health,Rubella,17,2020-2021,98
Algoma Public Health,Rubella,7,2021-2022,96.5
Algoma Public Health,Rubella,17,2021-2022,96.8
Algoma Public Health,Rubella,7,2022-2023,95.8
Algoma Public Health,Rubella,17,2022-2023,96.4
Algoma Public Health,Tetanus,7,2013-2014,89.3
Algoma Public Health,Tetanus,7,2014-2015,74.7
Algoma Public Health,Tetanus,7,2015-2016,91.8
Algoma Public Health,Tetanus,7,2016-2017,94.4
Algoma Public Health,Tetanus,7,2017-2018,87.3
Algoma Public Health,Tetanus,7,2018-2019,75
Algoma Public Health,Tetanus,17,2013-2014,88.1
Algoma Public Health,Tetanus,17,2014-2015,83
Algoma Public Health,Tetanus,17,2015-2016,85.6
Algoma Public Health,Tetanus,17,2016-2017,89.8
Algoma Public Health,Tetanus,17,2017-2018,85.3
Algoma Public Health,Tetanus,17,2018-2019,81.3
Algoma Public Health,Tetanus,7,2019-2020,80.1
Algoma Public Health,Tetanus,17,2019-2020,71.8
Algoma Public Health,Tetanus,7,2020-2021,73.6
Algoma Public Health,Tetanus,17,2020-2021,59.1
Algoma Public Health,Tetanus,7,2021-2022,68.7
Algoma Public Health,Tetanus,17,2021-2022,46.9
Algoma Public Health,Tetanus,7,2022-2023,68.3
Algoma Public Health,Tetanus,17,2022-2023,49.3
Algoma Public Health,Varicella,7,2013-2014,39.4
Algoma Public Health,Varicella,7,2014-2015,47.2
Algoma Public Health,Varicella,7,2015-2016,61.6
Algoma Public Health,Varicella,7,2016-2017,72.6
Algoma Public Health,Varicella,7,2017-2018,84
Algoma Public Health,Varicella,7,2018-2019,72.2
Algoma Public Health,Varicella,7,2019-2020,77.4
Algoma Public Health,Varicella,7,2020-2021,74.5
Algoma Public Health,Varicella,7,2021-2022,67
Algoma Public Health,Varicella,7,2022-2023,66.5
Brant County Health Unit,HepB,12,2023-2024,48.8
Brant County Health Unit,HPV,12,2023-2024,40
Brant County Health Unit,HPV,17,2023-2024,67.9
Brant County Health Unit,MCV4,12,2023-2024,66.7
Brant County Health Unit,Diphtheria,17,2023-2024,77.3
Brant County Health Unit,HepB,17,2023-2024,77.7
Brant County Health Unit,Pertussis,17,2023-2024,77.7
Brant County Health Unit,Tetanus,17,2023-2024,77.3
Brant County Health Unit,Hib,7,2023-2024,76.2
Brant County Health Unit,Pneumo,7,2023-2024,78.2
Brant County Health Unit,Rota,7,2023-2024,73.6
Brant County Health Unit,Diphtheria,7,2023-2024,90.6
Brant County Health Unit,MCC,7,2023-2024,94.9
Brant County Health Unit,Measles,7,2023-2024,92.1
Brant County Health Unit,Mumps,7,2023-2024,91.9
Brant County Health Unit,Pertussis,7,2023-2024,90.5
Brant County Health Unit,Polio,7,2023-2024,92.4
Brant County Health Unit,Tetanus,7,2023-2024,90.5
Brant County Health Unit,Varicella,7,2023-2024,89.7
Brant County Health Unit,Polio,17,2023-2024,93.8
Brant County Health Unit,MCV4,17,2023-2024,93.4
Brant County Health Unit,Measles,17,2023-2024,95.5
Brant County Health Unit,Mumps,17,2023-2024,95.4
Brant County Health Unit,Rubella,7,2023-2024,95.6
Brant County Health Unit,Rubella,17,2023-2024,96.6
Brant County Health Unit,Diphtheria,7,2013-2014,90.2
Brant County Health Unit,Diphtheria,7,2014-2015,82.4
Brant County Health Unit,Diphtheria,7,2015-2016,92.9
Brant County Health Unit,Diphtheria,7,2016-2017,92.6
Brant County Health Unit,Diphtheria,7,2017-2018,93.7
Brant County Health Unit,Diphtheria,7,2018-2019,94.7
Brant County Health Unit,Diphtheria,17,2013-2014,82.4
Brant County Health Unit,Diphtheria,17,2014-2015,79.6
Brant County Health Unit,Diphtheria,17,2015-2016,82.4
Brant County Health Unit,Diphtheria,17,2016-2017,82.6
Brant County Health Unit,Diphtheria,17,2017-2018,80.9
Brant County Health Unit,Diphtheria,17,2018-2019,83.6
Brant County Health Unit,Diphtheria,7,2019-2020,85.3
Brant County Health Unit,Diphtheria,17,2019-2020,80.3
Brant County Health Unit,Diphtheria,7,2020-2021,72.8
Brant County Health Unit,Diphtheria,17,2020-2021,72.4
Brant County Health Unit,Diphtheria,7,2021-2022,78
Brant County Health Unit,Diphtheria,17,2021-2022,65
Brant County Health Unit,Diphtheria,7,2022-2023,87.4
Brant County Health Unit,Diphtheria,17,2022-2023,82.7
Brant County Health Unit,HepB,12,2013-2014,81.2
Brant County Health Unit,HepB,12,2014-2015,80.5
Brant County Health Unit,HepB,12,2015-2016,77.5
Brant County Health Unit,HepB,12,2016-2017,75.5
Brant County Health Unit,HepB,12,2017-2018,71
Brant County Health Unit,HepB,12,2018-2019,72.5
Brant County Health Unit,HepB,17,2018-2019,85.3
Brant County Health Unit,HepB,12,2019-2020,71.5
Brant County Health Unit,HepB,17,2019-2020,83.9
Brant County Health Unit,HepB,12,2020-2021,66.8
Brant County Health Unit,HepB,17,2020-2021,84.5
Brant County Health Unit,HepB,12,2021-2022,67.3
Brant County Health Unit,HepB,17,2021-2022,81.8
Brant County Health Unit,HepB,12,2022-2023,66
Brant County Health Unit,HepB,17,2022-2023,79.1
Brant County Health Unit,Hib,7,2013-2014,89.5
Brant County Health Unit,Hib,7,2014-2015,89.6
Brant County Health Unit,Hib,7,2015-2016,88.9
Brant County Health Unit,Hib,7,2016-2017,88.9
Brant County Health Unit,Hib,7,2017-2018,84.6
Brant County Health Unit,Hib,7,2018-2019,86.9
Brant County Health Unit,Hib,7,2019-2020,82.4
Brant County Health Unit,Hib,7,2020-2021,77.6
Brant County Health Unit,Hib,7,2021-2022,80
Brant County Health Unit,Hib,7,2022-2023,78
Brant County Health Unit,HPV,12,2013-2014,70.5
Brant County Health Unit,HPV,12,2014-2015,71.3
Brant County Health Unit,HPV,12,2015-2016,64.7
Brant County Health Unit,HPV,12,2016-2017,64.1
Brant County Health Unit,HPV,12,2017-2018,60.9
Brant County Health Unit,HPV,12,2018-2019,62.8
Brant County Health Unit,HPV,17,2018-2019,71.4
Brant County Health Unit,HPV,12,2019-2020,67.6
Brant County Health Unit,HPV,17,2019-2020,68.7
Brant County Health Unit,HPV,12,2020-2021,59.3
Brant County Health Unit,HPV,17,2020-2021,74.7
Brant County Health Unit,HPV,12,2021-2022,60.9
Brant County Health Unit,HPV,17,2021-2022,71.1
Brant County Health Unit,HPV,12,2022-2023,59.1
Brant County Health Unit,HPV,17,2022-2023,70
Brant County Health Unit,MCC,7,2013-2014,90.8
Brant County Health Unit,MCC,7,2014-2015,93.3
Brant County Health Unit,MCC,7,2015-2016,96.4
Brant County Health Unit,MCC,7,2016-2017,96.4
Brant County Health Unit,MCC,7,2017-2018,96.1
Brant County Health Unit,MCC,7,2018-2019,96.9
Brant County Health Unit,MCC,7,2019-2020,92.7
Brant County Health Unit,MCC,7,2020-2021,86.8
Brant County Health Unit,MCC,7,2021-2022,92.4
Brant County Health Unit,MCC,7,2022-2023,92.4
Brant County Health Unit,MCV4,12,2013-2014,86.2
Brant County Health Unit,MCV4,12,2014-2015,89
Brant County Health Unit,MCV4,12,2015-2016,88.6
Brant County Health Unit,MCV4,12,2016-2017,87.9
Brant County Health Unit,MCV4,12,2017-2018,78.9
Brant County Health Unit,MCV4,12,2018-2019,81.6
Brant County Health Unit,MCV4,17,2018-2019,95.3
Brant County Health Unit,MCV4,12,2019-2020,90.2
Brant County Health Unit,MCV4,17,2019-2020,94.5
Brant County Health Unit,MCV4,12,2020-2021,78.3
Brant County Health Unit,MCV4,17,2020-2021,93.2
Brant County Health Unit,MCV4,12,2021-2022,76.6
Brant County Health Unit,MCV4,17,2021-2022,92.1
Brant County Health Unit,MCV4,12,2022-2023,75.4
Brant County Health Unit,MCV4,17,2022-2023,92.9
Brant County Health Unit,Measles,7,2013-2014,95.1
Brant County Health Unit,Measles,7,2014-2015,93.1
Brant County Health Unit,Measles,7,2015-2016,95.3
Brant County Health Unit,Measles,7,2016-2017,95.2
Brant County Health Unit,Measles,7,2017-2018,94.4
Brant County Health Unit,Measles,7,2018-2019,95.1
Brant County Health Unit,Measles,17,2013-2014,97.4
Brant County Health Unit,Measles,17,2014-2015,96.6
Brant County Health Unit,Measles,17,2015-2016,96.6
Brant County Health Unit,Measles,17,2016-2017,96.6
Brant County Health Unit,Measles,17,2017-2018,96.4
Brant County Health Unit,Measles,17,2018-2019,96
Brant County Health Unit,Measles,7,2019-2020,86.5
Brant County Health Unit,Measles,17,2019-2020,95.4
Brant County Health Unit,Measles,7,2020-2021,73.6
Brant County Health Unit,Measles,17,2020-2021,94.7
Brant County Health Unit,Measles,7,2021-2022,79
Brant County Health Unit,Measles,17,2021-2022,95.8
Brant County Health Unit,Measles,7,2022-2023,87.8
Brant County Health Unit,Measles,17,2022-2023,95
Brant County Health Unit,Mumps,7,2013-2014,95.1
Brant County Health Unit,Mumps,7,2014-2015,93
Brant County Health Unit,Mumps,7,2015-2016,95.3
Brant County Health Unit,Mumps,7,2016-2017,95.1
Brant County Health Unit,Mumps,7,2017-2018,94.3
Brant County Health Unit,Mumps,7,2018-2019,95.1
Brant County Health Unit,Mumps,17,2013-2014,97.1
Brant County Health Unit,Mumps,17,2014-2015,96.5
Brant County Health Unit,Mumps,17,2015-2016,96.6
Brant County Health Unit,Mumps,17,2016-2017,96.5
Brant County Health Unit,Mumps,17,2017-2018,96.3
Brant County Health Unit,Mumps,17,2018-2019,96
Brant County Health Unit,Mumps,7,2019-2020,86.5
Brant County Health Unit,Mumps,17,2019-2020,95.5
Brant County Health Unit,Mumps,7,2020-2021,73.3
Brant County Health Unit,Mumps,17,2020-2021,94.6
Brant County Health Unit,Mumps,7,2021-2022,79
Brant County Health Unit,Mumps,17,2021-2022,95.7
Brant County Health Unit,Mumps,7,2022-2023,87.7
Brant County Health Unit,Mumps,17,2022-2023,94.9
Brant County Health Unit,Pertussis,7,2013-2014,90.2
Brant County Health Unit,Pertussis,7,2014-2015,82.4
Brant County Health Unit,Pertussis,7,2015-2016,92.8
Brant County Health Unit,Pertussis,7,2016-2017,92.6
Brant County Health Unit,Pertussis,7,2017-2018,93.7
Brant County Health Unit,Pertussis,7,2018-2019,94.7
Brant County Health Unit,Pertussis,17,2013-2014,78.9
Brant County Health Unit,Pertussis,17,2014-2015,76.3
Brant County Health Unit,Pertussis,17,2015-2016,75.8
Brant County Health Unit,Pertussis,17,2016-2017,76.3
Brant County Health Unit,Pertussis,17,2017-2018,77.7
Brant County Health Unit,Pertussis,17,2018-2019,83.6
Brant County Health Unit,Pertussis,7,2019-2020,85.3
Brant County Health Unit,Pertussis,17,2019-2020,80.5
Brant County Health Unit,Pertussis,7,2020-2021,72.8
Brant County Health Unit,Pertussis,17,2020-2021,72.4
Brant County Health Unit,Pertussis,7,2021-2022,78
Brant County Health Unit,Pertussis,17,2021-2022,65.6
Brant County Health Unit,Pertussis,7,2022-2023,87.3
Brant County Health Unit,Pertussis,17,2022-2023,82.9
Brant County Health Unit,Pneumo,7,2013-2014,84
Brant County Health Unit,Pneumo,7,2014-2015,84.2
Brant County Health Unit,Pneumo,7,2015-2016,85.9
Brant County Health Unit,Pneumo,7,2016-2017,84.3
Brant County Health Unit,Pneumo,7,2017-2018,72.3
Brant County Health Unit,Pneumo,7,2018-2019,82.8
Brant County Health Unit,Pneumo,7,2019-2020,82.8
Brant County Health Unit,Pneumo,7,2020-2021,77.3
Brant County Health Unit,Pneumo,7,2021-2022,81.1
Brant County Health Unit,Pneumo,7,2022-2023,80.5
Brant County Health Unit,Polio,7,2013-2014,90.2
Brant County Health Unit,Polio,7,2014-2015,82
Brant County Health Unit,Polio,7,2015-2016,93.3
Brant County Health Unit,Polio,7,2016-2017,92.8
Brant County Health Unit,Polio,7,2017-2018,94.2
Brant County Health Unit,Polio,7,2018-2019,95.1
Brant County Health Unit,Polio,17,2013-2014,96.7
Brant County Health Unit,Polio,17,2014-2015,95.3
Brant County Health Unit,Polio,17,2015-2016,95.5
Brant County Health Unit,Polio,17,2016-2017,95.8
Brant County Health Unit,Polio,17,2017-2018,95.8
Brant County Health Unit,Polio,17,2018-2019,95.5
Brant County Health Unit,Polio,7,2019-2020,86.3
Brant County Health Unit,Polio,17,2019-2020,94.9
Brant County Health Unit,Polio,7,2020-2021,73.7
Brant County Health Unit,Polio,17,2020-2021,93.7
Brant County Health Unit,Polio,7,2021-2022,78.8
Brant County Health Unit,Polio,17,2021-2022,94.4
Brant County Health Unit,Polio,7,2022-2023,88.4
Brant County Health Unit,Polio,17,2022-2023,93.5
Brant County Health Unit,Rota,7,2019-2020,73.5
Brant County Health Unit,Rota,7,2020-2021,71.3
Brant County Health Unit,Rota,7,2021-2022,74
Brant County Health Unit,Rota,7,2022-2023,73.4
Brant County Health Unit,Rubella,7,2013-2014,97.3
Brant County Health Unit,Rubella,7,2014-2015,97
Brant County Health Unit,Rubella,7,2015-2016,97.1
Brant County Health Unit,Rubella,7,2016-2017,97.3
Brant County Health Unit,Rubella,7,2017-2018,96.9
Brant County Health Unit,Rubella,7,2018-2019,97.3
Brant County Health Unit,Rubella,17,2013-2014,98.6
Brant County Health Unit,Rubella,17,2014-2015,97.8
Brant County Health Unit,Rubella,17,2015-2016,97.7
Brant County Health Unit,Rubella,17,2016-2017,97.7
Brant County Health Unit,Rubella,17,2017-2018,97.5
Brant County Health Unit,Rubella,17,2018-2019,97.6
Brant County Health Unit,Rubella,7,2019-2020,95.1
Brant County Health Unit,Rubella,17,2019-2020,97.3
Brant County Health Unit,Rubella,7,2020-2021,91
Brant County Health Unit,Rubella,17,2020-2021,96.2
Brant County Health Unit,Rubella,7,2021-2022,95.3
Brant County Health Unit,Rubella,17,2021-2022,97
Brant County Health Unit,Rubella,7,2022-2023,94.7
Brant County Health Unit,Rubella,17,2022-2023,97
Brant County Health Unit,Tetanus,7,2013-2014,90.2
Brant County Health Unit,Tetanus,7,2014-2015,82.4
Brant County Health Unit,Tetanus,7,2015-2016,92.9
Brant County Health Unit,Tetanus,7,2016-2017,92.6
Brant County Health Unit,Tetanus,7,2017-2018,93.7
Brant County Health Unit,Tetanus,7,2018-2019,94.7
Brant County Health Unit,Tetanus,17,2013-2014,82.4
Brant County Health Unit,Tetanus,17,2014-2015,79.7
Brant County Health Unit,Tetanus,17,2015-2016,82.4
Brant County Health Unit,Tetanus,17,2016-2017,82.6
Brant County Health Unit,Tetanus,17,2017-2018,80.9
Brant County Health Unit,Tetanus,17,2018-2019,83.6
Brant County Health Unit,Tetanus,7,2019-2020,85.3
Brant County Health Unit,Tetanus,17,2019-2020,80.3
Brant County Health Unit,Tetanus,7,2020-2021,72.8
Brant County Health Unit,Tetanus,17,2020-2021,72.4
Brant County Health Unit,Tetanus,7,2021-2022,78
Brant County Health Unit,Tetanus,17,2021-2022,65
Brant County Health Unit,Tetanus,7,2022-2023,87.4
Brant County Health Unit,Tetanus,17,2022-2023,82.7
Brant County Health Unit,Varicella,7,2013-2014,24.9
Brant County Health Unit,Varicella,7,2014-2015,38.9
Brant County Health Unit,Varicella,7,2015-2016,54.7
Brant County Health Unit,Varicella,7,2016-2017,61.2
Brant County Health Unit,Varicella,7,2017-2018,90.7
Brant County Health Unit,Varicella,7,2018-2019,92.8
Brant County Health Unit,Varicella,7,2019-2020,84.6
Brant County Health Unit,Varicella,7,2020-2021,70.6
Brant County Health Unit,Varicella,7,2021-2022,75.8
Brant County Health Unit,Varicella,7,2022-2023,86.5
Durham Region Health Department,HepB,12,2023-2024,67.9
Durham Region Health Department,HPV,12,2023-2024,60.2
Durham Region Health Department,Diphtheria,17,2023-2024,71.8
Durham Region Health Department,HPV,17,2023-2024,75.5
Durham Region Health Department,Pertussis,17,2023-2024,72.5
Durham Region Health Department,Tetanus,17,2023-2024,71.8
Durham Region Health Department,Hib,7,2023-2024,83.8
Durham Region Health Department,Pneumo,7,2023-2024,82.2
Durham Region Health Department,Rota,7,2023-2024,79.6
Durham Region Health Department,HepB,17,2023-2024,82.7
Durham Region Health Department,MCV4,12,2023-2024,84.4
Durham Region Health Department,Diphtheria,7,2023-2024,86.3
Durham Region Health Department,MCC,7,2023-2024,93.4
Durham Region Health Department,Measles,7,2023-2024,86.7
Durham Region Health Department,Mumps,7,2023-2024,86.5
Durham Region Health Department,Pertussis,7,2023-2024,86.3
Durham Region Health Department,Polio,7,2023-2024,86.9
Durham Region Health Department,Rubella,7,2023-2024,94.5
Durham Region Health Department,Tetanus,7,2023-2024,86.3
Durham Region Health Department,Varicella,7,2023-2024,85.1
Durham Region Health Department,Polio,17,2023-2024,93.6
Durham Region Health Department,MCV4,17,2023-2024,94.8
