"Table with row headers in columns A and B and column headers in rows 6 through 10","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56"
"United States","Under 65 years","272171","31","244389","163","89.8","0.1","188305","301","69.2","0.1","161948","294","59.5","0.1","28498","120","10.5","Z","5924","73","2.2","Z","67899","230","24.9","0.1","61394","229","22.6","0.1","8587","86","3.2","Z","7322","53","2.7","Z","1940","25","0.7","Z","3569","37","1.3","Z","3428","44","1.3","Z","27782","169","10.2","0.1"
"United States","Under 19 years","77831","47","73666","67","94.59999999999999","0.1","47061","136","60.5","0.2","40871","139","52.5","0.2","5874","67","7.5","0.1","2058","39","2.6","0.1","30777","154","39.5","0.2","30479","154","39.2","0.2","4072","55","5.2","0.1","467","17","0.6","Z","99","7","0.1","Z","255","12","0.3","Z","137","9","0.2","Z","4165","62","5.4","0.1"
"United States","19 - 64 years","194340","48","170723","153","87.8","0.1","141245","206","72.7","0.1","121077","201","62.3","0.1","22624","96","11.6","Z","3865","47","2","Z","37121","131","19.1","0.1","30915","120","15.9","0.1","4515","52","2.3","Z","6854","48","3.5","Z","1841","24","0.9","Z","3314","35","1.7","Z","3291","42","1.7","Z","23617","136","12.2","0.1"
"United States","65 years and over","54742","24","54297","29","99.2","Z","30769","89","56.2","0.2","16714","74","30.5","0.1","16361","67","29.9","0.1","3031","34","5.5","0.1","52300","37","95.5","Z","7584","42","13.9","0.1","2699","30","4.9","0.1","52235","37","95.40000000000001","Z","28743","91","52.5","0.2","7584","42","13.9","0.1","3713","31","6.8","0.1","445","12","0.8","Z"
"Alabama","All people","4958","3","4469","19","90.09999999999999","0.4","3292","28","66.40000000000001","0.6","2635","28","53.1","0.6","713","21","14.4","0.4","232","15","4.7","0.3","1851","19","37.3","0.4","963","19","19.4","0.4","166","11","3.4","0.2","1019","7","20.5","0.2","534","10","10.8","0.2","189","8","3.8","0.2","132","7","2.7","0.1","489","19","9.9","0.4"
"Alabama","Under 65 years","4091","5","3607","19","88.2","0.5","2790","27","68.2","0.6","2352","27","57.5","0.7","461","18","11.3","0.4","147","12","3.6","0.3","1009","19","24.7","0.5","846","18","20.7","0.4","113","9","2.8","0.2","177","6","4.3","0.2","52","4","1.3","0.1","72","5","1.8","0.1","72","5","1.8","0.1","484","19","11.8","0.5"
"Alabama","Under 19 years","1191","6","1144","7","96","0.5","669","13","56.2","1.1","569","14","47.8","1.2","89","7","7.5","0.6","47","6","4","0.5","524","14","44","1.1","520","13","43.7","1.1","49","6","4.1","0.5","6","1","0.5","0.1","1","Z","0.1","Z","3","1","0.2","0.1","2","1","0.2","0.1","47","6","4","0.5"
"Alabama","19 - 64 years","2900","7","2464","17","84.90000000000001","0.6","2121","19","73.09999999999999","0.7","1782","18","61.5","0.6","371","15","12.8","0.5","100","8","3.4","0.3","485","12","16.7","0.4","326","11","11.2","0.4","64","5","2.2","0.2","171","6","5.9","0.2","51","4","1.8","0.1","69","5","2.4","0.2","70","5","2.4","0.2","437","17","15.1","0.6"
"Alabama","65 years and over","867","3","862","3","99.5","0.2","503","9","58","1","283","8","32.7","0.9","252","8","29.1","0.9","85","6","9.800000000000001","0.7","842","4","97.2","0.3","117","5","13.5","0.6","53","4","6.1","0.4","841","4","97.09999999999999","0.3","482","9","55.7","1","117","5","13.5","0.6","60","4","7","0.5","5","2","0.5","0.2"
"Alaska","All people","702","2","622","6","88.59999999999999","0.8","450","10","64.2","1.4","373","10","53.1","1.4","61","6","8.699999999999999","0.9","61","7","8.699999999999999","1","264","9","37.6","1.3","170","9","24.2","1.2","31","5","4.5","0.6","100","2","14.2","0.3","55","3","7.9","0.4","21","2","3","0.3","29","3","4.2","0.4","80","6","11.4","0.8"
"Alaska","Under 65 years","605","2","527","6","87.09999999999999","0.9","394","9","65.09999999999999","1.5","328","10","54.3","1.6","46","6","7.6","0.9","50","6","8.199999999999999","1.1","173","8","28.6","1.4","155","8","25.5","1.4","28","4","4.6","0.7","10","2","1.6","0.3","3","1","0.6","0.2","5","1","0.9","0.2","16","2","2.7","0.4","78","6","12.9","0.9"
"Alaska","Under 19 years","187","2","172","3","92.09999999999999","1.4","109","5","58.6","2.6","87","5","46.4","2.5","9","3","5","1.5","20","3","10.8","1.7","77","5","41.1","2.5","76","5","40.6","2.5","14","3","7.5","1.4","1","Z","0.3","0.2","Z","Z","0.1","0.1","Z","Z","Z","Z","1","1","0.3","0.3","15","3","7.9","1.4"
"Alaska","19 - 64 years","418","3","355","4","84.90000000000001","1","285","6","68","1.4","242","7","57.8","1.5","37","4","8.800000000000001","0.9","30","4","7.1","1","96","5","23","1.2","79","5","18.8","1.2","14","2","3.3","0.6","9","2","2.2","0.4","3","1","0.8","0.2","5","1","1.2","0.3","16","2","3.8","0.5","63","4","15.1","1"
"Alaska","65 years and over","97","1","95","1","97.90000000000001","0.8","57","3","58.2","2.5","45","3","45.9","2.5","15","2","15.2","1.9","11","2","11.3","2","91","2","93.40000000000001","1.7","16","2","16.1","2","4","1","3.9","1","90","2","93","1.7","52","3","53.5","2.6","16","2","16.1","2","13","2","13.6","1.8","2","1","2.1","0.8"
"Arizona","All people","7174","3","6408","27","89.3","0.4","4534","35","63.2","0.5","3653","37","50.9","0.5","925","23","12.9","0.3","232","13","3.2","0.2","2798","32","39","0.5","1539","32","21.4","0.5","245","13","3.4","0.2","1395","8","19.4","0.1","693","11","9.699999999999999","0.2","212","8","3","0.1","197","8","2.7","0.1","766","26","10.7","0.4"
"Arizona","Under 65 years","5852","4","5096","26","87.09999999999999","0.4","3836","33","65.5","0.6","3329","35","56.9","0.6","522","19","8.9","0.3","138","12","2.4","0.2","1523","32","26","0.5","1381","32","23.6","0.6","190","11","3.2","0.2","122","6","2.1","0.1","32","3","0.5","0.1","54","5","0.9","0.1","92","6","1.6","0.1","756","26","12.9","0.4"
"Arizona","Under 19 years","1716","5","1570","13","91.5","0.7","999","19","58.2","1.1","872","17","50.8","1","120","9","7","0.5","42","6","2.5","0.4","668","18","38.9","1","663","18","38.7","1","95","8","5.6","0.5","5","2","0.3","0.1","1","1","0.1","Z","3","1","0.2","0.1","4","2","0.2","0.1","146","11","8.5","0.7"
"Arizona","19 - 64 years","4137","7","3527","21","85.3","0.5","2837","21","68.59999999999999","0.5","2458","25","59.4","0.6","402","13","9.699999999999999","0.3","96","8","2.3","0.2","855","19","20.7","0.5","718","19","17.3","0.5","94","6","2.3","0.1","117","6","2.8","0.2","31","3","0.7","0.1","51","5","1.2","0.1","88","5","2.1","0.1","610","18","14.7","0.5"
"Arizona","65 years and over","1322","3","1311","4","99.2","0.2","698","10","52.8","0.8","324","9","24.5","0.7","403","11","30.5","0.8","95","6","7.2","0.4","1275","5","96.40000000000001","0.3","158","6","11.9","0.5","55","4","4.2","0.3","1273","5","96.3","0.3","661","10","50","0.8","158","6","11.9","0.5","105","5","7.9","0.4","10","3","0.8","0.2"
"Arkansas","All people","2975","2","2702","14","90.8","0.5","1756","22","59","0.7","1369","22","46","0.7","402","14","13.5","0.5","92","7","3.1","0.2","1322","21","44.4","0.7","809","20","27.2","0.7","106","7","3.6","0.2","607","7","20.4","0.2","290","7","9.800000000000001","0.2","127","6","4.3","0.2","93","6","3.1","0.2","273","14","9.199999999999999","0.5"
"Arkansas","Under 65 years","2463","3","2192","14","89","0.6","1478","22","60","0.9","1249","21","50.7","0.8","234","13","9.5","0.5","49","6","2","0.2","823","20","33.4","0.8","735","19","29.8","0.8","77","6","3.1","0.3","108","6","4.4","0.3","23","3","1","0.1","53","4","2.1","0.2","43","4","1.7","0.2","271","14","11","0.6"
"Arkansas","Under 19 years","743","4","700","7","94.2","0.7","342","12","46","1.5","290","11","39","1.4","43","6","5.8","0.7","15","3","2.1","0.4","391","11","52.6","1.5","388","11","52.2","1.4","31","4","4.2","0.5","5","2","0.7","0.2","1","Z","0.1","0.1","4","1","0.5","0.2","2","1","0.3","0.1","43","5","5.8","0.7"
"Arkansas","19 - 64 years","1720","6","1492","12","86.8","0.6","1137","16","66.09999999999999","0.9","959","15","55.8","0.9","190","10","11.1","0.6","34","5","2","0.3","432","12","25.1","0.7","347","12","20.2","0.7","46","4","2.7","0.3","103","6","6","0.4","23","3","1.3","0.2","49","5","2.9","0.3","40","4","2.3","0.2","228","11","13.2","0.6"
"Arkansas","65 years and over","512","3","510","3","99.59999999999999","0.2","277","7","54.2","1.3","120","6","23.4","1.1","168","5","32.8","1.1","42","4","8.199999999999999","0.7","500","3","97.59999999999999","0.5","74","4","14.5","0.8","30","3","5.8","0.5","499","3","97.40000000000001","0.5","267","7","52.1","1.3","74","4","14.5","0.8","51","3","9.9","0.6","2","1","0.4","0.2"
"California","All people","38724","6","36012","36","93","0.1","24677","85","63.7","0.2","20339","94","52.5","0.2","5005","54","12.9","0.1","645","21","1.7","0.1","15222","85","39.3","0.2","10320","84","26.6","0.2","1337","27","3.5","0.1","6206","19","16","Z","2729","20","7","0.1","1525","20","3.9","0.1","564","15","1.5","Z","2713","37","7","0.1"
"California","Under 65 years","32848","7","30203","36","91.90000000000001","0.1","21814","83","66.40000000000001","0.3","18563","92","56.5","0.3","3689","52","11.2","0.2","435","19","1.3","0.1","9704","84","29.5","0.3","9150","85","27.9","0.3","1067","25","3.2","0.1","696","17","2.1","0.1","160","7","0.5","Z","356","11","1.1","Z","274","11","0.8","Z","2645","36","8.1","0.1"
"California","Under 19 years","9275","10","8953","16","96.5","0.1","5406","42","58.3","0.5","4662","40","50.3","0.4","787","25","8.5","0.3","163","12","1.8","0.1","4061","43","43.8","0.5","4012","43","43.3","0.5","502","16","5.4","0.2","83","7","0.9","0.1","17","3","0.2","Z","41","5","0.4","0.1","12","3","0.1","Z","321","13","3.5","0.1"
"California","19 - 64 years","23574","12","21250","31","90.09999999999999","0.1","16408","55","69.59999999999999","0.2","13901","64","59","0.3","2902","38","12.3","0.2","272","12","1.2","0.1","5643","52","23.9","0.2","5138","52","21.8","0.2","565","14","2.4","0.1","613","15","2.6","0.1","143","7","0.6","Z","315","10","1.3","Z","262","11","1.1","Z","2324","31","9.9","0.1"
"California","65 years and over","5876","4","5809","5","98.90000000000001","0.1","2863","19","48.7","0.3","1776","21","30.2","0.3","1316","15","22.4","0.3","210","8","3.6","0.1","5518","10","93.90000000000001","0.2","1170","17","19.9","0.3","270","9","4.6","0.1","5510","10","93.8","0.2","2569","20","43.7","0.3","1170","17","19.9","0.3","290","8","4.9","0.1","67","5","1.1","0.1"
"Colorado","All people","5715","4","5260","17","92","0.3","4005","28","70.09999999999999","0.5","3224","31","56.4","0.5","771","18","13.5","0.3","242","12","4.2","0.2","1902","22","33.3","0.4","1070","23","18.7","0.4","187","10","3.3","0.2","922","7","16.1","0.1","468","8","8.199999999999999","0.1","148","6","2.6","0.1","134","7","2.3","0.1","455","16","8","0.3"
"Colorado","Under 65 years","4850","4","4401","16","90.7","0.3","3532","27","72.8","0.5","2985","31","61.6","0.6","519","15","10.7","0.3","169","11","3.5","0.2","1076","22","22.2","0.5","974","23","20.1","0.5","146","10","3","0.2","97","6","2","0.1","29","3","0.6","0.1","52","4","1.1","0.1","70","6","1.4","0.1","449","16","9.300000000000001","0.3"
"Colorado","Under 19 years","1318","5","1257","8","95.40000000000001","0.5","863","15","65.5","1.1","735","15","55.8","1.1","94","7","7.2","0.5","61","6","4.6","0.5","463","13","35.1","1","460","13","34.9","1","69","6","5.2","0.4","5","2","0.4","0.2","1","1","0.1","0.1","3","1","0.2","0.1","2","1","0.1","0.1","61","6","4.6","0.5"
"Colorado","19 - 64 years","3532","7","3144","15","89","0.4","2669","17","75.59999999999999","0.5","2250","22","63.7","0.6","425","12","12","0.3","108","7","3.1","0.2","613","16","17.4","0.4","514","15","14.5","0.4","77","6","2.2","0.2","91","6","2.6","0.2","28","3","0.8","0.1","49","4","1.4","0.1","68","6","1.9","0.2","388","13","11","0.4"
"Colorado","65 years and over","866","3","859","4","99.3","0.2","474","8","54.7","0.9","238","7","27.5","0.8","252","7","29.1","0.8","73","4","8.4","0.5","826","4","95.5","0.4","96","5","11.1","0.6","41","3","4.7","0.4","825","4","95.3","0.4","440","7","50.8","0.9","96","5","11.1","0.6","65","3","7.5","0.4","6","2","0.7","0.2"
"Connecticut","All people","3558","1","3374","10","94.8","0.3","2462","25","69.2","0.7","2088","26","58.7","0.7","444","11","12.5","0.3","51","6","1.4","0.2","1340","24","37.7","0.7","802","23","22.5","0.6","124","7","3.5","0.2","666","6","18.7","0.2","341","7","9.6","0.2","144","6","4","0.2","55","4","1.5","0.1","184","10","5.2","0.3"
"Connecticut","Under 65 years","2927","2","2748","10","93.90000000000001","0.3","2107","24","72","0.8","1863","24","63.6","0.8","279","10","9.5","0.3","32","5","1.1","0.2","745","23","25.5","0.8","695","22","23.7","0.8","80","7","2.7","0.2","72","5","2.5","0.2","18","3","0.6","0.1","37","4","1.3","0.1","21","3","0.7","0.1","179","10","6.1","0.3"
"Connecticut","Under 19 years","775","3","757","4","97.59999999999999","0.4","504","11","65","1.4","458","11","59.1","1.4","49","4","6.3","0.6","12","3","1.5","0.4","292","11","37.6","1.4","290","11","37.4","1.4","38","5","4.9","0.6","3","1","0.4","0.2","Z","Z","0.1","Z","2","1","0.3","0.1","1","1","0.1","0.1","19","3","2.4","0.4"
"Connecticut","19 - 64 years","2152","4","1991","10","92.59999999999999","0.4","1603","17","74.5","0.8","1405","17","65.3","0.8","230","8","10.7","0.4","20","3","0.9","0.1","453","15","21.1","0.7","405","15","18.8","0.7","42","4","2","0.2","69","5","3.2","0.2","18","3","0.8","0.1","35","3","1.6","0.2","20","3","0.9","0.1","160","9","7.4","0.4"
"Connecticut","65 years and over","631","1","626","2","99.3","0.2","355","7","56.3","1.2","225","7","35.8","1.1","166","6","26.2","1","20","2","3.1","0.4","595","4","94.3","0.6","107","5","17","0.7","43","3","6.9","0.5","594","4","94.2","0.6","323","7","51.3","1.1","107","5","17","0.7","34","3","5.4","0.5","5","1","0.7","0.2"
"Delaware","All people","988","1","931","6","94.3","0.6","704","13","71.2","1.3","579","12","58.6","1.3","154","9","15.6","0.9","31","4","3.2","0.4","396","12","40.1","1.2","206","12","20.9","1.2","40","5","4","0.5","214","3","21.7","0.4","136","4","13.8","0.4","32","3","3.2","0.3","23","3","2.3","0.3","57","6","5.7","0.6"
"Delaware","Under 65 years","790","2","734","6","93","0.7","570","12","72.2","1.5","494","12","62.5","1.4","89","8","11.2","1","19","3","2.4","0.4","205","12","26","1.5","186","12","23.6","1.5","30","5","3.8","0.6","23","3","2.9","0.4","9","2","1.1","0.2","12","2","1.5","0.3","9","2","1.2","0.2","56","6","7","0.7"
"Delaware","Under 19 years","222","2","214","3","96.3","1.1","142","6","64.2","2.8","127","6","57.3","2.7","17","3","7.6","1.2","6","2","2.5","0.7","85","6","38.5","2.8","85","6","38.5","2.8","14","3","6.4","1.4","Z","Z","0.1","0.1","Z","Z","0.1","0.1","Z","Z","0.1","0.1","0","0","0","0","8","2","3.7","1.1"
"Delaware","19 - 64 years","568","2","521","4","91.7","0.8","428","8","75.3","1.4","367","8","64.5","1.4","72","7","12.6","1.2","13","3","2.3","0.5","120","7","21.1","1.2","101","7","17.8","1.2","15","3","2.7","0.5","23","3","4","0.5","9","2","1.5","0.3","11","2","2","0.4","9","2","1.7","0.3","47","4","8.300000000000001","0.8"
"Delaware","65 years and over","198","1","197","1","99.40000000000001","0.4","133","4","67.40000000000001","1.9","85","4","42.9","1.9","66","4","33.3","1.8","13","2","6.4","1.1","191","2","96.5","0.7","20","2","10.1","1.1","10","2","5.2","0.8","191","2","96.5","0.7","128","4","64.5","1.9","20","2","10.1","1.1","13","2","6.7","0.9","1","1","0.6","0.4"
"District of Columbia","All people","660","1","636","4","96.3","0.6","475","9","71.90000000000001","1.3","404","10","61.2","1.5","83","7","12.6","1","14","3","2.2","0.4","228","9","34.5","1.4","164","10","24.9","1.5","22","4","3.4","0.5","89","3","13.4","0.4","50","3","7.6","0.4","29","3","4.4","0.4","8","2","1.2","0.2","24","4","3.7","0.6"
"District of Columbia","Under 65 years","576","1","553","4","95.90000000000001","0.7","422","8","73.3","1.5","364","9","63.2","1.6","63","6","10.9","1.1","11","3","2","0.5","150","10","26.1","1.7","143","9","24.8","1.6","15","3","2.6","0.5","11","2","2","0.4","3","1","0.6","0.2","8","2","1.4","0.3","5","1","0.9","0.2","24","4","4.1","0.7"
"District of Columbia","Under 19 years","134","2","129","3","96.3","1.8","79","5","59.2","3.3","66","5","49.3","3.5","11","3","8.4","2.1","4","2","3.1","1.2","54","5","40.1","3.6","53","5","39.7","3.6","4","1","2.9","0.9","1","1","0.7","0.5","Z","Z","0.1","0.1","Z","Z","0.3","0.4","0","0","0","0","5","2","3.7","1.8"
"District of Columbia","19 - 64 years","442","2","424","4","95.7","0.7","343","6","77.5","1.3","298","6","67.40000000000001","1.5","51","5","11.6","1.2","7","2","1.6","0.4","97","7","21.9","1.5","90","6","20.3","1.4","11","2","2.5","0.6","10","2","2.3","0.6","3","1","0.8","0.2","7","2","1.7","0.4","5","1","1.1","0.3","19","3","4.3","0.7"
"District of Columbia","65 years and over","84","1","83","1","99.40000000000001","0.5","53","3","62.8","2.8","39","2","47.1","2.6","20","2","24.1","2.7","3","1","3.6","0.9","77","1","92.5","1.5","21","2","25.4","2.6","7","1","8.699999999999999","1.8","77","2","92.3","1.6","47","3","55.7","2.9","21","2","25.4","2.6","3","1","3.9","1.2","1","Z","0.6","0.5"
"Florida","All people","21466","5","18867","39","87.90000000000001","0.2","13555","57","63.1","0.3","9761","64","45.5","0.3","3944","46","18.4","0.2","759","22","3.5","0.1","8028","43","37.4","0.2","3843","42","17.9","0.2","656","18","3.1","0.1","4799","17","22.4","0.1","2140","23","10","0.1","861","17","4","0.1","624","16","2.9","0.1","2598","39","12.1","0.2"
"Florida","Under 65 years","16929","6","14380","38","84.90000000000001","0.2","11376","54","67.2","0.3","8714","64","51.5","0.4","2719","37","16.1","0.2","455","21","2.7","0.1","3689","42","21.8","0.2","3191","39","18.9","0.2","449","17","2.7","0.1","465","14","2.7","0.1","112","8","0.7","Z","209","11","1.2","0.1","287","11","1.7","0.1","2549","39","15.1","0.2"
"Florida","Under 19 years","4534","9","4202","14","92.7","0.3","2545","29","56.1","0.6","2004","30","44.2","0.7","504","18","11.1","0.4","141","11","3.1","0.2","1869","28","41.2","0.6","1849","28","40.8","0.6","204","12","4.5","0.3","22","3","0.5","0.1","4","1","0.1","Z","12","3","0.3","0.1","12","4","0.3","0.1","332","14","7.3","0.3"
"Florida","19 - 64 years","12395","11","10178","35","82.09999999999999","0.3","8831","39","71.2","0.3","6710","49","54.1","0.4","2215","29","17.9","0.2","315","15","2.5","0.1","1820","28","14.7","0.2","1343","24","10.8","0.2","245","10","2","0.1","443","13","3.6","0.1","107","7","0.9","0.1","197","10","1.6","0.1","275","10","2.2","0.1","2217","35","17.9","0.3"
"Florida","65 years and over","4537","5","4488","7","98.90000000000001","0.1","2179","22","48","0.5","1047","18","23.1","0.4","1225","21","27","0.5","304","10","6.7","0.2","4339","8","95.59999999999999","0.2","652","12","14.4","0.3","207","7","4.6","0.2","4333","8","95.5","0.2","2029","21","44.7","0.5","652","12","14.4","0.3","337","10","7.4","0.2","49","5","1.1","0.1"
"Georgia","All people","10600","5","9261","29","87.40000000000001","0.3","7008","54","66.09999999999999","0.5","5715","58","53.9","0.5","1340","27","12.6","0.3","424","20","4","0.2","3437","44","32.4","0.4","1909","42","18","0.4","340","14","3.2","0.1","1750","13","16.5","0.1","878","13","8.300000000000001","0.1","348","11","3.3","0.1","263","11","2.5","0.1","1339","30","12.6","0.3"
"Georgia","Under 65 years","9042","8","7714","30","85.3","0.3","6147","54","68","0.6","5223","57","57.8","0.6","929","26","10.3","0.3","295","18","3.3","0.2","1944","43","21.5","0.5","1675","41","18.5","0.5","242","12","2.7","0.1","261","12","2.9","0.1","72","6","0.8","0.1","114","7","1.3","0.1","145","9","1.6","0.1","1328","30","14.7","0.3"
"Georgia","Under 19 years","2684","8","2508","12","93.40000000000001","0.4","1550","26","57.8","1","1340","27","49.9","1","169","13","6.3","0.5","104","10","3.9","0.4","1077","25","40.1","0.9","1062","25","39.6","0.9","115","7","4.3","0.3","20","4","0.7","0.1","4","1","0.2","0.1","7","2","0.3","0.1","3","1","0.1","0.1","176","11","6.6","0.4"
"Georgia","19 - 64 years","6357","11","5206","28","81.90000000000001","0.4","4596","36","72.3","0.5","3883","39","61.1","0.6","759","20","11.9","0.3","191","11","3","0.2","867","25","13.6","0.4","613","21","9.6","0.3","127","7","2","0.1","241","11","3.8","0.2","68","6","1.1","0.1","106","7","1.7","0.1","142","9","2.2","0.1","1152","27","18.1","0.4"
"Georgia","65 years and over","1559","6","1548","6","99.3","0.1","862","12","55.3","0.7","492","12","31.6","0.8","412","11","26.4","0.7","129","7","8.300000000000001","0.5","1493","8","95.8","0.3","235","8","15","0.5","98","6","6.3","0.4","1489","8","95.59999999999999","0.4","805","12","51.7","0.8","235","8","15","0.5","118","5","7.5","0.3","11","2","0.7","0.1"
"Hawaii","All people","1382","3","1327","6","96.09999999999999","0.4","1029","13","74.5","0.9","836","13","60.5","0.9","188","10","13.6","0.7","114","8","8.199999999999999","0.6","550","13","39.8","0.9","287","13","20.8","0.9","65","6","4.7","0.5","283","4","20.5","0.3","187","5","13.5","0.4","39","4","2.8","0.3","43","4","3.1","0.3","54","5","3.9","0.4"
"Hawaii","Under 65 years","1103","3","1051","6","95.2","0.4","837","12","75.90000000000001","1.1","697","13","63.2","1.1","117","8","10.6","0.7","93","8","8.4","0.7","288","12","26.1","1.1","256","12","23.2","1.1","52","6","4.7","0.6","21","3","1.9","0.2","9","2","0.8","0.2","8","2","0.7","0.2","22","4","2","0.3","52","5","4.8","0.4"
"Hawaii","Under 19 years","318","1","309","3","97.2","0.7","213","8","66.90000000000001","2.4","161","8","50.6","2.4","26","4","8.199999999999999","1.4","43","5","13.6","1.6","122","7","38.5","2.3","119","8","37.5","2.4","24","4","7.6","1.2","2","1","0.5","0.3","1","1","0.3","0.3","1","1","0.2","0.2","2","2","0.7","0.6","9","2","2.8","0.7"
"Hawaii","19 - 64 years","785","3","741","5","94.5","0.5","624","8","79.5","1","536","8","68.3","1.1","91","6","11.6","0.7","50","4","6.3","0.5","166","8","21.1","1","137","8","17.4","1","28","3","3.5","0.4","19","3","2.5","0.3","8","2","1","0.2","7","2","0.9","0.2","20","3","2.5","0.3","43","4","5.5","0.5"
"Hawaii","65 years and over","279","1","277","2","99.3","0.4","193","5","69.2","1.7","140","5","50.1","1.6","70","5","25.2","1.7","21","2","7.5","0.8","262","3","93.90000000000001","0.8","31","3","11.1","1","13","2","4.8","0.6","262","3","93.8","0.9","178","5","63.8","1.7","31","3","11.1","1","21","2","7.4","0.7","2","1","0.7","0.4"
