"Table with row headers in column A and column headers in rows 6 through 10","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56"
"United States","Under 65 years","270338","32","241111","197","89.2","0.1","187183","393","69.2","0.1","162265","368","60","0.1","26090","148","9.699999999999999","0.1","5749","79","2.1","Z","63695","233","23.6","0.1","56854","235","21","0.1","6485","67","2.4","Z","7772","53","2.9","Z","2068","29","0.8","Z","3645","33","1.3","Z","3367","43","1.2","Z","29227","206","10.8","0.1"
"United States","Under 19 years","77350","53","72975","58","94.3","0.1","46633","159","60.3","0.2","40785","144","52.7","0.2","5356","58","6.9","0.1","1947","38","2.5","Z","29445","165","38.1","0.2","29102","163","37.6","0.2","3008","42","3.9","0.1","476","18","0.6","Z","86","6","0.1","Z","216","11","0.3","Z","128","9","0.2","Z","4375","58","5.7","0.1"
"United States","19 - 64 years","192988","50","168136","194","87.09999999999999","0.1","140550","259","72.8","0.1","121480","250","62.9","0.1","20734","115","10.7","0.1","3801","48","2","Z","34250","106","17.7","0.1","27753","102","14.4","0.1","3476","38","1.8","Z","7296","49","3.8","Z","1982","27","1","Z","3430","32","1.8","Z","3239","40","1.7","Z","24852","172","12.9","0.1"
"United States","65 years and over","52782","26","52371","31","99.2","Z","30628","84","58","0.1","16654","71","31.6","0.1","16212","70","30.7","0.1","3033","29","5.7","0.1","50620","40","95.90000000000001","0.1","7223","47","13.7","0.1","2476","30","4.7","0.1","50556","41","95.8","0.1","28848","84","54.7","0.1","7223","47","13.7","0.1","3880","34","7.4","0.1","412","13","0.8","Z"
"Alabama","All people","4823","2","4354","13","90.3","0.3","3228","27","66.90000000000001","0.6","2607","30","54.1","0.6","640","19","13.3","0.4","231","11","4.8","0.2","1797","24","37.3","0.5","947","22","19.6","0.5","156","8","3.2","0.2","1003","10","20.8","0.2","551","9","11.4","0.2","200","7","4.2","0.2","132","6","2.7","0.1","469","13","9.699999999999999","0.3"
"Alabama","Under 65 years","3988","5","3523","14","88.3","0.3","2716","26","68.09999999999999","0.6","2322","29","58.2","0.7","386","18","9.699999999999999","0.4","142","10","3.6","0.2","985","23","24.7","0.6","827","20","20.7","0.5","105","7","2.6","0.2","192","9","4.8","0.2","59","4","1.5","0.1","80","5","2","0.1","62","5","1.6","0.1","465","13","11.7","0.3"
"Alabama","Under 19 years","1154","5","1114","7","96.5","0.3","641","13","55.5","1.1","556","13","48.1","1.1","69","7","6","0.6","40","4","3.5","0.4","516","14","44.7","1.2","509","14","44.1","1.2","41","5","3.5","0.4","9","2","0.8","0.2","2","1","0.1","0.1","4","1","0.3","0.1","2","1","0.2","0.1","40","4","3.5","0.3"
"Alabama","19 - 64 years","2833","7","2408","16","85","0.5","2075","19","73.2","0.6","1766","21","62.3","0.7","317","14","11.2","0.5","102","8","3.6","0.3","469","14","16.6","0.5","318","11","11.2","0.4","64","5","2.2","0.2","183","8","6.5","0.3","57","4","2","0.1","77","5","2.7","0.2","60","5","2.1","0.2","425","13","15","0.5"
"Alabama","65 years and over","835","4","831","4","99.59999999999999","0.1","512","8","61.3","1","285","8","34.2","0.9","254","8","30.4","0.9","88","5","10.6","0.7","812","5","97.3","0.3","120","5","14.4","0.6","51","3","6.1","0.4","811","5","97.09999999999999","0.3","493","8","59","1","120","5","14.4","0.6","70","3","8.4","0.4","4","1","0.4","0.1"
"Alaska","All people","706","2","620","6","87.8","0.8","457","10","64.8","1.5","382","10","54.2","1.4","52","4","7.4","0.6","69","7","9.800000000000001","1","248","10","35.2","1.3","154","9","21.8","1.2","24","4","3.4","0.5","99","3","14","0.5","55","3","7.8","0.4","20","2","2.9","0.3","29","3","4.2","0.4","86","6","12.2","0.8"
"Alaska","Under 65 years","617","3","531","7","86.09999999999999","0.9","402","10","65.2","1.6","339","10","55","1.5","39","4","6.4","0.6","59","6","9.6","1.1","164","9","26.5","1.5","141","9","22.8","1.4","20","3","3.2","0.6","14","3","2.3","0.4","4","1","0.7","0.2","7","2","1.2","0.2","19","2","3.1","0.4","85","6","13.9","0.9"
"Alaska","Under 19 years","190","2","172","3","90.59999999999999","1.3","111","5","58.2","2.6","87","5","45.7","2.7","9","2","4.7","1.1","26","4","13.4","2","74","5","38.7","2.7","71","5","37.1","2.6","10","3","5.5","1.4","2","1","1.1","0.8","1","1","0.3","0.4","1","Z","0.3","0.2","2","1","0.9","0.5","18","2","9.4","1.3"
"Alaska","19 - 64 years","427","3","359","5","84.2","1.1","292","6","68.40000000000001","1.5","252","6","59.2","1.4","30","3","7.1","0.7","34","4","7.9","0.9","90","6","21.1","1.3","70","5","16.4","1.1","9","2","2.1","0.4","12","2","2.9","0.4","4","1","0.8","0.2","7","1","1.6","0.3","17","2","4.1","0.5","68","4","15.8","1.1"
"Alaska","65 years and over","89","2","88","2","99.2","0.6","55","3","61.8","2.5","43","3","48.4","2.9","13","2","14.9","1.7","10","2","11.3","1.8","85","2","95.3","1.2","13","2","14.9","1.9","4","1","4.9","1","84","2","94.90000000000001","1.2","51","3","57.5","2.7","13","2","14.9","1.9","10","1","11.8","1.6","1","1","0.8","0.6"
"Arizona","All people","7166","3","6357","23","88.7","0.3","4490","37","62.7","0.5","3629","39","50.6","0.5","898","22","12.5","0.3","242","11","3.4","0.2","2750","30","38.4","0.4","1492","31","20.8","0.4","202","11","2.8","0.2","1413","11","19.7","0.2","700","9","9.800000000000001","0.1","229","7","3.2","0.1","212","7","3","0.1","809","23","11.3","0.3"
"Arizona","Under 65 years","5871","4","5073","23","86.40000000000001","0.4","3793","33","64.59999999999999","0.6","3298","36","56.2","0.6","499","19","8.5","0.3","138","10","2.4","0.2","1499","30","25.5","0.5","1336","30","22.8","0.5","146","10","2.5","0.2","163","10","2.8","0.2","38","3","0.6","0.1","73","5","1.2","0.1","92","6","1.6","0.1","798","23","13.6","0.4"
"Arizona","Under 19 years","1744","5","1583","11","90.8","0.6","1002","16","57.4","0.9","875","17","50.2","1","115","8","6.6","0.5","40","4","2.3","0.3","652","18","37.4","1","637","18","36.5","1","68","5","3.9","0.3","20","5","1.2","0.3","2","1","0.1","Z","7","2","0.4","0.1","3","1","0.1","0.1","161","10","9.199999999999999","0.6"
"Arizona","19 - 64 years","4127","6","3490","19","84.59999999999999","0.4","2791","23","67.59999999999999","0.5","2423","25","58.7","0.6","384","15","9.300000000000001","0.4","98","7","2.4","0.2","848","18","20.5","0.4","700","17","17","0.4","78","7","1.9","0.2","143","7","3.5","0.2","36","3","0.9","0.1","66","4","1.6","0.1","90","6","2.2","0.1","637","19","15.4","0.4"
"Arizona","65 years and over","1295","3","1285","3","99.2","0.2","697","9","53.8","0.7","332","9","25.6","0.7","399","8","30.8","0.6","104","6","8","0.5","1251","4","96.59999999999999","0.3","156","6","12.1","0.5","56","3","4.3","0.3","1250","4","96.5","0.3","662","9","51.2","0.7","156","6","12.1","0.5","120","4","9.300000000000001","0.3","10","2","0.8","0.2"
"Arkansas","All people","2963","2","2692","13","90.90000000000001","0.4","1757","22","59.3","0.7","1386","20","46.8","0.7","388","12","13.1","0.4","92","7","3.1","0.3","1303","16","44","0.6","787","16","26.6","0.6","92","6","3.1","0.2","614","6","20.7","0.2","294","7","9.9","0.2","129","6","4.4","0.2","94","4","3.2","0.1","271","12","9.1","0.4"
"Arkansas","Under 65 years","2455","4","2187","13","89.09999999999999","0.5","1481","21","60.3","0.8","1261","19","51.4","0.8","224","10","9.1","0.4","49","6","2","0.2","808","17","32.9","0.7","715","17","29.1","0.7","66","6","2.7","0.2","120","6","4.9","0.2","28","3","1.1","0.1","57","5","2.3","0.2","41","4","1.7","0.2","268","12","10.9","0.5"
"Arkansas","Under 19 years","741","4","698","6","94.09999999999999","0.7","348","11","47","1.5","298","11","40.2","1.5","46","5","6.2","0.6","16","3","2.1","0.4","379","11","51.1","1.5","376","11","50.8","1.5","28","4","3.8","0.5","4","1","0.5","0.2","2","1","0.3","0.1","2","1","0.3","0.1","2","1","0.2","0.1","43","5","5.9","0.7"
"Arkansas","19 - 64 years","1714","6","1489","12","86.90000000000001","0.6","1132","14","66.09999999999999","0.8","964","13","56.2","0.8","178","8","10.4","0.5","33","4","1.9","0.2","430","11","25.1","0.6","339","11","19.8","0.6","37","4","2.2","0.2","116","6","6.8","0.3","26","3","1.5","0.2","55","5","3.2","0.3","39","4","2.3","0.2","225","10","13.1","0.6"
"Arkansas","65 years and over","508","3","505","3","99.5","0.2","276","7","54.4","1.3","124","5","24.5","1","164","6","32.2","1.1","43","4","8.6","0.7","495","4","97.40000000000001","0.4","72","3","14.1","0.7","27","2","5.2","0.5","494","4","97.2","0.4","265","7","52.3","1.3","72","3","14.1","0.7","53","3","10.4","0.6","3","1","0.5","0.2"
"California","All people","38998","6","35996","42","92.3","0.1","24913","86","63.9","0.2","20687","87","53","0.2","4729","49","12.1","0.1","678","18","1.7","Z","14749","73","37.8","0.2","9926","77","25.5","0.2","1062","27","2.7","0.1","6100","22","15.6","0.1","2747","19","7","Z","1515","19","3.9","Z","585","13","1.5","Z","3002","42","7.7","0.1"
"California","Under 65 years","33259","7","30313","42","91.09999999999999","0.1","22057","84","66.3","0.3","18916","89","56.9","0.3","3448","44","10.4","0.1","449","17","1.4","0.1","9330","73","28.1","0.2","8764","74","26.4","0.2","817","26","2.5","0.1","689","20","2.1","0.1","158","6","0.5","Z","353","13","1.1","Z","284","10","0.9","Z","2946","42","8.9","0.1"
"California","Under 19 years","9405","10","9071","16","96.40000000000001","0.2","5434","41","57.8","0.4","4715","43","50.1","0.5","721","20","7.7","0.2","170","10","1.8","0.1","4017","42","42.7","0.4","3970","43","42.2","0.5","370","19","3.9","0.2","67","8","0.7","0.1","9","2","0.1","Z","29","4","0.3","Z","11","3","0.1","Z","334","14","3.6","0.2"
"California","19 - 64 years","23854","11","21242","36","89.09999999999999","0.1","16623","56","69.7","0.2","14201","61","59.5","0.3","2727","33","11.4","0.1","279","10","1.2","Z","5313","48","22.3","0.2","4793","46","20.1","0.2","447","13","1.9","0.1","622","17","2.6","0.1","149","6","0.6","Z","324","12","1.4","0.1","273","9","1.1","Z","2612","35","10.9","0.1"
"California","65 years and over","5739","4","5682","6","99","0.1","2856","18","49.8","0.3","1771","19","30.9","0.3","1282","16","22.3","0.3","229","8","4","0.1","5419","11","94.40000000000001","0.2","1163","16","20.3","0.3","244","7","4.3","0.1","5410","12","94.3","0.2","2589","18","45.1","0.3","1163","16","20.3","0.3","301","9","5.2","0.2","56","4","1","0.1"
"Colorado","All people","5664","3","5211","17","92","0.3","4016","28","70.90000000000001","0.5","3249","31","57.4","0.5","754","16","13.3","0.3","230","12","4.1","0.2","1785","28","31.5","0.5","967","27","17.1","0.5","132","7","2.3","0.1","886","6","15.6","0.1","458","7","8.1","0.1","137","6","2.4","0.1","143","8","2.5","0.1","453","17","8","0.3"
"Colorado","Under 65 years","4835","4","4386","17","90.7","0.3","3554","26","73.5","0.5","3018","29","62.4","0.6","508","14","10.5","0.3","164","11","3.4","0.2","990","28","20.5","0.6","875","26","18.1","0.5","94","6","2","0.1","92","6","1.9","0.1","26","3","0.5","0.1","45","3","0.9","0.1","81","6","1.7","0.1","449","16","9.300000000000001","0.3"
"Colorado","Under 19 years","1331","4","1258","9","94.5","0.6","870","14","65.40000000000001","1","739","16","55.5","1.1","103","7","7.8","0.5","57","6","4.3","0.5","430","14","32.3","1","426","14","32","1.1","40","4","3","0.3","6","2","0.4","0.1","2","1","0.1","0.1","3","1","0.2","0.1","2","1","0.1","0.1","73","8","5.5","0.6"
"Colorado","19 - 64 years","3504","5","3128","12","89.3","0.3","2684","17","76.59999999999999","0.5","2279","18","65.09999999999999","0.5","405","11","11.6","0.3","107","7","3.1","0.2","560","18","16","0.5","449","16","12.8","0.5","54","4","1.5","0.1","86","5","2.5","0.2","25","3","0.7","0.1","42","3","1.2","0.1","79","6","2.3","0.2","376","12","10.7","0.3"
"Colorado","65 years and over","829","3","824","3","99.40000000000001","0.2","461","8","55.6","1","231","7","27.8","0.8","246","6","29.7","0.8","66","4","7.9","0.5","795","4","95.90000000000001","0.3","92","5","11.1","0.6","37","2","4.5","0.3","794","4","95.8","0.3","432","7","52","0.9","92","5","11.1","0.6","62","4","7.5","0.4","5","1","0.6","0.2"
"Connecticut","All people","3515","1","3307","11","94.09999999999999","0.3","2440","20","69.40000000000001","0.6","2081","23","59.2","0.6","423","11","12","0.3","48","5","1.4","0.1","1303","19","37.1","0.5","766","19","21.8","0.6","111","8","3.2","0.2","648","5","18.4","0.2","355","7","10.1","0.2","129","5","3.7","0.2","55","3","1.6","0.1","207","11","5.9","0.3"
"Connecticut","Under 65 years","2905","2","2702","11","93","0.4","2077","20","71.5","0.7","1864","22","64.2","0.7","246","9","8.5","0.3","30","4","1","0.1","726","18","25","0.6","673","19","23.2","0.6","76","7","2.6","0.3","71","5","2.5","0.2","20","2","0.7","0.1","36","3","1.2","0.1","22","3","0.8","0.1","203","11","7","0.4"
"Connecticut","Under 19 years","773","4","746","5","96.5","0.5","498","10","64.40000000000001","1.2","457","10","59.1","1.3","41","3","5.3","0.4","10","2","1.3","0.3","284","11","36.7","1.3","283","11","36.5","1.4","36","5","4.6","0.6","2","1","0.2","0.1","Z","1","0.1","0.1","1","1","0.1","0.1","1","1","0.1","0.1","27","4","3.5","0.5"
"Connecticut","19 - 64 years","2132","5","1956","11","91.7","0.4","1579","13","74.09999999999999","0.6","1407","15","66","0.7","205","8","9.6","0.4","19","2","0.9","0.1","442","12","20.7","0.5","391","12","18.3","0.5","41","4","1.9","0.2","70","5","3.3","0.2","19","2","0.9","0.1","35","3","1.7","0.1","21","3","1","0.1","177","10","8.300000000000001","0.4"
"Connecticut","65 years and over","609","2","605","2","99.40000000000001","0.2","363","6","59.6","1","217","6","35.7","0.9","178","7","29.2","1.1","19","3","3","0.5","577","4","94.8","0.5","93","5","15.3","0.8","35","3","5.7","0.5","577","4","94.7","0.5","335","6","55","1","93","5","15.3","0.8","33","2","5.4","0.4","4","1","0.6","0.2"
"Delaware","All people","956","2","894","6","93.40000000000001","0.6","678","13","70.90000000000001","1.4","568","13","59.4","1.3","130","6","13.6","0.6","42","5","4.4","0.6","378","12","39.5","1.3","198","11","20.8","1.1","39","4","4.1","0.5","207","3","21.6","0.3","132","4","13.8","0.4","35","3","3.7","0.4","24","2","2.5","0.2","63","6","6.6","0.6"
"Delaware","Under 65 years","771","2","708","7","91.90000000000001","0.8","551","12","71.5","1.6","490","13","63.6","1.6","64","5","8.300000000000001","0.6","25","4","3.2","0.6","196","12","25.4","1.5","177","11","23","1.5","28","4","3.6","0.5","25","3","3.3","0.3","8","2","1.1","0.2","14","2","1.8","0.3","9","2","1.2","0.2","62","6","8.1","0.8"
"Delaware","Under 19 years","215","2","205","3","95.2","1.4","132","6","61.4","2.8","118","6","54.9","2.8","14","3","6.4","1.2","8","3","3.5","1.3","86","6","39.7","3","85","6","39.5","2.9","13","3","6","1.2","1","1","0.4","0.3","0","0","0","0","Z","Z","0.1","0.2","0","0","0","0","10","3","4.8","1.4"
"Delaware","19 - 64 years","555","2","503","5","90.7","0.8","419","8","75.40000000000001","1.5","372","8","67","1.5","50","4","9","0.7","17","3","3.1","0.5","110","7","19.9","1.3","92","7","16.6","1.2","15","2","2.7","0.4","24","3","4.4","0.5","8","2","1.5","0.3","13","2","2.4","0.4","9","2","1.6","0.3","52","5","9.300000000000001","0.8"
"Delaware","65 years and over","186","1","185","1","99.7","0.2","127","3","68.59999999999999","1.8","78","3","42","1.8","67","4","35.8","2","17","2","9.300000000000001","1.3","182","1","97.8","0.5","21","2","11.5","1.2","11","2","6","0.8","181","1","97.7","0.5","124","4","66.59999999999999","1.9","21","2","11.5","1.2","15","2","8.1","1.1","1","Z","0.3","0.2"
"District of Columbia","All people","697","1","672","4","96.5","0.6","506","10","72.59999999999999","1.4","427","10","61.4","1.4","90","7","13","1","14","3","2.1","0.5","238","10","34.2","1.4","173","10","24.8","1.4","25","3","3.6","0.4","92","3","13.2","0.4","53","4","7.5","0.5","32","3","4.6","0.5","10","2","1.4","0.4","25","4","3.5","0.6"
"District of Columbia","Under 65 years","611","1","588","5","96.09999999999999","0.7","451","9","73.8","1.5","385","10","62.9","1.5","71","6","11.7","1","12","3","2","0.6","161","10","26.3","1.6","151","10","24.7","1.6","18","3","2.9","0.4","15","3","2.5","0.4","5","2","0.9","0.3","10","2","1.6","0.4","6","2","1","0.4","24","4","3.9","0.7"
"District of Columbia","Under 19 years","138","2","136","2","98","0.9","84","5","60.4","3.6","64","5","45.9","3.2","18","4","13.1","2.8","5","2","3.6","1.6","59","5","42.9","3.8","58","5","41.7","3.8","6","2","4.4","1.2","2","1","1.1","0.7","1","1","0.6","0.5","1","1","0.6","0.5","1","1","0.7","1","3","1","2","0.9"
"District of Columbia","19 - 64 years","473","2","452","5","95.59999999999999","0.8","368","7","77.7","1.4","321","7","67.90000000000001","1.6","53","4","11.3","0.8","7","2","1.5","0.4","102","7","21.5","1.4","93","7","19.7","1.4","12","2","2.5","0.4","14","2","2.9","0.5","5","1","1","0.3","9","2","1.9","0.5","5","1","1.1","0.3","21","4","4.4","0.8"
"District of Columbia","65 years and over","85","Z","84","1","99.2","0.5","55","3","64.2","3.1","43","3","50.1","3.3","19","2","22.2","2.5","2","1","2.9","0.9","77","2","90.59999999999999","1.8","22","2","25.6","2.5","7","1","8.6","1.7","77","2","90.40000000000001","1.8","47","3","55.4","3.1","22","2","25.6","2.5","4","1","4.5","1.3","1","Z","0.8","0.5"
"Florida","All people","21157","5","18372","45","86.8","0.2","13216","71","62.5","0.3","9682","69","45.8","0.3","3576","50","16.9","0.2","772","23","3.6","0.1","7780","46","36.8","0.2","3663","49","17.3","0.2","513","17","2.4","0.1","4782","17","22.6","0.1","2193","23","10.4","0.1","886","18","4.2","0.1","613","14","2.9","0.1","2784","45","13.2","0.2"
"Florida","Under 65 years","16729","6","13995","44","83.7","0.3","11016","63","65.90000000000001","0.4","8599","64","51.4","0.4","2369","45","14.2","0.3","455","21","2.7","0.1","3535","46","21.1","0.3","3023","44","18.1","0.3","329","15","2","0.1","543","15","3.2","0.1","128","7","0.8","Z","246","11","1.5","0.1","264","12","1.6","0.1","2734","45","16.3","0.3"
"Florida","Under 19 years","4480","9","4137","18","92.40000000000001","0.4","2457","29","54.9","0.7","1962","29","43.8","0.7","440","19","9.800000000000001","0.4","137","12","3.1","0.3","1818","30","40.6","0.7","1796","30","40.1","0.7","134","9","3","0.2","30","5","0.7","0.1","4","1","0.1","Z","15","4","0.3","0.1","10","3","0.2","0.1","343","16","7.6","0.4"
"Florida","19 - 64 years","12249","12","9857","37","80.5","0.3","8559","45","69.90000000000001","0.4","6637","46","54.2","0.4","1929","34","15.7","0.3","318","13","2.6","0.1","1717","26","14","0.2","1227","23","10","0.2","195","10","1.6","0.1","513","15","4.2","0.1","125","7","1","0.1","232","11","1.9","0.1","255","11","2.1","0.1","2392","38","19.5","0.3"
"Florida","65 years and over","4428","4","4378","6","98.90000000000001","0.1","2199","21","49.7","0.5","1082","19","24.4","0.4","1207","16","27.3","0.4","316","10","7.1","0.2","4245","10","95.90000000000001","0.2","640","14","14.5","0.3","184","7","4.1","0.2","4239","10","95.7","0.2","2065","20","46.6","0.5","640","14","14.5","0.3","349","9","7.9","0.2","50","5","1.1","0.1"
"Georgia","All people","10420","4","9023","32","86.59999999999999","0.3","6860","45","65.8","0.4","5652","46","54.2","0.4","1227","24","11.8","0.2","420","17","4","0.2","3272","30","31.4","0.3","1791","30","17.2","0.3","281","13","2.7","0.1","1705","12","16.4","0.1","862","14","8.300000000000001","0.1","351","12","3.4","0.1","261","11","2.5","0.1","1398","31","13.4","0.3"
"Georgia","Under 65 years","8928","6","7544","31","84.5","0.3","6027","43","67.5","0.5","5185","44","58.1","0.5","822","21","9.199999999999999","0.2","296","16","3.3","0.2","1839","29","20.6","0.3","1558","29","17.4","0.3","188","12","2.1","0.1","274","12","3.1","0.1","74","5","0.8","0.1","117","7","1.3","0.1","150","9","1.7","0.1","1383","31","15.5","0.3"
"Georgia","Under 19 years","2662","9","2465","15","92.59999999999999","0.5","1520","24","57.1","0.9","1303","23","49","0.9","166","11","6.2","0.4","108","9","4.1","0.3","1042","22","39.2","0.8","1021","23","38.3","0.9","93","8","3.5","0.3","25","4","1","0.2","3","1","0.1","Z","9","3","0.3","0.1","7","3","0.2","0.1","197","14","7.4","0.5"
"Georgia","19 - 64 years","6266","10","5080","27","81.09999999999999","0.4","4507","30","71.90000000000001","0.5","3882","31","62","0.5","656","17","10.5","0.3","188","10","3","0.2","797","19","12.7","0.3","537","15","8.6","0.2","95","7","1.5","0.1","249","10","4","0.2","71","5","1.1","0.1","108","6","1.7","0.1","144","9","2.3","0.1","1186","24","18.9","0.4"
"Georgia","65 years and over","1493","5","1478","5","99","0.2","834","13","55.9","0.9","466","11","31.2","0.8","405","12","27.2","0.8","124","6","8.300000000000001","0.4","1433","6","96","0.3","233","8","15.6","0.5","93","5","6.2","0.4","1431","7","95.90000000000001","0.3","788","13","52.8","0.9","233","8","15.6","0.5","111","5","7.4","0.4","14","2","1","0.2"
"Hawaii","All people","1359","3","1302","5","95.8","0.4","1034","11","76.09999999999999","0.8","869","12","63.9","0.9","176","9","12.9","0.7","106","7","7.8","0.5","493","9","36.3","0.7","245","9","18","0.7","45","5","3.3","0.3","275","3","20.2","0.2","182","4","13.4","0.3","41","4","3","0.3","34","3","2.5","0.2","56","5","4.2","0.4"
"Hawaii","Under 65 years","1093","3","1038","5","95","0.5","849","11","77.59999999999999","1","731","11","66.90000000000001","1","108","8","9.9","0.7","84","6","7.6","0.6","240","9","21.9","0.8","213","9","19.5","0.8","33","4","3","0.4","22","3","2","0.2","8","1","0.7","0.1","9","2","0.8","0.2","16","2","1.5","0.2","55","5","5","0.5"
"Hawaii","Under 19 years","315","1","306","3","97.2","0.7","218","6","69.09999999999999","1.9","176","6","56","2","25","3","7.8","1","37","4","11.7","1.2","105","5","33.5","1.7","104","5","33","1.7","16","3","5.2","1","1","1","0.4","0.2","Z","Z","0.1","0.1","Z","Z","0.1","0.1","1","1","0.2","0.2","9","2","2.8","0.7"
"Hawaii","19 - 64 years","778","3","732","5","94.09999999999999","0.6","631","8","81.09999999999999","0.9","555","8","71.3","0.9","84","6","10.7","0.8","47","4","6","0.5","134","6","17.3","0.8","109","6","14","0.8","16","2","2.1","0.2","21","2","2.7","0.3","7","1","1","0.2","9","2","1.1","0.2","16","2","2","0.2","46","4","5.9","0.6"
"Hawaii","65 years and over","266","1","264","1","99.40000000000001","0.2","185","4","69.8","1.4","138","4","51.8","1.7","67","4","25.3","1.5","23","2","8.5","0.9","253","2","95.40000000000001","0.7","32","3","12","1.1","12","2","4.5","0.7","253","2","95.2","0.7","174","4","65.7","1.5","32","3","12","1.1","18","2","6.7","0.7","2","1","0.6","0.2"
