"Table 1  Travel burden for hospital care, national, provincial/territorial and regional levels, 2018–2019 to 2022–2023 (5 years of pooled data)",,,,,,,,,,,
Reporting level,Province/territory,Geography code,Region,Rural/remote versus urban,CMG Care Level,CMG Provider Service Group,Metric,Travel burden category,Value,,
National,n/a,0000,n/a,Overall,All levels,Family medicine,Percentage of hospitalizations,Moderate,12.3,,
National,n/a,0000,n/a,Overall,All levels,Family medicine,Percentage of hospitalizations,High,3.7,,
National,n/a,0000,n/a,Overall,All levels,Family medicine,Percentage of hospitalizations,Very high,2.7,,
National,n/a,0000,n/a,Overall,All levels,Family medicine,Percentage of hospitalizations,High/very high,6.4,,
National,n/a,0000,n/a,Overall,All levels,Family medicine,High/very high travel burden hospitalization rate,High/very high,1.7,,
National,n/a,0000,n/a,Overall,All levels,Family medicine,Total hospitalization rate,Total,25.3,,
National,n/a,0000,n/a,Overall,All levels,General pediatrics,Number of hospitalizations,Very low,"72,393",,
National,n/a,0000,n/a,Overall,All levels,General pediatrics,Number of hospitalizations,Low,"21,068",,
National,n/a,0000,n/a,Overall,All levels,General pediatrics,Number of hospitalizations,Moderate,"22,204",,
National,n/a,0000,n/a,Overall,All levels,General pediatrics,Number of hospitalizations,High,"8,757",,
National,n/a,0000,n/a,Overall,All levels,General pediatrics,Number of hospitalizations,Very high,"6,279",,
National,n/a,0000,n/a,Overall,All levels,General pediatrics,Number of hospitalizations,High/very high,"15,036",,
National,n/a,0000,n/a,Overall,All levels,General pediatrics,Number of hospitalizations,Total,"130,701",,
National,n/a,0000,n/a,Overall,All levels,General pediatrics,Percentage of hospitalizations,Very low,55.4,,
National,n/a,0000,n/a,Overall,All levels,General pediatrics,Percentage of hospitalizations,Low,16.1,,
National,n/a,0000,n/a,Overall,All levels,General pediatrics,Percentage of hospitalizations,Moderate,17,,
National,n/a,0000,n/a,Overall,All levels,General pediatrics,Percentage of hospitalizations,High,6.7,,
National,n/a,0000,n/a,Overall,All levels,General pediatrics,Percentage of hospitalizations,Very high,4.8,,
National,n/a,0000,n/a,Overall,All levels,General pediatrics,Percentage of hospitalizations,High/very high,11.5,,
National,n/a,0000,n/a,Overall,All levels,General pediatrics,High/very high travel burden hospitalization rate,High/very high,0.1,,
National,n/a,0000,n/a,Overall,All levels,General pediatrics,Total hospitalization rate,Total,0.8,,
National,n/a,0000,n/a,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very low,"617,109",,
National,n/a,0000,n/a,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Low,"147,940",,
National,n/a,0000,n/a,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Moderate,"165,541",,
National,n/a,0000,n/a,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,High,"91,219",,
National,n/a,0000,n/a,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very high,"72,526",,
National,n/a,0000,n/a,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,High/very high,"163,745",,
National,n/a,0000,n/a,Overall,All levels,Internal medicine and subspecialty,Number of hospitalizations,Total,"1,094,335",,
National,n/a,0000,n/a,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very low,56.4,,
National,n/a,0000,n/a,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Low,13.5,,
National,n/a,0000,n/a,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Moderate,15.1,,
National,n/a,0000,n/a,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High,8.3,,
National,n/a,0000,n/a,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very high,6.6,,
National,n/a,0000,n/a,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High/very high,14.9,,
National,n/a,0000,n/a,Overall,All levels,Internal medicine and subspecialty,High/very high travel burden hospitalization rate,High/very high,0.8,,
National,n/a,0000,n/a,Overall,All levels,Internal medicine and subspecialty,Total hospitalization rate,Total,5.3,,
National,n/a,0000,n/a,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Very low,"1,645,696",,
National,n/a,0000,n/a,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Low,"311,196",,
National,n/a,0000,n/a,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Moderate,"140,499",,
National,n/a,0000,n/a,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,High,"56,574",,
National,n/a,0000,n/a,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Very high,"39,813",,
National,n/a,0000,n/a,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,High/very high,"96,387",,
National,n/a,0000,n/a,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Total,"2,193,778",,
National,n/a,0000,n/a,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very low,75,,
National,n/a,0000,n/a,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Low,14.2,,
National,n/a,0000,n/a,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Moderate,6.4,,
National,n/a,0000,n/a,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,High,2.6,,
National,n/a,0000,n/a,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very high,1.8,,
National,n/a,0000,n/a,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,High/very high,4.4,,
National,n/a,0000,n/a,Overall,All levels,Obstetric and gynecology,High/very high travel burden hospitalization rate,High/very high,0.5,,
National,n/a,0000,n/a,Overall,All levels,Obstetric and gynecology,Total hospitalization rate,Total,11.6,,
National,n/a,0000,n/a,Overall,All levels,Psychiatry,Number of hospitalizations,Very low,"299,472",,
National,n/a,0000,n/a,Overall,All levels,Psychiatry,Number of hospitalizations,Low,"59,973",,
National,n/a,0000,n/a,Overall,All levels,Psychiatry,Number of hospitalizations,Moderate,"63,838",,
National,n/a,0000,n/a,Overall,All levels,Psychiatry,Number of hospitalizations,High,"26,521",,
National,n/a,0000,n/a,Overall,All levels,Psychiatry,Number of hospitalizations,Very high,"17,931",,
National,n/a,0000,n/a,Overall,All levels,Psychiatry,Number of hospitalizations,High/very high,"44,452",,
National,n/a,0000,n/a,Overall,All levels,Psychiatry,Number of hospitalizations,Total,"467,735",,
National,n/a,0000,n/a,Overall,All levels,Psychiatry,Percentage of hospitalizations,Very low,64,,
National,n/a,0000,n/a,Overall,All levels,Psychiatry,Percentage of hospitalizations,Low,12.8,,
National,n/a,0000,n/a,Overall,All levels,Psychiatry,Percentage of hospitalizations,Moderate,13.6,,
National,n/a,0000,n/a,Overall,All levels,Psychiatry,Percentage of hospitalizations,High,5.7,,
National,n/a,0000,n/a,Overall,All levels,Psychiatry,Percentage of hospitalizations,Very high,3.8,,
National,n/a,0000,n/a,Overall,All levels,Psychiatry,Percentage of hospitalizations,High/very high,9.5,,
National,n/a,0000,n/a,Overall,All levels,Psychiatry,High/very high travel burden hospitalization rate,High/very high,0.2,,
National,n/a,0000,n/a,Overall,All levels,Psychiatry,Total hospitalization rate,Total,2.5,,
National,n/a,0000,n/a,Overall,All levels,Surgery,Number of hospitalizations,Very low,"1,916,001",,
National,n/a,0000,n/a,Overall,All levels,Surgery,Number of hospitalizations,Low,"540,478",,
National,n/a,0000,n/a,Overall,All levels,Surgery,Number of hospitalizations,Moderate,"578,451",,
National,n/a,0000,n/a,Overall,All levels,Surgery,Number of hospitalizations,High,"312,366",,
National,n/a,0000,n/a,Overall,All levels,Surgery,Number of hospitalizations,Very high,"173,558",,
National,n/a,0000,n/a,Overall,All levels,Surgery,Number of hospitalizations,High/very high,"485,924",,
National,n/a,0000,n/a,Overall,All levels,Surgery,Number of hospitalizations,Total,"3,520,854",,
National,n/a,0000,n/a,Overall,All levels,Surgery,Percentage of hospitalizations,Very low,54.4,,
National,n/a,0000,n/a,Overall,All levels,Surgery,Percentage of hospitalizations,Low,15.4,,
National,n/a,0000,n/a,Overall,All levels,Surgery,Percentage of hospitalizations,Moderate,16.4,,
National,n/a,0000,n/a,Overall,All levels,Surgery,Percentage of hospitalizations,High,8.9,,
National,n/a,0000,n/a,Overall,All levels,Surgery,Percentage of hospitalizations,Very high,4.9,,
National,n/a,0000,n/a,Overall,All levels,Surgery,Percentage of hospitalizations,High/very high,13.8,,
National,n/a,0000,n/a,Overall,All levels,Surgery,High/very high travel burden hospitalization rate,High/very high,2.3,,
National,n/a,0000,n/a,Overall,All levels,Surgery,Total hospitalization rate,Total,17.1,,
National,n/a,0000,n/a,Overall,General,All service provider groups,Number of hospitalizations,Very low,"4,739,462",,
National,n/a,0000,n/a,Overall,General,All service provider groups,Number of hospitalizations,Low,"991,983",,
National,n/a,0000,n/a,Overall,General,All service provider groups,Number of hospitalizations,Moderate,"874,351",,
National,n/a,0000,n/a,Overall,General,All service provider groups,Number of hospitalizations,High,"282,438",,
National,n/a,0000,n/a,Overall,General,All service provider groups,Number of hospitalizations,Very high,"208,245",,
National,n/a,0000,n/a,Overall,General,All service provider groups,Number of hospitalizations,High/very high,"490,683",,
National,n/a,0000,n/a,Overall,General,All service provider groups,Number of hospitalizations,Total,"7,096,479",,
National,n/a,0000,n/a,Overall,General,All service provider groups,Percentage of hospitalizations,Very low,66.8,,
National,n/a,0000,n/a,Overall,General,All service provider groups,Percentage of hospitalizations,Low,14,,
National,n/a,0000,n/a,Overall,General,All service provider groups,Percentage of hospitalizations,Moderate,12.3,,
National,n/a,0000,n/a,Overall,General,All service provider groups,Percentage of hospitalizations,High,4,,
National,n/a,0000,n/a,Overall,General,All service provider groups,Percentage of hospitalizations,Very high,2.9,,
National,n/a,0000,n/a,Overall,General,All service provider groups,Percentage of hospitalizations,High/very high,6.9,,
National,n/a,0000,n/a,Overall,General,All service provider groups,Percentage of hospitalizations,Total,51.7,,
National,n/a,0000,n/a,Overall,General,All service provider groups,High/very high travel burden hospitalization rate,High/very high,2.5,,
National,n/a,0000,n/a,Overall,General,All service provider groups,Total hospitalization rate,Total,34.3,,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,Number of hospitalizations,Very low,"3,216,389",,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,Number of hospitalizations,Low,"713,552",,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,Number of hospitalizations,Moderate,"586,209",,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,Number of hospitalizations,High,"275,606",,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,Number of hospitalizations,Very high,"161,569",,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,Number of hospitalizations,High/very high,"437,175",,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,Number of hospitalizations,Total,"4,953,325",,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very low,64.9,,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Low,14.4,,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Moderate,11.8,,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High,5.6,,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very high,3.3,,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High/very high,8.9,,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Total,36.1,,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,2.2,,
National,n/a,0000,n/a,Overall,Specialized,All service provider groups,Total hospitalization rate,Total,25.1,,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very low,"780,538",,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Low,"252,759",,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Moderate,"306,957",,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High,"199,348",,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very high,"128,306",,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High/very high,"327,654",,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Total,"1,667,908",,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very low,46.8,,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Low,15.2,,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Moderate,18.4,,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High,12,,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very high,7.7,,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High/very high,19.7,,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Total,12.2,,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,1.6,,
National,n/a,0000,n/a,Overall,Highly specialized,All service provider groups,Total hospitalization rate,Total,8.1,,
National,n/a,0000,n/a,Rural/remote,All levels,All service provider groups,Number of hospitalizations,Very low,"528,146",,
National,n/a,0000,n/a,Rural/remote,All levels,All service provider groups,Number of hospitalizations,Low,"580,057",,
National,n/a,0000,n/a,Rural/remote,All levels,All service provider groups,Number of hospitalizations,Moderate,"907,843",,
National,n/a,0000,n/a,Rural/remote,All levels,All service provider groups,Number of hospitalizations,High,"473,821",,
National,n/a,0000,n/a,Rural/remote,All levels,All service provider groups,Number of hospitalizations,Very high,"306,259",,
National,n/a,0000,n/a,Rural/remote,All levels,All service provider groups,Number of hospitalizations,High/very high,"780,080",,
National,n/a,0000,n/a,Rural/remote,All levels,All service provider groups,Number of hospitalizations,Total,"2,796,126",,
National,n/a,0000,n/a,Rural/remote,All levels,All service provider groups,Percentage of hospitalizations,Very low,18.9,,
National,n/a,0000,n/a,Rural/remote,All levels,All service provider groups,Percentage of hospitalizations,Low,20.7,,
National,n/a,0000,n/a,Rural/remote,All levels,All service provider groups,Percentage of hospitalizations,Moderate,32.5,,
National,n/a,0000,n/a,Rural/remote,All levels,All service provider groups,Percentage of hospitalizations,High,16.9,,
National,n/a,0000,n/a,Rural/remote,All levels,All service provider groups,Percentage of hospitalizations,Very high,11,,
National,n/a,0000,n/a,Rural/remote,All levels,All service provider groups,Percentage of hospitalizations,High/very high,27.9,,
National,n/a,0000,n/a,Rural/remote,All levels,All service provider groups,High/very high travel burden hospitalization rate,High/very high,23.3,,
National,n/a,0000,n/a,Rural/remote,All levels,All service provider groups,Total hospitalization rate,Total,83.8,,
National,n/a,0000,n/a,Rural/remote,All levels,Family medicine,Number of hospitalizations,Very low,"310,870",,
National,n/a,0000,n/a,Rural/remote,All levels,Family medicine,Number of hospitalizations,Low,"248,305",,
National,n/a,0000,n/a,Rural/remote,All levels,Family medicine,Number of hospitalizations,Moderate,"382,526",,
National,n/a,0000,n/a,Rural/remote,All levels,Family medicine,Number of hospitalizations,High,"134,869",,
National,n/a,0000,n/a,Rural/remote,All levels,Family medicine,Number of hospitalizations,Very high,"91,910",,
National,n/a,0000,n/a,Rural/remote,All levels,Family medicine,Number of hospitalizations,High/very high,"226,779",,
National,n/a,0000,n/a,Rural/remote,All levels,Family medicine,Number of hospitalizations,Total,"1,168,480",,
National,n/a,0000,n/a,Rural/remote,All levels,Family medicine,Percentage of hospitalizations,Very low,26.6,,
National,n/a,0000,n/a,Rural/remote,All levels,Family medicine,Percentage of hospitalizations,Low,21.3,,
National,n/a,0000,n/a,Rural/remote,All levels,Family medicine,Percentage of hospitalizations,Moderate,32.7,,
National,n/a,0000,n/a,Rural/remote,All levels,Family medicine,Percentage of hospitalizations,High,11.5,,
National,n/a,0000,n/a,Rural/remote,All levels,Family medicine,Percentage of hospitalizations,Very high,7.9,,
National,n/a,0000,n/a,Rural/remote,All levels,Family medicine,Percentage of hospitalizations,High/very high,19.4,,
National,n/a,0000,n/a,Rural/remote,All levels,Family medicine,High/very high travel burden hospitalization rate,High/very high,6.7,,
National,n/a,0000,n/a,Rural/remote,All levels,Family medicine,Total hospitalization rate,Total,32.1,,
National,n/a,0000,n/a,Rural/remote,All levels,General pediatrics,Number of hospitalizations,Very low,"1,995",,
National,n/a,0000,n/a,Rural/remote,All levels,General pediatrics,Number of hospitalizations,Low,"3,267",,
National,n/a,0000,n/a,Rural/remote,All levels,General pediatrics,Number of hospitalizations,Moderate,"8,630",,
National,n/a,0000,n/a,Rural/remote,All levels,General pediatrics,Number of hospitalizations,High,"5,248",,
National,n/a,0000,n/a,Rural/remote,All levels,General pediatrics,Number of hospitalizations,Very high,"4,368",,
National,n/a,0000,n/a,Rural/remote,All levels,General pediatrics,Number of hospitalizations,High/very high,"9,616",,
National,n/a,0000,n/a,Rural/remote,All levels,General pediatrics,Number of hospitalizations,Total,"23,508",,
National,n/a,0000,n/a,Rural/remote,All levels,General pediatrics,Percentage of hospitalizations,Very low,8.5,,
National,n/a,0000,n/a,Rural/remote,All levels,General pediatrics,Percentage of hospitalizations,Low,13.9,,
National,n/a,0000,n/a,Rural/remote,All levels,General pediatrics,Percentage of hospitalizations,Moderate,36.7,,
National,n/a,0000,n/a,Rural/remote,All levels,General pediatrics,Percentage of hospitalizations,High,22.3,,
National,n/a,0000,n/a,Rural/remote,All levels,General pediatrics,Percentage of hospitalizations,Very high,18.6,,
National,n/a,0000,n/a,Rural/remote,All levels,General pediatrics,Percentage of hospitalizations,High/very high,40.9,,
National,n/a,0000,n/a,Rural/remote,All levels,General pediatrics,High/very high travel burden hospitalization rate,High/very high,0.3,,
National,n/a,0000,n/a,Rural/remote,All levels,General pediatrics,Total hospitalization rate,Total,0.8,,
National,n/a,0000,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very low,"26,042",,
National,n/a,0000,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Number of hospitalizations,Low,"30,599",,
National,n/a,0000,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Number of hospitalizations,Moderate,"73,207",,
National,n/a,0000,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Number of hospitalizations,High,"52,211",,
National,n/a,0000,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Number of hospitalizations,Very high,"41,084",,
National,n/a,0000,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Number of hospitalizations,High/very high,"93,295",,
National,n/a,0000,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Number of hospitalizations,Total,"223,143",,
National,n/a,0000,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very low,11.7,,
National,n/a,0000,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Low,13.7,,
National,n/a,0000,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Moderate,32.8,,
National,n/a,0000,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High,23.4,,
National,n/a,0000,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very high,18.4,,
National,n/a,0000,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High/very high,41.8,,
National,n/a,0000,n/a,Rural/remote,All levels,Internal medicine and subspecialty,High/very high travel burden hospitalization rate,High/very high,2.5,,
National,n/a,0000,n/a,Rural/remote,All levels,Internal medicine and subspecialty,Total hospitalization rate,Total,6.1,,
National,n/a,0000,n/a,Rural/remote,All levels,Obstetric and gynecology,Number of hospitalizations,Very low,"92,274",,
National,n/a,0000,n/a,Rural/remote,All levels,Obstetric and gynecology,Number of hospitalizations,Low,"129,924",,
National,n/a,0000,n/a,Rural/remote,All levels,Obstetric and gynecology,Number of hospitalizations,Moderate,"84,204",,
National,n/a,0000,n/a,Rural/remote,All levels,Obstetric and gynecology,Number of hospitalizations,High,"40,698",,
National,n/a,0000,n/a,Rural/remote,All levels,Obstetric and gynecology,Number of hospitalizations,Very high,"30,661",,
National,n/a,0000,n/a,Rural/remote,All levels,Obstetric and gynecology,Number of hospitalizations,High/very high,"71,359",,
National,n/a,0000,n/a,Rural/remote,All levels,Obstetric and gynecology,Number of hospitalizations,Total,"377,761",,
National,n/a,0000,n/a,Rural/remote,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very low,24.4,,
National,n/a,0000,n/a,Rural/remote,All levels,Obstetric and gynecology,Percentage of hospitalizations,Low,34.4,,
National,n/a,0000,n/a,Rural/remote,All levels,Obstetric and gynecology,Percentage of hospitalizations,Moderate,22.3,,
National,n/a,0000,n/a,Rural/remote,All levels,Obstetric and gynecology,Percentage of hospitalizations,High,10.8,,
National,n/a,0000,n/a,Rural/remote,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very high,8.1,,
National,n/a,0000,n/a,Rural/remote,All levels,Obstetric and gynecology,Percentage of hospitalizations,High/very high,18.9,,
National,n/a,0000,n/a,Rural/remote,All levels,Obstetric and gynecology,High/very high travel burden hospitalization rate,High/very high,2.9,,
National,n/a,0000,n/a,Rural/remote,All levels,Obstetric and gynecology,Total hospitalization rate,Total,16,,
National,n/a,0000,n/a,Rural/remote,All levels,Psychiatry,Number of hospitalizations,Very low,"17,167",,
National,n/a,0000,n/a,Rural/remote,All levels,Psychiatry,Number of hospitalizations,Low,"16,813",,
National,n/a,0000,n/a,Rural/remote,All levels,Psychiatry,Number of hospitalizations,Moderate,"34,580",,
National,n/a,0000,n/a,Rural/remote,All levels,Psychiatry,Number of hospitalizations,High,"18,050",,
National,n/a,0000,n/a,Rural/remote,All levels,Psychiatry,Number of hospitalizations,Very high,"10,470",,
National,n/a,0000,n/a,Rural/remote,All levels,Psychiatry,Number of hospitalizations,High/very high,"28,520",,
National,n/a,0000,n/a,Rural/remote,All levels,Psychiatry,Number of hospitalizations,Total,"97,080",,
National,n/a,0000,n/a,Rural/remote,All levels,Psychiatry,Percentage of hospitalizations,Very low,17.7,,
National,n/a,0000,n/a,Rural/remote,All levels,Psychiatry,Percentage of hospitalizations,Low,17.3,,
National,n/a,0000,n/a,Rural/remote,All levels,Psychiatry,Percentage of hospitalizations,Moderate,35.6,,
National,n/a,0000,n/a,Rural/remote,All levels,Psychiatry,Percentage of hospitalizations,High,18.6,,
National,n/a,0000,n/a,Rural/remote,All levels,Psychiatry,Percentage of hospitalizations,Very high,10.8,,
National,n/a,0000,n/a,Rural/remote,All levels,Psychiatry,Percentage of hospitalizations,High/very high,29.4,,
National,n/a,0000,n/a,Rural/remote,All levels,Psychiatry,High/very high travel burden hospitalization rate,High/very high,1.1,,
National,n/a,0000,n/a,Rural/remote,All levels,Psychiatry,Total hospitalization rate,Total,3.5,,
National,n/a,0000,n/a,Rural/remote,All levels,Surgery,Number of hospitalizations,Very low,"52,054",,
National,n/a,0000,n/a,Rural/remote,All levels,Surgery,Number of hospitalizations,Low,"120,180",,
National,n/a,0000,n/a,Rural/remote,All levels,Surgery,Number of hospitalizations,Moderate,"259,851",,
National,n/a,0000,n/a,Rural/remote,All levels,Surgery,Number of hospitalizations,High,"184,363",,
National,n/a,0000,n/a,Rural/remote,All levels,Surgery,Number of hospitalizations,Very high,"99,897",,
National,n/a,0000,n/a,Rural/remote,All levels,Surgery,Number of hospitalizations,High/very high,"284,260",,
National,n/a,0000,n/a,Rural/remote,All levels,Surgery,Number of hospitalizations,Total,"716,345",,
National,n/a,0000,n/a,Rural/remote,All levels,Surgery,Percentage of hospitalizations,Very low,7.3,,
National,n/a,0000,n/a,Rural/remote,All levels,Surgery,Percentage of hospitalizations,Low,16.8,,
National,n/a,0000,n/a,Rural/remote,All levels,Surgery,Percentage of hospitalizations,Moderate,36.3,,
National,n/a,0000,n/a,Rural/remote,All levels,Surgery,Percentage of hospitalizations,High,25.7,,
National,n/a,0000,n/a,Rural/remote,All levels,Surgery,Percentage of hospitalizations,Very high,13.9,,
National,n/a,0000,n/a,Rural/remote,All levels,Surgery,Percentage of hospitalizations,High/very high,39.6,,
National,n/a,0000,n/a,Rural/remote,All levels,Surgery,High/very high travel burden hospitalization rate,High/very high,7.8,,
National,n/a,0000,n/a,Rural/remote,All levels,Surgery,Total hospitalization rate,Total,19.8,,
National,n/a,0000,n/a,Rural/remote,General,All service provider groups,Number of hospitalizations,Very low,"387,714",,
National,n/a,0000,n/a,Rural/remote,General,All service provider groups,Number of hospitalizations,Low,"328,979",,
National,n/a,0000,n/a,Rural/remote,General,All service provider groups,Number of hospitalizations,Moderate,"499,591",,
National,n/a,0000,n/a,Rural/remote,General,All service provider groups,Number of hospitalizations,High,"191,120",,
National,n/a,0000,n/a,Rural/remote,General,All service provider groups,Number of hospitalizations,Very high,"135,633",,
National,n/a,0000,n/a,Rural/remote,General,All service provider groups,Number of hospitalizations,High/very high,"326,753",,
National,n/a,0000,n/a,Rural/remote,General,All service provider groups,Number of hospitalizations,Total,"1,543,037",,
